Player,Drafted (tm/rnd/yr),Player-additional
Mehdi Abdesmad,,AbdeMe00
Vernon Adams,,-9999
Jerell Adams,New York Giants / 6th / 184th pick / 2016,AdamJe01
Bralon Addison,,AddiBr01
Roberto Aguayo,Tampa Bay Buccaneers / 2nd / 59th pick / 2016,AguaRo00
Dominique Alexander,,AlexDo01
Mackensie Alexander,Minnesota Vikings / 2nd / 54th pick / 2016,AlexMa01
Vadal Alexander,Oakland Raiders / 7th / 234th pick / 2016,AlexVa00
Brandon Allen,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00
Jack Allen,,AlleJa03
Geronimo Allison,,AlliGe01
Stephen Anderson,,AndeSt01
Eli Apple,New York Giants / 1st / 10th pick / 2016,ApplEl00
Demarcus Ayers,Pittsburgh Steelers / 7th / 229th pick / 2016,AyerDe00
Sterling Bailey,,-9999
Peyton Barber,,BarbPe01
Jimmy Bean,,BeanJi01
Willie Beavers,Minnesota Vikings / 4th / 121st pick / 2016,BeavWi00
Vonn Bell,New Orleans Saints / 2nd / 61st pick / 2016,BellVo00
Caleb Benenoch,Tampa Bay Buccaneers / 5th / 148th pick / 2016,BeneCa00
Andrew Billings,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
Ronald Blair,San Francisco 49ers / 5th / 142nd pick / 2016,BlaiRo00
Austin Blythe,Indianapolis Colts / 7th / 248th pick / 2016,BlytAu00
Briean Boddy-Calhoun,,BoddBr01
Evan Boehm,Arizona Cardinals / 4th / 128th pick / 2016,BoehEv00
Devante Bond,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,BondDe00
Devontae Booker,Denver Broncos / 4th / 136th pick / 2016,BookDe00
Joey Bosa,San Diego Chargers / 1st / 3rd pick / 2016,BosaJo00
Tyler Boyd,Cincinnati Bengals / 2nd / 55th pick / 2016,BoydTy00
Trevone Boykin,,BoykTr00
James Bradberry,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
Ben Braunecker,,BrauBe00
Jake Brendel,,BrenJa01
Jacoby Brissett,New England Patriots / 3rd / 91st pick / 2016,BrisJa00
Kentrell Brothers,Minnesota Vikings / 5th / 160th pick / 2016,BrotKe00
Anthony Brown,Dallas Cowboys / 6th / 189th pick / 2016,BrowAn02
Beniquez Brown,,BrowBe00
Chris Brown,,BrowCh07
Lamarcus Brutus,,BrutLa00
Deforest Buckner,San Francisco 49ers / 1st / 7th pick / 2016,BuckDe00
Jonathan Bullard,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
Aaron Burbridge,San Francisco 49ers / 6th / 213th pick / 2016,BurbAa00
Artie Burns,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
Juston Burris,New York Jets / 4th / 118th pick / 2016,BurrJu00
Deon Bush,Chicago Bears / 4th / 124th pick / 2016,BushDe00
Vernon Butler,Carolina Panthers / 1st / 30th pick / 2016,ButlVe00
Devon Cajuste,,CajuDe01
Shilique Calhoun,Oakland Raiders / 3rd / 75th pick / 2016,CalhSh00
