Player,Drafted (tm/rnd/yr),Player-additional
Taveze Calhoun,,CalhTa01
De'Vondre Campbell,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00
Maurice Canady,Baltimore Ravens / 6th / 209th pick / 2016,CanaMa00
Leonte Carroo,Miami Dolphins / 3rd / 86th pick / 2016,CarrLe00
Tra Carson,,CarsTr01
Tevin Carter,,CartTe00
Jeremy Cash,,CashJe00
Joseph Cheek,,-9999
Kenny Clark,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01
Le'Raven Clark,Indianapolis Colts / 3rd / 82nd pick / 2016,ClarLe01
Corey Coleman,Cleveland Browns / 1st / 15th pick / 2016,ColeCo00
Shon Coleman,Cleveland Browns / 3rd / 76th pick / 2016,ColeSh00
Alex Collins,Seattle Seahawks / 5th / 171st pick / 2016,CollAl00
Maliek Collins,Dallas Cowboys / 3rd / 67th pick / 2016,CollMa00
Jack Conklin,Tennessee Titans / 1st / 8th pick / 2016,ConkJa00
Connor Cook,Oakland Raiders / 4th / 100th pick / 2016,CookCo00
Fahn Cooper,San Francisco 49ers / 5th / 174th pick / 2016,CoopFa00
Pharoh Cooper,Los Angeles Rams / 4th / 117th pick / 2016,CoopPh00
Marshaun Coprich,,-9999
Cody Core,Cincinnati Bengals / 6th / 199th pick / 2016,CoreCo00
Kamalei Correa,Baltimore Ravens / 2nd / 42nd pick / 2016,CorrKa00
James Cowser,,CowsJa00
Brad Craddock,,CradBr00
Su'A Cravens,Washington Redskins / 2nd / 53rd pick / 2016,CravSu00
Ken Crawley,,CrawKe02
Joe Dahl,Detroit Lions / 5th / 151st pick / 2016,DahlJo00
Steven Daniels,Washington Redskins / 7th / 232nd pick / 2016,DaniSt00
Sean Davis,Pittsburgh Steelers / 2nd / 58th pick / 2016,DaviSe00
Trevor Davis,Green Bay Packers / 5th / 163rd pick / 2016,DaviTr03
Sheldon Day,Jacksonville Jaguars / 4th / 103rd pick / 2016,DayxSh00
Taylor Decker,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
KJ Dillon,Houston Texans / 5th / 159th pick / 2016,DillK.00
Kenneth Dixon,Baltimore Ravens / 4th / 134th pick / 2016,DixoKe00
Riley Dixon,Denver Broncos / 7th / 228th pick / 2016,DixoRi00
Josh Doctson,Washington Redskins / 1st / 22nd pick / 2016,DoctJo00
Kevin Dodd,Tennessee Titans / 2nd / 33rd pick / 2016,DoddKe00
Brandon Doughty,Miami Dolphins / 7th / 223rd pick / 2016,DougBr00
Kenyan Drake,Miami Dolphins / 3rd / 73rd pick / 2016,DrakKe00
Spencer Drango,Cleveland Browns / 5th / 168th pick / 2016,DranSp00
Jeff Driskel,San Francisco 49ers / 6th / 207th pick / 2016,DrisJe00
Thomas Duarte,Miami Dolphins / 7th / 231st pick / 2016,DuarTh00
Lachlan Edwards,,-9999
Parker Ehinger,Kansas City Chiefs / 4th / 105th pick / 2016,EhinPa00
Deandre Elliott,,ElliDe01
Ezekiel Elliott,Dallas Cowboys / 1st / 4th pick / 2016,ElliEz00
Tyler Ervin,Houston Texans / 4th / 119th pick / 2016,ErviTy00
Kyler Fackrell,Green Bay Packers / 3rd / 88th pick / 2016,FackKy00
Ka'Imi Fairbairn,,FairKa01
Jason Fanaika,,FanaJa01
Travis Feeney,Pittsburgh Steelers / 6th / 220th pick / 2016,FeenTr00
Josh Ferguson,,FergJo02
Leonard Floyd,Chicago Bears / 1st / 9th pick / 2016,FloyLe00
Josh Forrest,Los Angeles Rams / 6th / 190th pick / 2016,ForrJo00
D.J. Foster,,FostD.01
Kavon Frazier,Dallas Cowboys / 6th / 212th pick / 2016,FrazKa00
Kris Frost,,FrosKr00
Kendall Fuller,Washington Redskins / 3rd / 84th pick / 2016,FullKe00
Will Fuller,Houston Texans / 1st / 21st pick / 2016,FullWi01
Joshua Garnett,San Francisco 49ers / 1st / 28th pick / 2016,GarnJo00
Keyarris Garrett,,GarrKe01
Graham Glasgow,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
Jared Goff,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
B.J. Goodson,New York Giants / 4th / 109th pick / 2016,GoodB.00
Adam Gotsis,Denver Broncos / 2nd / 63rd pick / 2016,GotsAd00
T.J. Green,Indianapolis Colts / 2nd / 57th pick / 2016,GreeT.00
Darrell Greene,,GreeDa02
David Grinnage,,GrinDa00
Glenn Gronkowski,,GronGl01
Christian Hackenberg,New York Jets / 2nd / 51st pick / 2016,HackCh01
Tom Hackett,,HackTo00
Joe Haeg,Indianapolis Colts / 5th / 155th pick / 2016,HaegJo00
Deiondre Hall,,-9999
Javon Hargrave,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
De'Vante Harris,,HarrDe04
Jerald Hawkins,Pittsburgh Steelers / 4th / 123rd pick / 2016,HawkJe00
Joel Heath,,HeatJo00
Temarrick Hemingway,Los Angeles Rams / 6th / 177th pick / 2016,HemiTe00
Derrick Henry,Tennessee Titans / 2nd / 45th pick / 2016,HenrDe00
Hunter Henry,San Diego Chargers / 2nd / 35th pick / 2016,HenrHu00
Willie Henry,Baltimore Ravens / 4th / 132nd pick / 2016,HenrWi00
Quayvon Hicks,,HickQu01
Tyler Higbee,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
Rashard Higgins,Cleveland Browns / 5th / 172nd pick / 2016,HiggRa00
Kevin Hogan,Kansas City Chiefs / 5th / 162nd pick / 2016,HogaKe00
Johnny Holton,,HoltJo00
Austin Hooper,Atlanta Falcons / 3rd / 81st pick / 2016,HoopAu00
Deandre Houston-Carson,Chicago Bears / 6th / 185th pick / 2016,HousDe00
Jordan Howard,Chicago Bears / 5th / 150th pick / 2016,HowaJo00
Xavien Howard,Miami Dolphins / 2nd / 38th pick / 2016,HowaXa00
Germain Ifedi,Seattle Seahawks / 1st / 31st pick / 2016,IfedGe00
Cleveland Wallace III,,-9999
Vernon Hargreaves III,Tampa Bay Buccaneers / 1st / 11th pick / 2016,HargVe00
William Jackson III,Cincinnati Bengals / 1st / 24th pick / 2016,JackWi02
Scooby Wright III,Cleveland Browns / 7th / 250th pick / 2016,WrigSc00
Matt Ioannidis,Washington Redskins / 5th / 152nd pick / 2016,IoanMa01
Myles Jack,Jacksonville Jaguars / 2nd / 36th pick / 2016,JackMy00
Branden Jackson,,JackBr04
Dominick Jackson,,JackDo00
Andy Janovich,Denver Broncos / 6th / 176th pick / 2016,JanoAn00
Quinton Jefferson,Seattle Seahawks / 5th / 147th pick / 2016,JeffQu00
Jordan Jenkins,New York Jets / 3rd / 83rd pick / 2016,JenkJo01
Austin Johnson,Tennessee Titans / 2nd / 43rd pick / 2016,JohnAu01
C.J. Johnson,,JohnC.00
Devon Johnson,,JohnDe05
Tyler Johnstone,,JohnTy01
Cardale Jones,Buffalo Bills / 4th / 139th pick / 2016,JoneCa01
Cayleb Jones,,JoneCa02
Chris Jones,Kansas City Chiefs / 2nd / 37th pick / 2016,JoneCh09
Cyrus Jones,New England Patriots / 2nd / 60th pick / 2016,JoneCy00
Deion Jones,Atlanta Falcons / 2nd / 52nd pick / 2016,JoneDe01
Jonathan Jones,,JoneJo03
Karl Joseph,Oakland Raiders / 1st / 14th pick / 2016,JoseKa00
Matt Judon,Baltimore Ravens / 5th / 146th pick / 2016,JudoMa00
Ufomba Kamalu,,KamaUf00
Drew Kaser,San Diego Chargers / 6th / 179th pick / 2016,KaseDr00
Nila Kasitati,,KasiNi01
Bronson Kaufusi,Baltimore Ravens / 3rd / 70th pick / 2016,KaufBr01
Jayron Kearse,Minnesota Vikings / 7th / 244th pick / 2016,KearJa00
Ryan Kelly,Indianapolis Colts / 1st / 18th pick / 2016,KellRy00
Cody Kessler,Cleveland Browns / 3rd / 93rd pick / 2016,KessCo00
Miles Killebrew,Detroit Lions / 4th / 111th pick / 2016,KillMi00
Derrick Kindred,Cleveland Browns / 4th / 129th pick / 2016,KindDe00
Raphael Kirby,,-9999
Denver Kirkland,,KirkDe00
Marshall Koehn,,KoehMa00
Nick Kwiatkoski,Chicago Bears / 4th / 113th pick / 2016,KwiaNi00
Jimmy Landes,Detroit Lions / 6th / 210th pick / 2016,LandJi00
Daniel Lasco,New Orleans Saints / 7th / 237th pick / 2016,LascDa00
Darius Latham,,LathDa01
Kenny Lawler,Seattle Seahawks / 7th / 243rd pick / 2016,LawlKe00
Nile Lawrence-Stample,,LawrNi01
Shaq Lawson,Buffalo Bills / 1st / 19th pick / 2016,LawsSh00
Darron Lee,New York Jets / 1st / 20th pick / 2016,LeexDa00
Alex Lewis,Baltimore Ravens / 4th / 130th pick / 2016,LewiAl01
Roger Lewis,,LewiRo03
Kolby Listenbee,Buffalo Bills / 6th / 192nd pick / 2016,ListKo00
Cory Littleton,,LittCo01
Jordan Lomax,,LomaJo00
Steve Longa,,LongSt00
Ricardo Louis,Cleveland Browns / 4th / 114th pick / 2016,LouiRi00
Dean Lowry,Green Bay Packers / 4th / 137th pick / 2016,LowrDe00
Jordan Lucas,Miami Dolphins / 6th / 204th pick / 2016,LucaJo00
John Lunsford,,-9999
Paxton Lynch,Denver Broncos / 1st / 26th pick / 2016,LyncPa00
Tre Madden,,MaddTr01
Luther Maddy,,MaddLu00
Curt Maggitt,,MaggCu00
Ryan Malleck,,MallRy02
Byron Marshall,,MarsBy01
Jalin Marshall,,MarsJa01
Keith Marshall,Washington Redskins / 7th / 242nd pick / 2016,MarsKe00
Nick Martin,Houston Texans / 2nd / 50th pick / 2016,MartNi00
Blake Martinez,Green Bay Packers / 4th / 131st pick / 2016,MartBl01
Tyler Marz,,MarzTy01
Tyler Matakevich,Pittsburgh Steelers / 7th / 246th pick / 2016,MataTy00
Chris Mayes,,-9999
Alex McCalister,Philadelphia Eagles / 7th / 240th pick / 2016,McCaAl00
Jake McGee,,McGeJa01
Connor McGovern,Denver Broncos / 5th / 144th pick / 2016,McGoCo00
Mekale McKay,,McKaMe00
Cassanova McKinzy,,McKiCa01
Braxton Miller,Houston Texans / 3rd / 85th pick / 2016,MillBr03
Harlan Miller,Arizona Cardinals / 6th / 205th pick / 2016,MillHa00
Jalen Mills,Philadelphia Eagles / 7th / 233rd pick / 2016,MillJa02
Malcolm Mitchell,New England Patriots / 4th / 112th pick / 2016,MitcMa01
Will Monday,,MondWi00
Chris Moore,Baltimore Ravens / 4th / 107th pick / 2016,MoorCh00
David Morgan,Minnesota Vikings / 6th / 188th pick / 2016,MorgDa01
Antonio Morrison,Indianapolis Colts / 4th / 125th pick / 2016,MorrAn01
Kyle Murphy,Green Bay Packers / 6th / 200th pick / 2016,MurpKy00
Eric Murray,Kansas City Chiefs / 4th / 106th pick / 2016,MurrEr00
Carl Nassib,Cleveland Browns / 3rd / 65th pick / 2016,NassCa00
Keanu Neal,Atlanta Falcons / 1st / 17th pick / 2016,NealKe01
Stephane Nembot,,NembSt01
Giorgio Newberry,,NewbGi00
Yannick Ngakoue,Jacksonville Jaguars / 3rd / 69th pick / 2016,NgakYa00
Dadi Nicolas,Kansas City Chiefs / 6th / 203rd pick / 2016,NicoDa00
Robert Nkemdiche,Arizona Cardinals / 1st / 29th pick / 2016,NkemRo00
Jared Norris,,NorrJa00
Marquez North,,-9999
Nick O'Toole,,OTooNi00
Shawn Oakman,,OakmSh00
Jaden Oberkrom,,OberJa00
Victor Ochi,,OchiVi00
Rees Odhiambo,Seattle Seahawks / 3rd / 97th pick / 2016,OdhiRe00
Emmanuel Ogbah,Cleveland Browns / 2nd / 32nd pick / 2016,OgbaEm00
Romeo Okwara,,OkwaRo01
Drew Ott,,OttxDr00
Montese Overton,,OverMo00
Gionni Paul,,PaulGi00
Jordan Payton,Cleveland Browns / 5th / 154th pick / 2016,PaytJo00
Charone Peake,New York Jets / 7th / 241st pick / 2016,PeakCh00
Paul Perkins,New York Giants / 5th / 149th pick / 2016,PerkPa00
Joshua Perry,San Diego Chargers / 4th / 102nd pick / 2016,PerrJo01
Kevin Peterson,,PeteKe01
D.J. Pettway,,PettD.01
Tyvis Powell,,PoweTy01
Dak Prescott,Dallas Cowboys / 4th / 135th pick / 2016,PresDa01
C.J. Prosise,Seattle Seahawks / 3rd / 90th pick / 2016,ProsC.00
Jimmy Pruitt,,-9999
Reggie Ragland,Buffalo Bills / 2nd / 41st pick / 2016,RaglRe00
Jalen Ramsey,Jacksonville Jaguars / 1st / 5th pick / 2016,RamsJa00
Sheldon Rankins,New Orleans Saints / 1st / 12th pick / 2016,RankSh00
D.J. Reader,Houston Texans / 5th / 166th pick / 2016,ReadD.00
Alex Redmond,,RedmAl01
Will Redmond,San Francisco 49ers / 3rd / 68th pick / 2016,RedmWi00
Jarran Reed,Seattle Seahawks / 2nd / 49th pick / 2016,ReedJa02
Hassan Ridgeway,Indianapolis Colts / 4th / 116th pick / 2016,RidgHa00
Dominique Robertson,,-9999
A'Shawn Robinson,Detroit Lions / 2nd / 46th pick / 2016,RobiAS00
Demarcus Robinson,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
Rashard Robinson,San Francisco 49ers / 4th / 133rd pick / 2016,RobiRa00
Alonzo Russell,,RussAl01
Keivarae Russell,Kansas City Chiefs / 3rd / 74th pick / 2016,RussKe00
Zack Sanchez,Carolina Panthers / 5th / 141st pick / 2016,SancZa00
Beau Sandland,Carolina Panthers / 7th / 252nd pick / 2016,SandBe00
Joe Schobert,Cleveland Browns / 4th / 99th pick / 2016,SchoJo00
Rashawn Scott,,ScotRa01
Isaac Seumalo,Philadelphia Eagles / 3rd / 79th pick / 2016,SeumIs00
Kevon Seymour,Buffalo Bills / 6th / 218th pick / 2016,SeymKe00
Hunter Sharp,,SharHu01
Tajae Sharpe,Tennessee Titans / 5th / 140th pick / 2016,SharTa00
Brandon Shell,New York Jets / 5th / 158th pick / 2016,ShelBr00
Sterling Shepard,New York Giants / 2nd / 40th pick / 2016,ShepSt00
Elijah Shumate,,ShumEl01
Devaunte Sigler,,-9999
Justin Simmons,Denver Broncos / 3rd / 98th pick / 2016,SimmJu00
Leshaun Sims,Tennessee Titans / 5th / 157th pick / 2016,SimsLe00
Matt Skura,,SkurMa01
Pearce Slater,,SlatPe01
Wendell Smallwood,Philadelphia Eagles / 5th / 153rd pick / 2016,SmalWe00
Jaylon Smith,Dallas Cowboys / 2nd / 34th pick / 2016,SmitJa05
Ryan Smith,Tampa Bay Buccaneers / 4th / 108th pick / 2016,SmitRy00
Terrance Smith,,SmitTe04
Noah Spence,Tampa Bay Buccaneers / 2nd / 39th pick / 2016,SpenNo00
Jason Spriggs,Green Bay Packers / 2nd / 48th pick / 2016,SpriJa00
Nelson Spruce,,SpruNe01
A.J. Stamps,,StamA.00
Ronnie Stanley,Baltimore Ravens / 1st / 6th pick / 2016,StanRo00
Joel Stave,,StavJo01
Eric Striker,,StriEr00
Nate Sudfeld,Washington Redskins / 6th / 187th pick / 2016,SudfNa00
Charles Tapper,Dallas Cowboys / 4th / 101st pick / 2016,TappCh00
Kelvin Taylor,San Francisco 49ers / 6th / 211th pick / 2016,TaylKe01
John Theus,San Francisco 49ers / 5th / 145th pick / 2016,TheuJo00
Lawrence Thomas,,ThomLa04
Michael Thomas,New Orleans Saints / 2nd / 47th pick / 2016,ThomMi05
Darian Thompson,New York Giants / 3rd / 71st pick / 2016,ThomDa05
Ron Thompson,,ThomRo06
Shadrach Thornton,,-9999
Joe Thuney,New England Patriots / 3rd / 78th pick / 2016,ThunJo00
Cole Toner,Arizona Cardinals / 5th / 170th pick / 2016,ToneCo00
Laquon Treadwell,Minnesota Vikings / 1st / 23rd pick / 2016,TreaLa00
Sebastian Tretola,Tennessee Titans / 6th / 193rd pick / 2016,TretSe00
Max Tuerk,San Diego Chargers / 3rd / 66th pick / 2016,TuerMa00
Laremy Tunsil,Miami Dolphins / 1st / 13th pick / 2016,TunsLa00
Landon Turner,,TurnLa00
Soma Vainuku,,VainSo01
Halapoulivaati Vaitai,Philadelphia Eagles / 5th / 164th pick / 2016,VaitHa00
Vincent Valentine,New England Patriots / 3rd / 96th pick / 2016,ValeVi00
Nick Vannett,Seattle Seahawks / 3rd / 94th pick / 2016,VannNi00
Nick Vigil,Cincinnati Bengals / 3rd / 87th pick / 2016,VigiNi00
Dan Vitale,Tampa Bay Buccaneers / 6th / 197th pick / 2016,VitaDa00
Jihad Ward,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02
Adolphus Washington,Buffalo Bills / 3rd / 80th pick / 2016,WashAd00
Deandre Washington,Oakland Raiders / 5th / 143rd pick / 2016,WashDe00
Stephen Weatherly,Minnesota Vikings / 7th / 227th pick / 2016,WeatSt00
Carson Wentz,Philadelphia Eagles / 1st / 2nd pick / 2016,WentCa00
Christian Westerman,Cincinnati Bengals / 5th / 161st pick / 2016,WestCh02
D.J. White,Kansas City Chiefs / 6th / 178th pick / 2016,WhitD.00
Cody Whitehair,Chicago Bears / 2nd / 56th pick / 2016,WhitCo03
Brandon Wilds,,WildBr01
Brandon Williams,Arizona Cardinals / 3rd / 92nd pick / 2016,WillBr07
Bryce Williams,,WillBr08
Duke Williams,,WillDh00
Jonathan Williams,Buffalo Bills / 5th / 156th pick / 2016,WillJo07
De'Runnya Wilson,,WilsDe00
Josh Woodrum,,WoodJo01
Antwaun Woods,,WoodAn02
Daryl Worley,Carolina Panthers / 3rd / 77th pick / 2016,WorlDa00
Connor Wujciak,,WujcCo00
Avery Young,,YounAv01
Tavon Young,Baltimore Ravens / 4th / 104th pick / 2016,YounTa01
Anthony Zettel,Detroit Lions / 6th / 202nd pick / 2016,ZettAn00
