Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
A.J. Brown,6-0,226,4.49,36.5,19.0,120.0,,,BrowAJ00,2,51,TEN,WR,22,2022.0,0,2,4,44.0,28.0,60.0,0.0,2.0,0.0,0.0,0.0,5.0,70.0,1.0,273.0,4491.0,35.0,4.0,,,BrowAJ00
Marquise Brown,5-9,166,,,,,,,BrowMa04,1,25,BAL,WR,22,2022.0,0,0,3,29.0,24.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,262.0,3070.0,24.0,3.0,,,BrowMa04
Austin Bryant,6-4,271,,,,,,,BryaAu00,4,117,DET,DE,22,2022.0,0,0,0,5.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,4.5,BryaAu00
Isaiah Buggs,6-3,306,5.15,24.5,20.0,96.0,8.01,4.83,BuggIs00,6,192,PIT,DT,23,2022.0,0,0,1,10.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,1.0,BuggIs00
Brian Burns,6-5,249,4.53,36.0,,129.0,7.01,,BurnBr00,1,16,CAR,DE,21,2022.0,0,2,3,29.0,29.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,,38.0,BurnBr00
Ben Burr-Kirven,6-0,230,4.56,34.5,21.0,121.0,6.85,4.09,BurrBe00,5,142,SEA,LB,21,2020.0,0,0,0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,BurrBe00
Hakeem Butler,6-5,227,4.48,36.0,18.0,128.0,,,ButlHa00,4,103,ARI,WR,23,2020.0,0,0,0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ButlHa00
Yodny Cajuste,6-5,312,,,32.0,,,,CajuYo00,3,101,NWE,T,23,2022.0,0,0,0,4.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,CajuYo00
Parris Campbell,6-0,205,4.31,40.0,11.0,135.0,,4.03,CampPa00,2,59,IND,WR,22,2022.0,0,0,1,9.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,11.0,108.0,0.0,97.0,983.0,5.0,1.0,,,CampPa00
Blake Cashman,6-1,237,4.5,37.5,18.0,124.0,6.95,4.12,CashBl00,5,157,NYJ,LB,23,2022.0,0,0,0,6.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,,3.5,CashBl00
