Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Alontae Taylor,6-0,199.0,4.36,34.5,16.666666666666668,128.0,6.686666666666667,4.08,TaylAl01,2.0,49.0,NOR,DB,23.0,2022.0,0.0,0.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,TaylAl01
Cam Taylor-Britt,5-11,196.0,4.38,37.5,17.0,121.0,,,TaylCa01,2.0,60.0,CIN,CB,22.0,2022.0,0.0,0.0,1.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,,TaylCa01
Luke Tenuta,6-8,319.0,5.41,26.0,26.3,104.0,7.6594999999999995,4.77,TenuLu00,6.0,209.0,BUF,OL,23.0,2022.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,TenuLu00
Kayvon Thibodeaux,6-4,254.0,4.58,34.34615384615385,27.0,118.07692307692308,7.050000000000001,4.338,ThibKa00,1.0,5.0,NYG,DE,21.0,2022.0,0.0,0.0,1.0,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,,4.0,ThibKa00
Cameron Thomas,6-4,267.0,4.726923076923077,34.34615384615385,24.0,118.07692307692308,7.050000000000001,4.338,ThomCa03,3.0,87.0,ARI,DE,22.0,2022.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,3.0,ThomCa03
Isaiah Thomas,6-5,266.0,4.7,31.5,22.0,117.0,7.050000000000001,4.338,ThomIs01,7.0,223.0,CLE,DE,23.0,2022.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,1.0,ThomIs01
Skylar Thompson,6-2,217.0,4.91,31.0,,112.0,7.0,4.28,ThomSk00,7.0,247.0,MIA,QB,25.0,2022.0,0.0,0.0,0.0,2.0,2.0,7.0,60.0,105.0,534.0,1.0,3.0,14.0,21.0,0.0,0.0,0.0,0.0,,,,ThomSk00
Tyquan Thornton,6-2,181.0,4.28,36.5,,130.0,7.098000000000001,4.308750000000001,ThorTy00,2.0,50.0,NWE,WR,22.0,2022.0,0.0,0.0,1.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,22.0,247.0,2.0,2.0,,,ThorTy00
Channing Tindall,6-2,230.0,4.47,42.0,23.75,129.0,7.03,4.326666666666667,TindCh00,3.0,102.0,MIA,LB,22.0,2022.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,TindCh00
Jalen Tolbert,6-1,194.0,4.49,36.0,,123.0,7.08,4.308750000000001,TolbJa00,3.0,88.0,DAL,WR,23.0,2022.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,,,,TolbJa00
Zach Tom,6-4,304.0,4.94,33.0,26.3,118.0,7.32,4.47,TomxZa00,4.0,140.0,GNB,OL,23.0,2022.0,0.0,0.0,0.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,TomxZa00
Cole Turner,6-6,246.0,4.76,27.0,17.0,120.0,7.06,4.41,TurnCo00,5.0,149.0,WAS,TE,22.0,2022.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,,,,TurnCo00
Delarrin Turner-Yell,5-10,197.0,4.47,35.666666666666664,19.0,122.0,6.760000000000001,4.260000000000001,TurnDe02,5.0,152.0,DEN,S,22.0,2022.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,TurnDe02
