Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Jamal Adams,6-0,214,4.56,31.5,18,120,6.96,4.13,AdamJa00
Montravius Adams,6-4,304,4.87,29.0,22,108,7.62,4.89,AdamMo00
Rodney Adams,6-1,189,4.44,29.5,8,125,6.98,4.28,AdamRo01
Quincy Adeboyejo,6-3,197,4.42,34.5,8,123,6.73,4.14,AdebQu00
Brian Allen,6-3,215,4.48,34.5,15,117,6.64,4.34,AlleBr01
Jonathan Allen,6-3,286,5.00,30.0,21,108,7.49,4.50,AlleJo01
Ryan Anderson,6-2,253,4.78,,,,,,AndeRy00
Alex Anzalone,6-3,241,4.63,30.5,16,116,6.88,4.25,AnzaAl00
Isaac Asiata,6-3,323,5.34,25.5,35,102,7.83,4.93,AsiaIs00
Erik Austell,6-3,301,5.23,27.5,24,107,8.13,4.90,-9999
Chidobe Awuzie,6-0,202,4.43,34.5,16,132,6.81,4.14,AwuzCh00
Budda Baker,5-10,195,4.45,32.5,15,115,6.76,4.08,BakeBu00
Toby Baker,6-3,210,,,,,,,BakeTo01
Zach Banner,6-8,353,5.58,23.5,22,92,8.31,5.21,BannZa00
Derek Barnett,6-3,259,4.88,31.0,,117,6.96,4.44,BarnDe01
Tarell Basham,6-4,269,4.70,31.5,15,119,7.27,4.35,BashTa00
C.J. Beathard,6-2,219,,31.0,,113,,,BeatC.00
Kendell Beckwith,6-2,243,,,20,,,,BeckKe00
Vince Biegel,6-3,246,4.67,33.5,21,118,6.92,4.30,BiegVi00
Adam Bisnowaty,6-6,304,5.23,29.5,23,96,8.02,4.94,BisnAd00
Garrett Bolles,6-5,297,4.95,28.0,,115,7.29,4.55,BollGa00
Ben Boulware,6-0,238,,29.5,20,111,7.02,4.43,BoulBe00
Kendrick Bourne,6-1,203,4.68,34.0,9,125,6.73,4.21,BourKe00
Tashawn Bower,6-5,250,4.82,31.5,20,121,7.20,4.37,BoweTa00
Tyus Bowser,6-3,247,4.65,37.5,21,127,6.75,,BowsTy00
Ben Braden,6-6,329,5.04,28.0,25,102,7.85,4.90,BradBe00
Caleb Brantley,6-3,307,5.14,27.0,21,105,7.66,4.62,BranCa00
Billy Brown,6-3,254,4.70,29.0,23,118,,,-9999
Blair Brown,5-11,238,4.65,37.0,,124,6.92,4.18,BrowBl00
Fadol Brown,6-4,273,4.94,34.0,19,115,7.24,4.44,BrowFa00
Jayon Brown,6-0,231,4.70,31.5,17,120,,,BrowJa06
Noah Brown,6-2,222,,,19,,7.07,4.33,BrowNo00
Pharaoh Brown,6-6,255,,34.0,24,,,,BrowPh01
Daniel Brunskill,6-5,273,,28.0,17,106,7.90,4.84,BrunDa00
Collin Buchanan,6-5,316,,25.0,23,97,,,BuchCo00
Riley Bullough,6-2,226,,31.5,20,116,,,BullRi00
Harrison Butker,6-4,199,,,,,,,ButkHa00
Jake Butt,6-5,246,,,,,,,ButtJa00
K.D. Cannon,5-11,182,4.41,37.0,13,119,,,CannK.00
Josh Carraway,6-3,242,4.74,29.5,25,120,7.20,4.44,CarrJo00
Chris Carson,6-0,218,4.58,37.0,23,130,,,CarsCh00
Cethan Carter,6-3,241,4.68,,19,,,,CartCe00
Jamal Carter,6-1,218,4.64,35.0,19,122,,,CartJa02
Taco Charlton,6-6,277,4.92,33.0,25,116,7.17,4.39,CharTa00
Jehu Chesson,6-3,204,4.47,35.5,10,132,6.70,4.09,ChesJe00
Chuck Clark,6-0,208,4.54,34.0,16,122,6.85,4.07,ClarCh00
Jeremy Clark,6-3,220,,,20,,,,ClarJe04
Corey Clement,5-10,220,4.68,28.5,19,115,,,ClemCo00
Chunky Clements,6-2,301,,,23,,,,ClemCh00
Tarik Cohen,5-6,179,4.42,31.5,11,118,,,CoheTa00
Stacy Coley,6-1,195,4.45,34.0,10,122,,,ColeSt00
Aviante Collins,6-4,295,4.81,,34,,,,CollAv00
Gareon Conley,6-0,195,4.44,37.0,11,129,6.68,4.18,ConlGa00
James Conner,6-1,233,4.65,29.0,20,113,,,ConnJa00
Dalvin Cook,5-10,210,4.49,30.5,22,116,7.27,4.53,CookDa01
Ethan Cooper,6-2,322,5.36,24.5,26,99,8.02,4.88,CoopEt00
Zach Cunningham,6-3,234,4.67,35.0,15,125,7.03,4.29,CunnZa00
Darrell Daniels,6-3,247,4.55,32.0,17,116,7.09,4.47,DaniDa02
Amara Darboh,6-2,214,4.45,36.0,17,124,,,DarbAm00
Julien Davenport,6-7,318,5.45,27.0,18,106,7.57,4.69,-9999
Corey Davis,6-3,209,,,,,,,DaviCo03
Jarrad Davis,6-1,238,,,,,,,DaviJa01
Justin Davis,6-1,208,,,21,,,,DaviJu00
Kevin Davis,6-2,235,4.91,30.5,11,110,7.18,4.38,DaviKe02
Keionta Davis,6-3,271,,,,,,,DaviKe03
Robert Davis,6-3,219,4.44,41.0,19,136,6.82,4.28,DaviRo00
Dion Dawkins,6-4,314,5.11,26.0,26,106,7.30,4.78,DawkDi00
Matthew Dayes,5-9,205,4.47,28.0,18,109,,,DayeMa00
Treston DeCoud,6-2,206,4.62,31.0,11,116,,,DecoTr00
J.J. Dielman,6-5,309,,,27,,,,DielJJ00
Joshua Dobbs,6-3,216,4.64,33.0,,122,6.75,4.31,DobbJo00
Dylan Donahue,6-3,248,4.75,29.5,26,116,7.02,4.46,DonaDy00
Rasul Douglas,6-2,209,4.59,33.5,16,120,6.97,4.26,DougRa00
Jessamen Dunker,6-4,318,4.98,28.5,23,108,,,-9999
Malachi Dupre,6-2,196,4.52,39.5,11,135,7.19,4.26,DuprMa01
Travin Dural,6-1,202,4.57,30.5,,116,7.29,4.55,DuraTr00
Ken Ekanem,6-3,257,4.88,30.5,,115,7.38,4.58,EkanKe00
Corn Elder,5-10,183,4.55,,,,,,EldeCo00
Pat Elflein,6-3,303,5.32,23.5,22,99,7.94,4.71,ElflPa00
Jake Elliott,5-9,167,4.79,,,,,,ElliJa03
Brooks Ellis,6-2,240,4.79,29.5,18,115,6.80,4.25,ElliBr01
Jermaine Eluemunor,6-4,332,5.22,,34,,,,ElueJe00
Evan Engram,6-3,234,4.42,36.0,19,125,6.92,4.23,EngrEv00
Amba Etta-Tawo,6-1,208,4.49,31.0,14,126,6.95,4.32,EttaAm00
Jerod Evans,6-3,232,4.80,26.5,,112,,4.41,EvanJe01
Justin Evans,6-0,199,,,14,,,,EvanJu00
Gerald Everett,6-3,239,4.62,37.5,22,126,6.99,4.33,EverGe00
Dan Feeney,6-4,305,5.24,28.0,26,101,7.52,4.68,FeenDa00
Devonte Fields,6-2,236,4.72,34.0,,124,7.40,4.50,FielDe00
Isaiah Ford,6-1,194,4.61,35.5,14,127,6.94,4.34,FordIs00
Johnathan Ford,5-11,205,,,20,,,,FordRu00
D'Onta Foreman,6-0,233,,,18,,,,ForeDO00
Reuben Foster,6-0,229,,,,,,,FostRe00
Leonard Fournette,6-0,240,4.51,28.5,,,,,FourLe00
Kyle Fuller,6-5,307,5.24,26.0,23,96,7.71,4.84,FullKy01
Wayne Gallman,6-0,215,4.60,29.5,21,120,7.17,4.28,GallWa00
Antonio Garcia,6-6,302,5.15,31.0,24,108,7.98,4.94,GarcAn00
Myles Garrett,6-4,272,4.64,41.0,33,128,,,GarrMy00
Davon Gaudchaux,6-3,310,5.27,,18,,,,GodcDa00
Ben Gedeon,6-2,244,4.75,34.5,27,119,6.98,4.13,GedeBe00
Avery Gennesy,6-3,318,5.35,20.0,24,91,8.08,5.00,GennAv00
Nate Gerry,6-2,218,4.58,30.5,17,122,,,GerrNa00
Shelton Gibson,5-11,191,4.50,32.0,8,118,6.83,4.20,GibsSh00
Ryan Glasgow,6-3,302,5.13,27.5,20,105,7.55,4.50,GlasRy00
Chris Godwin,6-1,209,4.42,36.0,19,126,7.01,4.00,GodwCh00
Kenny Golladay,6-4,218,4.50,35.5,18,120,7.00,4.15,GollKe00
Zane Gonzalez,6-0,202,,,,,,,GonzZa00
Shaquill Griffin,6-0,194,4.38,38.5,17,132,6.87,4.14,GrifSh00
Nate Hairston,6-0,196,4.52,35.5,14,118,,,HairNa00
Daeshon Hall,6-5,266,4.76,36.0,18,123,7.03,4.38,HallDa01
Chad Hansen,6-2,202,4.53,35.0,11,119,6.74,4.13,HansCh00
Sean Harlow,6-4,303,5.15,30.5,26,105,8.16,4.81,HarlSe00
Connor Harris,5-11,242,4.73,33.0,18,114,7.13,4.31,-9999
Charles Harris,6-3,253,4.82,32.0,21,109,7.47,4.42,HarrCh03
Josh Harvey-Clemons,6-4,217,,31.5,12,121,,,HarvJo01
Keon Hatcher,6-1,212,4.64,,16,,,,HatcKe00
DeAngelo Henderson,5-7,208,4.48,34.0,20,120,,,-9999
Carlos Henderson,5-11,199,4.46,36.0,13,131,7.18,4.35,HendCa01
Trey Hendrickson,6-4,266,4.65,33.5,,122,7.03,4.20,HendTr00
Treyvon Hester,6-2,300,,,,,,,HestTr00
Cole Hikutini,6-4,247,,,20,,,,HikuCo00
Brian Hill,6-1,219,4.54,34.0,15,125,7.03,4.32,HillBr02
Delano Hill,6-1,216,4.47,33.5,17,115,6.96,4.27,HillDe02
Bucky Hodges,6-6,257,4.57,39.0,18,134,,4.45,HodgBu00
Colin Holba,6-4,248,5.19,28.0,,115,,,HolbCo00
Will Holden,6-7,311,5.47,28.0,23,111,7.71,4.72,HoldWi00
Mack Hollins,6-4,221,4.53,,,,,,HollMa00
Elijah Hood,6-0,232,,,18,,,,HoodEl00
Malik Hooker,6-1,206,,,,,,,HookMa00
Bug Howard,6-4,221,4.58,37.5,,119,6.95,4.14,HowaBu00
O.J. Howard,6-6,251,4.51,30.0,22,121,6.85,4.16,HowaO.00
Marlon Humphrey,6-0,197,4.41,,10,125,6.75,,HumpMa00
Hayden Hunt,6-0,212,,,,,,,HuntHa01
Kareem Hunt,5-10,216,4.62,36.5,18,119,,,HuntKa00
Rushel Shell III,5-10,227,4.74,32.5,21,,,,-9999
Danny Isidora,6-3,306,5.03,29.0,26,94,8.13,4.90,IsidDa00
Adoree Jackson,5-10,186,4.42,36.0,,122,,,JackAd00
Eddie Jackson,6-0,201,,,10,,,,JackEd01
Rayshawn Jenkins,6-1,214,4.51,37.0,19,128,,,JenkRa00
Dorian Johnson,6-5,300,5.27,30.0,21,114,8.39,5.09,JohnDo03
Jadar Johnson,6-0,206,4.60,33.0,19,119,6.90,4.20,JohnJa08
Jaleel Johnson,6-3,316,5.38,28.0,19,100,7.64,4.62,JohnJa09
John Johnson,6-1,205,4.61,37.0,14,119,6.72,4.18,JohnJo10
Roderick Johnson,6-7,298,,,,,,,JohnRo06
Cameron Johnston,5-11,194,4.92,,,,,,JohnCa02
Aaron Jones,5-9,208,4.56,37.5,16,127,6.82,4.20,JoneAa00
D.J. Jones,6-1,319,5.04,28.5,25,108,7.73,4.65,JoneD.01
