Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Dante Pettis,6-0,186,,,,,,,PettDa00
Kemoko Turay,6-5,253,4.65,,,,,,TuraKe00
Josh Adams,6-2,213,,,18,,,,AdamJo03
Ola Adeniyi,6-2,248,4.83,31.5,26,,7.21,4.28,-9999
Jordan Akins,6-3,249,,,,,,,AkinJo00
Jaire Alexander,5-11,192,4.38,35.0,14,127,6.71,3.98,AlexJa00
Austin Allen,6-0,210,4.81,29.5,,112,7.18,4.48,-9999
Brian Allen,6-1,298,5.34,26.5,27,99,7.81,4.71,AlleBr02
Josh Allen,6-5,237,4.75,33.5,,119,6.90,4.40,AlleJo02
Marcus Allen,6-2,202,,37.0,15,127,,4.32,AlleMa03
Mark Andrews,6-5,256,4.67,31.0,17,113,7.34,4.38,AndrMa00
Troy Apke,6-2,198,4.34,41.0,16,131,6.56,4.03,ApkeTr00
Dorance Armstrong,6-4,257,4.87,30.0,20,118,7.12,4.23,ArmsDo00
Ade Aruna,6-6,262,4.60,38.5,18,128,7.53,4.48,ArunAd00
Marcell Ateman,6-4,216,4.62,34.0,13,121,7.07,4.25,AtemMa00
John Atkins,6-4,321,5.38,24.0,,89,7.95,4.75,AtkiJo01
Anthony Averett,6-0,185,4.36,31.5,13,119,6.93,4.40,AverAn00
Genard Avery,6-1,248,4.59,36.0,26,124,6.90,4.36,AverGe00
Mike Badgley,5-10,183,4.94,,,111,,,-9999
Jerome Baker,6-1,229,4.53,36.5,22,126,,,BakeJe00
Kalen Ballage,6-1,228,4.46,33.5,15,122,6.91,4.35,BallKa00
Saquon Barkley,6-0,233,4.40,41.0,29,,,4.24,BarkSa00
J.T. Barrett,6-1,224,4.70,30.0,,108,7.38,4.44,BarrJ.00
Jessie Bates,6-2,195,4.50,35.5,,117,6.78,4.26,BateJe00
Marcus Baugh,6-3,247,4.81,33.0,,117,7.28,4.51,BaugMa02
Nick Bawden,6-2,245,,,,,,,BawdNi00
Davin Bellamy,6-5,255,,,15,,,,BellDa01
Kurt Benkert,6-3,218,4.95,31.0,16,112,7.15,4.33,BenkKu01
Braxton Berrios,5-9,184,,,11,,,,BerrBr00
Keishawn Bierria,6-2,230,4.79,30.5,21,117,7.26,,BierKe00
Quin Blanding,6-2,215,4.63,31.5,,122,,,BlanQu01
David Bright,6-5,307,,,,,,,BrigDa01
Drew Brown,5-10,208,,,,,,,-9999
Andrew Brown,6-4,296,5.03,28.0,31,101,7.51,4.48,BrowAn05
Orlando Brown,6-8,345,5.85,19.5,14,82,7.87,5.38,BrowOr00
Tony Brown,6-0,198,4.35,31.5,14,126,6.78,4.11,BrowTo01
Equanimeous St. brown,6-5,214,4.48,,20,,,,St.BEq00
Taven Bryan,6-4,291,4.98,35.0,30,119,7.12,4.48,BryaTa00
Oren Burks,6-3,233,4.59,39.5,18,131,6.82,4.15,BurkOr00
Deontay Burnett,6-0,186,,,,,,,BurnDe00
Jason Cabinda,6-1,239,,,19,,,,CabiJa00
Deon Cain,6-2,202,4.43,33.5,11,115,6.71,4.37,CainDe00
Antonio Callaway,5-11,200,4.41,34.0,,121,,,CallAn00
Chris Campbell,6-1,194,,,14,,,,-9999
Dylan Cantrell,6-3,226,4.59,38.5,18,130,6.56,4.03,CantDy00
