Player,Drafted (tm/rnd/yr),Player-additional
Dante Pettis,San Francisco 49ers / 2nd / 44th pick / 2018,PettDa00
Kemoko Turay,Indianapolis Colts / 2nd / 52nd pick / 2018,TuraKe00
Josh Adams,,AdamJo03
Ola Adeniyi,,-9999
Jordan Akins,Houston Texans / 3rd / 98th pick / 2018,AkinJo00
Jaire Alexander,Green Bay Packers / 1st / 18th pick / 2018,AlexJa00
Austin Allen,,-9999
Brian Allen,Los Angeles Rams / 4th / 111th pick / 2018,AlleBr02
Josh Allen,Buffalo Bills / 1st / 7th pick / 2018,AlleJo02
Marcus Allen,Pittsburgh Steelers / 5th / 148th pick / 2018,AlleMa03
Mark Andrews,Baltimore Ravens / 3rd / 86th pick / 2018,AndrMa00
Troy Apke,Washington Redskins / 4th / 109th pick / 2018,ApkeTr00
Dorance Armstrong,Dallas Cowboys / 4th / 116th pick / 2018,ArmsDo00
Ade Aruna,Minnesota Vikings / 6th / 218th pick / 2018,ArunAd00
Marcell Ateman,Oakland Raiders / 7th / 228th pick / 2018,AtemMa00
John Atkins,,AtkiJo01
Anthony Averett,Baltimore Ravens / 4th / 118th pick / 2018,AverAn00
Genard Avery,Cleveland Browns / 5th / 150th pick / 2018,AverGe00
Mike Badgley,,-9999
Jerome Baker,Miami Dolphins / 3rd / 73rd pick / 2018,BakeJe00
Kalen Ballage,Miami Dolphins / 4th / 131st pick / 2018,BallKa00
Saquon Barkley,New York Giants / 1st / 2nd pick / 2018,BarkSa00
J.T. Barrett,,BarrJ.00
Jessie Bates,Cincinnati Bengals / 2nd / 54th pick / 2018,BateJe00
Marcus Baugh,,BaugMa02
Nick Bawden,Detroit Lions / 7th / 237th pick / 2018,BawdNi00
Davin Bellamy,,BellDa01
Kurt Benkert,,BenkKu01
Braxton Berrios,New England Patriots / 6th / 210th pick / 2018,BerrBr00
Keishawn Bierria,Denver Broncos / 6th / 217th pick / 2018,BierKe00
Quin Blanding,,BlanQu01
David Bright,,BrigDa01
Drew Brown,,-9999
Andrew Brown,Cincinnati Bengals / 5th / 158th pick / 2018,BrowAn05
Orlando Brown,Baltimore Ravens / 3rd / 83rd pick / 2018,BrowOr00
Tony Brown,,BrowTo01
Equanimeous St. brown,Green Bay Packers / 6th / 207th pick / 2018,St.BEq00
Taven Bryan,Jacksonville Jaguars / 1st / 29th pick / 2018,BryaTa00
Oren Burks,Green Bay Packers / 3rd / 88th pick / 2018,BurkOr00
Deontay Burnett,,BurnDe00
Jason Cabinda,,CabiJa00
Deon Cain,Indianapolis Colts / 6th / 185th pick / 2018,CainDe00
Antonio Callaway,Cleveland Browns / 4th / 105th pick / 2018,CallAn00
Chris Campbell,,-9999
Dylan Cantrell,Los Angeles Chargers / 6th / 191st pick / 2018,CantDy00
Alex Cappa,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,CappAl00
Tanner Carew,,-9999
Daniel Carlson,Minnesota Vikings / 5th / 167th pick / 2018,CarlDa00
Lorenzo Carter,New York Giants / 3rd / 66th pick / 2018,CartLo01
Andre Chachere,,-9999
Sean Chandler,,ChanSe00
D.J. Chark,Jacksonville Jaguars / 2nd / 61st pick / 2018,CharDJ00
Geron Christian,Washington Redskins / 3rd / 74th pick / 2018,ChriGe01
Bradley Chubb,Denver Broncos / 1st / 5th pick / 2018,ChubBr00
Nick Chubb,Cleveland Browns / 2nd / 35th pick / 2018,ChubNi00
Jack Cichy,Tampa Bay Buccaneers / 6th / 202nd pick / 2018,CichJa00
Will Clapp,New Orleans Saints / 7th / 245th pick / 2018,ClapWi00
Simmie Cobbs,,CobbSi00
Mason Cole,Arizona Cardinals / 3rd / 97th pick / 2018,ColeMa02
Lavon Coleman,,ColeLa02
Tyler Conklin,Minnesota Vikings / 5th / 157th pick / 2018,ConkTy00
Austin Corbett,Cleveland Browns / 2nd / 33rd pick / 2018,CorbAu00
Keke Coutee,Houston Texans / 4th / 103rd pick / 2018,CoutKe00
Chris Covington,Dallas Cowboys / 6th / 193rd pick / 2018,CoviCh01
Justin Crawford,,-9999
Tyrell Crosby,Detroit Lions / 5th / 153rd pick / 2018,CrosTy00
Dane Cruikshank,Tennessee Titans / 5th / 152nd pick / 2018,CruiDa00
Trevor Daniel,,DaniTr00
James Daniels,Chicago Bears / 2nd / 39th pick / 2018,DaniJa01
Sam Darnold,New York Jets / 1st / 3rd pick / 2018,DarnSa00
Marcus Davenport,New Orleans Saints / 1st / 14th pick / 2018,DaveMa00
Joseph Davidson,,-9999
Carlton Davis,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,DaviCa02
Duke Dawson,New England Patriots / 2nd / 56th pick / 2018,DawsDu00
Dee Delaney,,DelaDe00
Nick Deluca,,DeLuNi00
Jamil Demby,Los Angeles Rams / 6th / 192nd pick / 2018,DembJa00
Matt Dickerson,,DickMa00
Michael Dickson,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00
Will Dissly,Seattle Seahawks / 4th / 120th pick / 2018,DissWi00
Garret Dooley,,DoolGa01
Chase Edmonds,Arizona Cardinals / 4th / 134th pick / 2018,EdmoCh00
Terrell Edmunds,Pittsburgh Steelers / 1st / 28th pick / 2018,EdmuTe00
Tremaine Edmunds,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
Duke Ejiofor,Houston Texans / 6th / 177th pick / 2018,EjioDu00
Deshon Elliott,Baltimore Ravens / 6th / 190th pick / 2018,ElliDe02
Donnie Ernsberger,,ErnsDo00
Leighton Vander esch,Dallas Cowboys / 1st / 19th pick / 2018,VandLe00
Danny Etling,New England Patriots / 7th / 219th pick / 2018,EtliDa00
Rashaan Evans,Tennessee Titans / 1st / 22nd pick / 2018,EvanRa01
Brandon Facyson,,FacyBr00
Luke Falk,Tennessee Titans / 6th / 199th pick / 2018,FalkLu00
Rashard Fant,,-9999
Foley Fatukasi,,-9999
Riley Ferguson,,FergRi00
Kylie Fitts,Chicago Bears / 6th / 181st pick / 2018,FittKy00
Minkah Fitzpatrick,Miami Dolphins / 1st / 11th pick / 2018,FitzMi00
Quinton Flowers,,-9999
Dimitri Flowers,,FlowDi00
Tre Flowers,Seattle Seahawks / 5th / 146th pick / 2018,FlowTr01
Robert Foster,,FostRo01
Jarvion Franklin,,FranJa02
John Franklin-Myers,Los Angeles Rams / 4th / 135th pick / 2018,FranJo02
Joshua Frazier,Pittsburgh Steelers / 7th / 246th pick / 2018,FrazJo00
Royce Freeman,Denver Broncos / 3rd / 71st pick / 2018,FreeRo00
Troy Fumagalli,Denver Broncos / 5th / 156th pick / 2018,FumaTr00
Michael Gallup,Dallas Cowboys / 3rd / 81st pick / 2018,GallMi00
Nick Gates,,GateNi00
Rashaan Gaulden,Carolina Panthers / 3rd / 85th pick / 2018,GaulRa00
Mike Gesicki,Miami Dolphins / 2nd / 42nd pick / 2018,GesiMi00
Dallas Goedert,Philadelphia Eagles / 2nd / 49th pick / 2018,GoedDa00
Colby Gossett,Minnesota Vikings / 6th / 213th pick / 2018,GossCo00
Davon Grayson,,-9999
Rasheem Green,Seattle Seahawks / 3rd / 79th pick / 2018,GreeRa01
Shaquem Griffin,Seattle Seahawks / 5th / 141st pick / 2018,GrifSh01
Derrius Guice,Washington Redskins / 2nd / 59th pick / 2018,GuicDe00
Grant Haley,,HaleGr00
Shaun dion Hamilton,Washington Redskins / 6th / 197th pick / 2018,DionSh00
Daesean Hamilton,Denver Broncos / 4th / 113th pick / 2018,HamiDa01
Dashawn Hand,,-9999
Davontae Harris,Cincinnati Bengals / 5th / 151st pick / 2018,HarrDa05
Marcell Harris,San Francisco 49ers / 6th / 184th pick / 2018,HarrMa03
Desmond Harrison,,HarrDe05
Ronnie Harrison,Jacksonville Jaguars / 3rd / 93rd pick / 2018,HarrRo02
Marquis Haynes,Carolina Panthers / 4th / 136th pick / 2018,HaynMa01
Taylor Hearn,,HearTa00
James Hearns,,-9999
Quadree Henderson,,HendQu00
Zaycoven Henderson,,HendZa00
Will Hernandez,New York Giants / 2nd / 34th pick / 2018,HernWi00
Chris Herndon,New York Jets / 4th / 107th pick / 2018,HernCh00
Kyle Hicks,,-9999
B.J. Hill,New York Giants / 3rd / 69th pick / 2018,HillB.00
Holton Hill,,HillHo00
Nyheim Hines,Indianapolis Colts / 4th / 104th pick / 2018,HineNy00
Jeff Holland,,HollJe01
Jalyn Holmes,Minnesota Vikings / 4th / 102nd pick / 2018,HolmJa01
Sam Hubbard,Cincinnati Bengals / 3rd / 77th pick / 2018,HubbSa00
Mike Hughes,Minnesota Vikings / 1st / 30th pick / 2018,HughMi00
Hayden Hurst,Baltimore Ravens / 1st / 25th pick / 2018,HursHa00
Maurice Hurst,Oakland Raiders / 5th / 140th pick / 2018,HursMa00
