Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Oday Aboushi,6-5,308,5.41,23.5,17,100,7.92,4.84,AbouOd00
Johnny Adams,5-10,185,4.48,,16,,,,AdamJo02
Robert Alford,5-10,188,4.39,40.0,17,132,6.89,4.23,AlfoRo00
Keenan Allen,6-2,206,4.58,,,,,,AlleKe00
Ryan Allen,6-1,229,4.98,,,,,,AlleRy01
Zach Allen,6-2,332,5.43,,32,,,,AlleZa00
Kiko Alonso,6-3,238,4.74,,,,,,AlonKi00
David Amerson,6-1,205,4.44,35.5,15,127,,,AmerDa00
C.J. Anderson,5-8,224,4.60,32.0,17,119,7.15,4.12,AndeC.00
Ziggy Ansah,6-5,271,4.56,34.5,21,118,7.11,4.26,AnsaEz00
Marc Anthony,5-11,196,4.63,35.0,12,118,6.74,4.07,AnthMa00
Terron Armstead,6-5,306,4.71,34.5,31,112,7.62,4.72,ArmsTe00
Tavon Austin,5-8,174,4.34,32.0,14,120,,4.01,AustTa00
Jeff Baca,6-3,302,5.03,26.5,,100,7.26,4.44,BacaJe00
Alvin Bailey,6-3,312,4.95,,27,,,,BailAl01
Stedman Bailey,5-10,193,4.52,34.5,11,117,6.81,4.09,BailSt01
David Bakhtiari,6-4,299,5.18,25.5,28,101,7.70,4.74,BakhDa00
Montee Ball,5-10,214,4.66,32.0,15,118,6.88,4.40,BallMo00
Johnthan Banks,6-2,185,4.61,34.0,10,125,6.97,4.27,BankJo00
Chris Barker,6-3,305,5.25,27.5,29,99,8.09,4.77,BarkCh00
Matt Barkley,6-2,227,4.91,,,,,,BarkMa00
Kenjon Barner,5-9,196,4.52,35.5,20,122,6.87,4.20,BarnKe00
T.J. Barnes,6-6,369,5.30,22.0,25,97,8.26,4.96,BarnT.00
Sam Barrington,6-1,246,4.91,32.5,22,117,,,BarrSa00
David Bass,6-4,262,4.84,30.5,20,111,7.07,4.33,BassDa00
Steve Beauharnais,6-1,240,4.84,33.0,19,118,6.99,4.20,BeauSt00
Nick Becton,6-5,323,5.20,29.5,19,109,7.77,4.57,BectNi00
Le'Veon Bell,6-1,230,4.60,31.5,24,118,6.75,4.24,BellLe00
Giovani Bernard,5-8,202,4.53,33.5,19,122,6.91,4.12,BernGi00
Tommy Bohanon,6-1,246,4.88,35.0,36,119,7.27,4.42,BohaTo00
Travis Bond,6-6,329,5.27,22.5,22,98,7.85,4.96,BondTr00
Alan Bonner,5-10,193,4.59,33.0,14,117,,4.15,BonnAl00
Zach Boren,5-11,238,5.00,32.0,25,109,7.28,4.44,BoreZa00
Jon Bostic,6-1,245,4.59,32.5,22,118,6.99,4.24,BostJo00
Josh Boyce,5-11,206,4.38,34.0,22,131,6.68,4.10,BoycJo00
Josh Boyd,6-3,310,5.14,26.5,32,104,7.16,4.64,BoydJo00
John Boyett,5-10,204,4.64,,27,,,,BoyeJo00
Tyler Bray,6-6,232,5.05,,,100,7.20,4.51,BrayTy00
Dylan Breeding,6-1,213,4.74,29.0,11,110,,,-9999
