Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Yasir Durant,6-6,331,5.52,25.0,21,,,,DuraYa01
Devin Duvernay,5-10,200,4.39,35.5,,123,7.13,4.20,DuveDe00
Troy Dye,6-3,231,,,,,,,DyexTr00
Jacob Eason,6-6,231,4.89,27.5,,110,7.50,4.75,EasoJa00
Bryan Edwards,6-3,212,,,,,,,EdwaBr01
Clyde Edwards-Helaire,5-7,207,4.60,39.5,15,123,,,EdwaCl00
Jalen Elliott,6-0,205,4.80,34.0,15,125,6.87,4.30,ElliJa05
Jordan Elliott,6-4,302,5.02,27.5,24,,,4.73,ElliJo02
A.J. Epenesa,6-5,275,5.04,32.5,17,117,7.34,4.46,EpenAJ00
Darrynton Evans,5-10,203,4.41,37.0,20,125,,,EvanDa02
Blake Ferguson,6-3,229,5.07,31.0,,112,7.43,4.52,FergBl00
Chris Finke,5-9,186,4.57,40.0,7,,,,FinkCh01
Leki Fotu,6-5,330,5.15,,21,,,,FotuLe00
Jake Fromm,6-2,219,5.01,30.0,,111,7.27,4.51,FromJa00
Aaron Fuller,5-11,188,4.59,34.0,,118,7.14,,FullAa01
Jordan Fuller,6-2,203,4.67,35.5,,122,,4.27,FullJo01
Kristian Fulton,6-0,197,4.46,35.5,,123,6.94,4.36,FultKr00
Tipa Galeai,6-5,235,,,,,,,GaleTi01
Neville Gallimore,6-2,304,4.79,,23,,7.97,5.01,GallNe00
Antonio Gandy-Golden,6-4,223,4.60,36.0,22,127,7.33,4.55,GandAn00
Cale Garrett,6-2,234,4.92,32.0,,124,6.91,4.13,GarrCa02
Jonathan Garvin,6-4,263,4.82,36.0,23,125,,,GarvJo00
Antonio Gibson,6-0,228,4.39,35.0,16,118,,,GibsAn00
Alohi Gilman,5-10,201,4.60,32.0,17,119,6.81,4.08,GilmAl00
Trevis Gipson,6-3,261,,,25,,,,GipsTr00
Jeff Gladney,5-10,191,4.48,37.5,17,124,7.26,,GladJe00
Anthony Gordon,6-2,205,,,,,,,GordAn01
A.J. Green,6-1,202,4.62,,13,,,,GreeAJ00
Jonathan Greenard,6-3,263,4.87,30.5,22,113,7.13,4.34,GreeJo04
Yetur Gross-Matos,6-5,266,,34.0,20,120,,,GrosYe00
Javelin Guidry,5-9,191,4.29,,21,,,,GuidJa01
Stephen Guidry,6-3,201,4.47,34.0,,125,7.31,4.46,GuidSt01
Bryce Hall,6-1,202,,,11,,,,HallBr02
DaVon Hamilton,6-4,320,5.14,29.5,33,102,7.72,,HamiDa02
LaDarius Hamilton,6-2,262,4.89,30.0,27,114,7.66,4.49,HamiLa01
KJ Hamler,5-9,178,,,15,,,,HamlKJ00
Harrison Hand,5-11,197,4.52,41.0,14,133,7.15,4.27,HandHa00
