Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Myles Garrett,DE,2,4,Texas A&M,GarrMy00
1,2,Mitchell Trubisky,QB,0,1,North Carolina,TrubMi00
1,3,Solomon Thomas,DE,0,0,Stanford,ThomSo00
1,4,Leonard Fournette,RB,0,0,LSU,FourLe00
1,5,Corey Davis,WR,0,0,Western Michigan,DaviCo03
1,6,Jamal Adams,S,1,3,LSU,AdamJa00
1,7,Mike Williams,WR,0,0,Clemson,WillMi07
1,8,Christian McCaffrey,RB,1,2,Stanford,McCaCh01
1,9,John Ross,WR,0,0,Washington,RossJo00
1,10,Patrick Mahomes,QB,2,5,Texas Tech,MahoPa00
1,11,Marshon Lattimore,CB,0,4,Ohio St.,LattMa01
1,12,Deshaun Watson,QB,0,3,Clemson,WatsDe00
1,13,Haason Reddick,LB,0,1,Temple,ReddHa00
1,14,Derek Barnett,DE,0,0,Tennessee,BarnDe01
1,15,Malik Hooker,S,0,0,Ohio St.,HookMa00
1,16,Marlon Humphrey,CB,1,3,Alabama,HumpMa00
1,17,Jonathan Allen,DE,0,2,Alabama,AlleJo01
1,18,Adoree' Jackson,CB,0,0,USC,JackAd00
1,19,O.J. Howard,TE,0,0,Alabama,HowaO.00
1,20,Garett Bolles,T,0,0,Utah,BollGa00
1,21,Jarrad Davis,LB,0,0,Florida,DaviJa01
1,22,Charles Harris,OLB,0,0,Missouri,HarrCh03
1,23,Evan Engram,TE,0,1,Mississippi,EngrEv00
1,24,Gareon Conley,CB,0,0,Ohio St.,ConlGa00
1,25,Jabrill Peppers,S,0,0,Michigan,PeppJa00
1,26,Takkarist McKinley,DE,0,0,UCLA,McKiTa00
1,27,Tre'Davious White,CB,1,2,LSU,WhitTr01
1,28,Taco Charlton,DE,0,0,Michigan,CharTa00
1,29,David Njoku,TE,0,0,Miami (FL),NjokDa00
1,30,T.J. Watt,OLB,3,5,Wisconsin,WattT.00
1,31,Reuben Foster,LB,0,0,Alabama,FostRe00
1,32,Ryan Ramczyk,T,1,0,Wisconsin,RamcRy00
2,33,Kevin King,CB,0,0,Washington,KingKe01
2,34,Cam Robinson,T,0,0,Alabama,RobiCa00
2,35,Malik McDowell,DT,0,0,Michigan St.,McDoMa00
2,36,Budda Baker,S,2,5,Washington,BakeBu00
2,37,Zay Jones,WR,0,0,East Carolina,JoneZa00
2,38,Forrest Lamp,G,0,0,Western Kentucky,LampFo00
2,39,Marcus Maye,S,0,0,Florida,MayeMa00
2,40,Curtis Samuel,WR,0,0,Ohio St.,SamuCu00
2,41,Dalvin Cook,RB,0,4,Florida St.,CookDa01
2,42,Marcus Williams,S,0,0,Utah,WillMa06
2,43,Sidney Jones,CB,0,0,Washington,JoneSi00
2,44,Gerald Everett,TE,0,0,South Alabama,EverGe00
2,45,Adam Shaheen,TE,0,0,Ashland,ShahAd00
2,46,Quincy Wilson,CB,0,0,Florida,WilsQu01
