Player,Drafted (tm/rnd/yr),Player-additional
Emmanuel Acho,Cleveland Browns / 6th / 204th pick / 2012,AchoEm00
Joe Adams,Carolina Panthers / 4th / 104th pick / 2012,AdamJo01
Mike Adams,Pittsburgh Steelers / 2nd / 56th pick / 2012,AdamMi02
Chas Alecxih,,AlecCh00
Frank Alexander,Carolina Panthers / 4th / 103rd pick / 2012,AlexFr00
Antonio Allen,New York Jets / 7th / 242nd pick / 2012,AlleAn02
Dwayne Allen,Indianapolis Colts / 3rd / 64th pick / 2012,AlleDw00
Jeff Allen,Kansas City Chiefs / 2nd / 44th pick / 2012,AlleJe01
Justin Anderson,Indianapolis Colts / 7th / 208th pick / 2012,AndeJu00
Bryan Anger,Jacksonville Jaguars / 3rd / 70th pick / 2012,AngeBr00
Mark Asper,Buffalo Bills / 6th / 178th pick / 2012,AspeMa00
Ryan Baker,,-9999
Edwin Baker,San Diego Chargers / 7th / 250th pick / 2012,BakeEd01
Mike Ball,,-9999
Vick Ballard,Indianapolis Colts / 5th / 170th pick / 2012,BallVi00
Mark Barron,Tampa Bay Buccaneers / 1st / 7th pick / 2012,BarrMa00
Kelvin Beachum,Pittsburgh Steelers / 7th / 248th pick / 2012,BeacKe00
Tim Benford,,BenfTi00
Travis Benjamin,Cleveland Browns / 4th / 100th pick / 2012,BenjTr00
Bill Bentley,Detroit Lions / 3rd / 85th pick / 2012,BentBi00
Jake Bequette,New England Patriots / 3rd / 90th pick / 2012,BequJa00
Tony Bergstrom,Oakland Raiders / 3rd / 95th pick / 2012,BergTo00
Justin Bethel,Arizona Cardinals / 6th / 177th pick / 2012,BethJu00
Justin Blackmon,Jacksonville Jaguars / 1st / 5th pick / 2012,BlacJu00
Philip Blake,Denver Broncos / 4th / 108th pick / 2012,BlakPh00
Robert Blanton,Minnesota Vikings / 5th / 139th pick / 2012,BlanRo00
Jamie Blatnick,,-9999
Brandon Bolden,,BoldBr00
Omar Bolden,Denver Broncos / 4th / 101st pick / 2012,BoldOm00
Brandon Boykin,Philadelphia Eagles / 4th / 123rd pick / 2012,BoykBr00
Jarrett Boykin,,BoykJa00
Nigel Bradham,Buffalo Bills / 4th / 105th pick / 2012,BradNi00
Andre Branch,Jacksonville Jaguars / 2nd / 38th pick / 2012,BranAn00
LaVon Brazill,Indianapolis Colts / 6th / 206th pick / 2012,BrazLa00
Mike Brewster,,BrewMi00
Michael Brockers,St. Louis Rams / 1st / 14th pick / 2012,BrocMi00
Ron Brooks,Buffalo Bills / 4th / 124th pick / 2012,BrooRo01
Charles Brown,,-9999
James Brown,,BrowJa02
Zach Brown,Tennessee Titans / 2nd / 52nd pick / 2012,BrowZa00
Ryan Broyles,Detroit Lions / 2nd / 54th pick / 2012,BroyRy00
Randy Bullock,Houston Texans / 5th / 161st pick / 2012,BullRa00
Vontaze Burfict,,BurfVo00
Miles Burris,Oakland Raiders / 4th / 129th pick / 2012,BurrMi00
Drew Butler,,ButlDr00
Tank Carder,Buffalo Bills / 5th / 147th pick / 2012,CardTa00
Sean Cattouse,,CattSe00
Josh Chapman,Indianapolis Colts / 5th / 136th pick / 2012,ChapJo00
Orson Charles,Cincinnati Bengals / 4th / 116th pick / 2012,CharOr00
Greg Childs,Minnesota Vikings / 4th / 134th pick / 2012,ChilGr00
Morris Claiborne,Dallas Cowboys / 1st / 6th pick / 2012,ClaiMo00
Danny Coale,Dallas Cowboys / 5th / 152nd pick / 2012,CoalDa00
Audie Cole,Minnesota Vikings / 7th / 210th pick / 2012,ColeAu00
B.J. Coleman,Green Bay Packers / 7th / 243rd pick / 2012,ColeB.00
Tom Compton,Washington Redskins / 6th / 193rd pick / 2012,CompTo00
Josh Cooper,,CoopJo00
Quinton Coples,New York Jets / 1st / 16th pick / 2012,CoplQu00
Paul Cornick,,CornPa00
Aaron Corp,,-9999
Kirk Cousins,Washington Redskins / 4th / 102nd pick / 2012,CousKi00
Fletcher Cox,Philadelphia Eagles / 1st / 12th pick / 2012,CoxxFl00
Jack Crawford,Oakland Raiders / 5th / 158th pick / 2012,CrawJa00
Tyrone Crawford,Dallas Cowboys / 3rd / 81st pick / 2012,CrawTy00
Lennon Creer,,-9999
Jared Crick,Houston Texans / 4th / 126th pick / 2012,CricJa00
Juron Criner,Oakland Raiders / 5th / 168th pick / 2012,CrinJu00
John Cullen,,-9999
B.J. Cunningham,Miami Dolphins / 6th / 183rd pick / 2012,CunnB.00
Vinny Curry,Philadelphia Eagles / 2nd / 59th pick / 2012,CurrVi00
Mike Daniels,Green Bay Packers / 4th / 132nd pick / 2012,DaniMi00
Andrew Datko,Green Bay Packers / 7th / 241st pick / 2012,DatkAn00
Lavonte David,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,DaviLa00
Austin Davis,,DaviAu00
Demario Davis,New York Jets / 3rd / 77th pick / 2012,DaviDe00
David DeCastro,Pittsburgh Steelers / 1st / 24th pick / 2012,DeCaDa00
Alfonzo Dennard,New England Patriots / 7th / 224th pick / 2012,DennAl00
Taylor Dever,,-9999
Derek Dimke,,-9999
Drake Dunsmore,Tampa Bay Buccaneers / 7th / 233rd pick / 2012,DunsDr00
Patrick Edwards,,EdwaPa00
Michael Egnew,Miami Dolphins / 3rd / 78th pick / 2012,EgneMi00
Rhett Ellison,Minnesota Vikings / 4th / 128th pick / 2012,ElliRh00
Bradie Ewing,Atlanta Falcons / 5th / 157th pick / 2012,EwinBr00
Loni Fangupo,,-9999
Antonio Fenelus,,-9999
Coby Fleener,Indianapolis Colts / 2nd / 34th pick / 2012,FleeCo00
Darius Fleming,San Francisco 49ers / 5th / 165th pick / 2012,FlemDa00
Jamell Fleming,Arizona Cardinals / 3rd / 80th pick / 2012,FlemJa00
Michael Floyd,Arizona Cardinals / 1st / 13th pick / 2012,FloyMi00
Nick Foles,Philadelphia Eagles / 3rd / 88th pick / 2012,FoleNi00
Marcus Forston,,ForsMa00
Justin Francis,,FranJu00
Terrence Frederick,Pittsburgh Steelers / 7th / 246th pick / 2012,FredTe00
Jeff Fuller,,FullJe00
Chris Galippo,,-9999
Terrance Ganaway,New York Jets / 6th / 202nd pick / 2012,GanaTe00
Garth Gerhart,,GerhGa00
Adam Gettis,Washington Redskins / 5th / 141st pick / 2012,GettAd00
Stephon Gilmore,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00
Chris Givens,St. Louis Rams / 4th / 96th pick / 2012,GiveCh00
Cordy Glenn,Buffalo Bills / 2nd / 41st pick / 2012,GlenCo00
Najee Goode,Tampa Bay Buccaneers / 5th / 140th pick / 2012,GoodNa00
T.J. Graham,Buffalo Bills / 3rd / 69th pick / 2012,GrahT.00
Cyrus Gray,Kansas City Chiefs / 6th / 182nd pick / 2012,GrayCy00
Jonas Gray,,GrayJo00
Ladarius Green,San Diego Chargers / 4th / 110th pick / 2012,GreeLa00
Robert Griffin,Washington Redskins / 1st / 2nd pick / 2012,GrifRo01
Winston Guy,Seattle Seahawks / 6th / 181st pick / 2012,GuyxWi00
Trevor Guyton,Minnesota Vikings / 7th / 219th pick / 2012,GuytTr00
Dominique Hamilton,,HamiDo00
Jewel Hampton,,HampJe00
Darius Hanks,,HankDa00
James Hanna,Dallas Cowboys / 6th / 186th pick / 2012,HannJa00
Cory Harkey,,HarkCo00
Chandler Harnish,Indianapolis Colts / 7th / 253rd pick / 2012,HarnCh00
Jacory Harris,,-9999
Cliff Harris,,HarrCl01
DaJohn Harris,,HarrDa02
Josh Harris,,HarrJo02
Mike Harris,Jacksonville Jaguars / 6th / 176th pick / 2012,HarrMi00
Casey Hayward,Green Bay Packers / 2nd / 62nd pick / 2012,HaywCa00
Junior Hemingway,Kansas City Chiefs / 7th / 238th pick / 2012,HemiJu00
Dan Herron,Cincinnati Bengals / 6th / 191st pick / 2012,HerrDa00
Dont'a Hightower,New England Patriots / 1st / 25th pick / 2012,HighDo01
Stephen Hill,New York Jets / 2nd / 43rd pick / 2012,HillSt00
Ronnie Hillman,Denver Broncos / 3rd / 67th pick / 2012,HillRo00
T.Y. Hilton,Indianapolis Colts / 3rd / 92nd pick / 2012,HiltT.00
Lamar Holmes,Atlanta Falcons / 3rd / 91st pick / 2012,HolmLa00
Jayron Hosley,New York Giants / 3rd / 94th pick / 2012,HoslJa00
Jaye Howard,Seattle Seahawks / 4th / 114th pick / 2012,HowaJa00
Delano Howell,,HoweDe00
John Hughes,Cleveland Browns / 3rd / 87th pick / 2012,HughJo00
Emil Igwenagu,,IgweEm00
Duke Ihenacho,,IhenDu00
George Iloka,Cincinnati Bengals / 5th / 167th pick / 2012,IlokGe00
Melvin Ingram,San Diego Chargers / 1st / 18th pick / 2012,IngrMe00
Bruce Irvin,Seattle Seahawks / 1st / 15th pick / 2012,IrviBr00
Janzen Jackson,,-9999
Asa Jackson,Baltimore Ravens / 5th / 169th pick / 2012,JackAs00
Jerrell Jackson,,JackJe00
Malik Jackson,Denver Broncos / 5th / 137th pick / 2012,JackMa02
LaMichael James,San Francisco 49ers / 2nd / 61st pick / 2012,JameLa00
Jamaar Jarrett,,-9999
Jordan Jefferson,,-9999
Alshon Jeffery,Chicago Bears / 2nd / 45th pick / 2012,JeffAl00
A.J. Jenkins,San Francisco 49ers / 1st / 30th pick / 2012,JenkA.00
Janoris Jenkins,St. Louis Rams / 2nd / 39th pick / 2012,JenkJa03
Cam Johnson,San Francisco 49ers / 7th / 237th pick / 2012,JohnCa01
James-Michael Johnson,Cleveland Browns / 4th / 120th pick / 2012,JohnJa04
Leonard Johnson,,JohnLe03
Rishaw Johnson,,JohnRi02
Steven Johnson,,JohnSt02
Trumaine Johnson,St. Louis Rams / 3rd / 65th pick / 2012,JohnTr05
Jeremy Jones,,-9999
Ben Jones,Houston Texans / 4th / 99th pick / 2012,JoneBe01
Chandler Jones,New England Patriots / 1st / 21st pick / 2012,JoneCh03
Dwight Jones,,JoneDw00
Marvin Jones,Cincinnati Bengals / 5th / 166th pick / 2012,JoneMa02
Marcel Jones,New Orleans Saints / 7th / 234th pick / 2012,JoneMa03
Coryell Judie,,-9999
Josh Kaddu,Miami Dolphins / 5th / 155th pick / 2012,KaddJo00
Matt Kalil,Minnesota Vikings / 1st / 4th pick / 2012,KaliMa00
Jermaine Kearse,,KearJe01
Case Keenum,,KeenCa00
Senio Kelemete,Arizona Cardinals / 5th / 151st pick / 2012,KeleSe00
Mychal Kendricks,Philadelphia Eagles / 2nd / 46th pick / 2012,KendMy00
Dre Kirkpatrick,Cincinnati Bengals / 1st / 17th pick / 2012,KirkDr00
Peter Konz,Atlanta Falcons / 2nd / 55th pick / 2012,KonzPe00
Luke Kuechly,Carolina Panthers / 1st / 9th pick / 2012,KuecLu00
Markus Kuhn,New York Giants / 7th / 239th pick / 2012,KuhnMa00
Ronald Leary,,LearRo00
Josh LeRibeus,Washington Redskins / 3rd / 71st pick / 2012,LeRiJo00
Ronnell Lewis,Detroit Lions / 4th / 125th pick / 2012,LewiRo02
Travis Lewis,Detroit Lions / 7th / 223rd pick / 2012,LewiTr00
Ryan Lindley,Arizona Cardinals / 6th / 185th pick / 2012,LindRy00
Brandon Lindsey,,-9999
Shawn Loiseau,,LoisSh00
Joe Looney,San Francisco 49ers / 4th / 117th pick / 2012,LoonJo01
Andrew Luck,Indianapolis Colts / 1st / 1st pick / 2012,LuckAn00
D'Anton Lynn,,-9999
Terrell Manning,Green Bay Packers / 5th / 163rd pick / 2012,MannTe00
Brandon Marshall,Jacksonville Jaguars / 5th / 142nd pick / 2012,MarsBr01
Kyle Martens,,-9999
Doug Martin,Tampa Bay Buccaneers / 1st / 31st pick / 2012,MartDo00
Jonathan Martin,Miami Dolphins / 2nd / 42nd pick / 2012,MartJo01
Keshawn Martin,Houston Texans / 4th / 121st pick / 2012,MartKe01
Markelle Martin,Tennessee Titans / 6th / 190th pick / 2012,MartMa00
Mike Martin,Tennessee Titans / 3rd / 82nd pick / 2012,MartMi01
Jonathan Massaquoi,Atlanta Falcons / 5th / 164th pick / 2012,MassJo00
Bobby Massie,Arizona Cardinals / 4th / 112th pick / 2012,MassBo00
Rishard Matthews,Miami Dolphins / 7th / 227th pick / 2012,MattRi00
Marquis Maze,,-9999
Matt McCants,New York Giants / 6th / 201st pick / 2012,McCaMa00
Antoine McClain,,McClAn01
Shea McClellin,Chicago Bears / 1st / 19th pick / 2012,McClSh00
Kelcie McCray,,McCrKe00
Jerron McMillian,Green Bay Packers / 4th / 133rd pick / 2012,McMiJe00
Marvin McNutt,Philadelphia Eagles / 6th / 194th pick / 2012,McNuMa00
