Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
1,1,JAX,Trevor Lawrence,QB,21,2022,0,1,2,21,21,34,746,1186,7754,37,25,135,625,7,0,0,0,4,,,LawrTr00
1,2,NYJ,Zach Wilson,QB,22,2022,0,0,2,9,9,22,345,625,4022,15,18,57,287,5,1,2,1,1,,,WilsZa00
1,3,SFO,Trey Lance,QB,21,2022,0,0,0,4,4,8,56,102,797,5,3,54,235,1,0,0,0,1,,,LancTr00
1,4,ATL,Kyle Pitts,TE,20,2022,0,1,2,12,12,27,0,0,0,0,0,0,0,0,96,1382,3,3,,,PittKy00
1,5,CIN,Ja'Marr Chase,WR,21,2022,0,2,2,23,23,29,0,0,0,0,0,12,29,0,168,2501,22,6,,,ChasJa00
1,6,MIA,Jaylen Waddle,WR,22,2022,0,0,2,19,19,33,0,0,0,0,0,5,29,1,179,2371,14,4,,,WaddJa00
1,7,DET,Penei Sewell,OL,20,2022,0,1,2,20,20,33,0,0,0,0,0,0,0,0,1,9,0,,,,SewePe00
1,8,CAR,Jaycee Horn,DB,21,2022,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,40,4,,HornJa00
1,9,DEN,Patrick Surtain II,DB,21,2022,1,1,2,21,21,33,0,0,0,0,0,0,0,0,0,0,0,91,6,,SurtPa01
1,10,PHI,DeVonta Smith,WR,22,2022,0,0,2,23,23,34,0,0,0,0,0,0,0,0,159,2112,12,1,,,SmitDe07
1,11,CHI,Justin Fields,QB,22,2022,0,0,1,22,22,27,351,588,4112,24,21,232,1563,10,0,0,0,,,,FielJu00
1,12,DAL,Micah Parsons,LB,22,2022,2,2,2,36,36,33,0,0,0,0,0,0,0,0,0,0,0,106,,26.5,ParsMi00
1,13,LAC,Rashawn Slater,OL,22,2022,0,1,1,16,16,19,0,0,0,0,0,0,0,0,0,0,0,,,,SlatRa00
1,14,NYJ,Alijah Vera-Tucker,OL,22,2022,0,0,1,7,7,23,0,0,0,0,0,0,0,0,0,0,0,,,,VeraAl00
