Player,Drafted (tm/rnd/yr),Player-additional
Paddy Fisher,,FishPa00
Dez Fitzpatrick,Tennessee Titans / 4th / 109th pick / 2021,FitzDe00
Thomas Fletcher,,-9999
Paris Ford,,FordPa01
Darrick Forrest,Washington Football Team / 5th / 163rd pick / 2021,ForrDa00
Miller Forristall,,ForrMi00
Stone Forsythe,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00
Feleipe Franks,,FranFe00
Pat Freiermuth,Pittsburgh Steelers / 2nd / 55th pick / 2021,FreiPa00
Will Fries,Indianapolis Colts / 7th / 248th pick / 2021,FrieWi00
Jake Funk,Los Angeles Rams / 7th / 233rd pick / 2021,FunkJa00
Kenneth Gainwell,Philadelphia Eagles / 5th / 150th pick / 2021,GainKe00
Bailey Gaither,,-9999
Blake Gallagher,,-9999
Mark Gilbert,,GilbMa02
Tyree Gillespie,Las Vegas Raiders / 4th / 143rd pick / 2021,GillTy00
Chauncey Golston,Dallas Cowboys / 3rd / 84th pick / 2021,GolsCh00
Tay Gowan,Arizona Cardinals / 6th / 223rd pick / 2021,GowaTa00
Ta'Quon Graham,Atlanta Falcons / 5th / 148th pick / 2021,GrahTa00
Richie Grant,Atlanta Falcons / 2nd / 40th pick / 2021,GranRi00
Noah Gray,Kansas City Chiefs / 5th / 162nd pick / 2021,GrayNo00
Kendrick Green,Pittsburgh Steelers / 3rd / 87th pick / 2021,GreeKe02
Trevon Grimes,,GrimTr00
Garrett Groshek,,-9999
Robert Hainsey,Tampa Bay Buccaneers / 3rd / 95th pick / 2021,HainRo00
Darren Hall,Atlanta Falcons / 4th / 108th pick / 2021,HallDa03
Damar Hamlin,Buffalo Bills / 6th / 212th pick / 2021,HamlDa00
Mike Hampton,,HampMi00
Noah Hannon,,-9999
Adrian Hardy,,HardAd00
Bryce Hargrove,,HargBr00
Darius Harper,,-9999
Scooter Harrington,,-9999
Jacob Harris,,-9999
Jaylen Harris,,-9999
Pressley Harvin,,-9999
Blake Haubeil,,-9999
Jake Hausmann,,-9999
Javian Hawkins,,HawkJa01
