Player,Drafted (tm/rnd/yr),Player-additional
Jake Camarda,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00
Chance Campbell,Tennessee Titans / 6th / 219th pick / 2022,CampCh02
Ja'Tyre Carter,Chicago Bears / 7th / 226th pick / 2022,CartJa04
Zachary Carter,Cincinnati Bengals / 3rd / 95th pick / 2022,CartZa00
Tariq Castro-Fields,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00
Tykevious Chandler,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
Leo Chenal,Kansas City Chiefs / 3rd / 103rd pick / 2022,ChenLe00
Lewis Cine,Minnesota Vikings / 1st / 32nd pick / 2022,CineLe00
Damone Clark,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02
Micheal Clemons,New York Jets / 4th / 117th pick / 2022,ClemMi03
Jack Coan,,CoanJa00
Qwynnterrio Cole,,-9999
Snoop Conner,Jacksonville Jaguars / 5th / 154th pick / 2022,ConnSn00
Bryan Cook,Kansas City Chiefs / 2nd / 62nd pick / 2022,CookBr02
James Cook,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01
Jashaun Corbin,,CorbJa01
Yusuf Corker,,CorkYu00
Matt Corral,Carolina Panthers / 3rd / 94th pick / 2022,CorrMa00
Charles Cross,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
Nick Cross,Indianapolis Colts / 3rd / 96th pick / 2022,CrosNi00
Dustin Crum,,CrumDu00
Myron Cunningham,,CunnMy00
DJ Davidson,New York Giants / 5th / 147th pick / 2022,DaviDJ00
Jordan Davis,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
Kalia Davis,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01
Tyrion Davis-Price,San Francisco 49ers / 3rd / 93rd pick / 2022,DaviTy03
Nakobe Dean,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00
Dawson Deaton,Cleveland Browns / 7th / 246th pick / 2022,DeatDa00
Austin Deculus,Houston Texans / 6th / 205th pick / 2022,DecuAu00
Cameron Dicker,,DickCa00
Kellen Diesch,,DiesKe00
Dai'Jean Dixon,,-9999
JoJo Domann,,DomaJo00
Jahan Dotson,Washington Commanders / 1st / 16th pick / 2022,DotsJa00
Romeo Doubs,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00
Dontario Drummond,,DrumDo00
Greg Dulcich,Denver Broncos / 3rd / 80th pick / 2022,DulcGr00
William Dunkle,,DunkWi00
Cobie Durant,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
Jerrion Ealy,,EalyJe00
Arnold Ebiketie,Atlanta Falcons / 2nd / 38th pick / 2022,EbikAr00
Trestan Ebner,Chicago Bears / 6th / 203rd pick / 2022,EbneTr00
Ikem Ekwonu,Carolina Panthers / 1st / 6th pick / 2022,EkwoIk00
Kaiir Elam,Buffalo Bills / 1st / 23rd pick / 2022,ElamKa00
Kaleb Eleby,,ElebKa00
Noah Elliss,,-9999
Martin Emerson,Cleveland Browns / 3rd / 68th pick / 2022,EmerMa00
Kingsley Enagbare,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00
Akayleb Evans,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
Obinna Eze,,EzexOb00
Joshua Ezeudu,New York Giants / 3rd / 67th pick / 2022,EzeuJo00
Erik Ezukanma,Miami Dolphins / 4th / 125th pick / 2022,EzukEr00
Daniel Faalele,Baltimore Ravens / 4th / 110th pick / 2022,FaalDa00
Neil Farrell,Las Vegas Raiders / 4th / 126th pick / 2022,FarrNe00
Jake Ferguson,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00
DaMarcus Fields,,FielDa02
Cordale Flott,New York Giants / 3rd / 81st pick / 2022,FlotCo00
Jerome Ford,Cleveland Browns / 5th / 156th pick / 2022,FordJe00
Jonathan Ford,Green Bay Packers / 7th / 234th pick / 2022,FordJo00
Luke Fortner,Jacksonville Jaguars / 3rd / 65th pick / 2022,FortLu01
Ty Fryfogle,,FryfTy00
Ahmad Gardner,New York Jets / 1st / 4th pick / 2022,GardSa00
Haskell Garrett,,GarrHa00
Jeremiah Gemmel,,GemmJe00
Trenton Gill,Chicago Bears / 7th / 255th pick / 2022,GillTr01
Luke Goedeke,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00
Mario Goodrich,,GoodMa02
Tyler Goodson,,GoodTy00
Kyler Gordon,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
Isaiah Graham-Mobley,,GrahIs00
Danny Gray,San Francisco 49ers / 3rd / 105th pick / 2022,GrayDa02
Vincent Gray,,GrayVi00
Kenyon Green,Houston Texans / 1st / 15th pick / 2022,GreeKe03
Jeffrey Gunter,Cincinnati Bengals / 7th / 252nd pick / 2022,GuntJe01
Breece Hall,New York Jets / 2nd / 36th pick / 2022,HallBr03
Jeremiah Hall,,HallJe00
Logan Hall,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00
Kyle Hamilton,Baltimore Ravens / 1st / 14th pick / 2022,HamiKy00
Jake Hansen,,HansJa02
Aaron Hansford,,HansAa00
Christian Harris,Houston Texans / 3rd / 75th pick / 2022,HarrCh06
Kevin Harris,New England Patriots / 6th / 183rd pick / 2022,HarrKe01
Kolby Harvell-Peel,,HarvKo00
Hassan Haskins,Tennessee Titans / 4th / 131st pick / 2022,HaskHa00
Blake Hayes,,HayeBl00
Marquis Hayes,Arizona Cardinals / 7th / 257th pick / 2022,HayeMa00
Peyton Hendershot,,HendPe01
Connor Heyward,Pittsburgh Steelers / 6th / 208th pick / 2022,HeywCo00
Daxton Hill,Cincinnati Bengals / 1st / 31st pick / 2022,HillDa04
Chasen Hines,New England Patriots / 6th / 210th pick / 2022,HineCh00
Christopher Hinton,,HintCh01
Curtis Hodges,,HodgCu00
Sam Howell,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
Aidan Hutchinson,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00
Jermaine Johnson II,New York Jets / 1st / 26th pick / 2022,JohnJe07
Johnny Johnson III,,JohnJo12
Verone McKinley III,,McKiVe00
Ed Ingram,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
Keaontay Ingram,Arizona Cardinals / 6th / 201st pick / 2022,IngrKe01
D'Marco Jackson,New Orleans Saints / 5th / 161st pick / 2022,JackDM00
Drake Jackson,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
Jordan Jackson,New Orleans Saints / 6th / 194th pick / 2022,JackJo06
Joshua Jobe,,JobeJo00
Josh Johnson,,JohnJo13
Tyree Johnson,,JohnTy04
Zion Johnson,Los Angeles Chargers / 1st / 17th pick / 2022,JohnZi00
Braxton Jones,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
Jack Jones,New England Patriots / 4th / 121st pick / 2022,JoneJa10
Marcus Jones,New England Patriots / 3rd / 85th pick / 2022,JoneMa06
Travis Jones,Baltimore Ravens / 3rd / 76th pick / 2022,JoneTr00
Velus Jones,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00
Kerby Joseph,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
Kevin Austin Jr.,,AustKe00
Reggie Roberson Jr.,,RobeRe00
Cameron Jurgens,Philadelphia Eagles / 2nd / 51st pick / 2022,JurgCa01
George Karlaftis,Kansas City Chiefs / 1st / 30th pick / 2022,KarlGe00
Cole Kelley,,-9999
Derion Kendrick,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
D'Eriq King,,KingDE02
Darian Kinnard,Kansas City Chiefs / 5th / 145th pick / 2022,KinnDa00
Zonovan Knight,,KnigZo00
Charlie Kolar,Baltimore Ravens / 4th / 128th pick / 2022,KolaCh00
Quentin Lake,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
Nate Landman,,LandNa00
DeMarvin Leal,Pittsburgh Steelers / 3rd / 84th pick / 2022,LealDe00
Isaiah Likely,Baltimore Ravens / 4th / 139th pick / 2022,LikeIs00
Tyler Linderbaum,Baltimore Ravens / 1st / 25th pick / 2022,LindTy00
Alec Lindstrom,,LindAl00
Devin Lloyd,Jacksonville Jaguars / 1st / 27th pick / 2022,LloyDe00
Drake London,Atlanta Falcons / 1st / 8th pick / 2022,LondDr00
Vederian Lowe,Minnesota Vikings / 6th / 184th pick / 2022,LoweVe00
Abraham Lucas,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
Chase Lucas,Detroit Lions / 7th / 237th pick / 2022,LucaCh01
Jesse Luketa,Arizona Cardinals / 7th / 256th pick / 2022,LukeJe00
Boye Mafe,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
DeAngelo Malone,Atlanta Falcons / 3rd / 82nd pick / 2022,MaloDe00
Damarri Mathis,Denver Broncos / 4th / 115th pick / 2022,MathDa00
Phidarian Mathis,Washington Commanders / 2nd / 47th pick / 2022,MathPh00
Cade Mays,Carolina Panthers / 6th / 199th pick / 2022,MaysCa00
Trey McBride,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
Marquan McCall,,McCaMa03
Zakoby McClain,,McClZa00
Zyon McCollum,Tampa Bay Buccaneers / 5th / 157th pick / 2022,McCoZy02
Sincere McCormick,,McCoSi00
Roger McCreary,Tennessee Titans / 2nd / 35th pick / 2022,McCrRo01
Trent McDuffie,Kansas City Chiefs / 1st / 21st pick / 2022,McDuTr00
Micah McFadden,New York Giants / 5th / 146th pick / 2022,McFaMi01
Marcus McKethan,New York Giants / 5th / 173rd pick / 2022,McKeMa01
Bo Melton,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00
John Metchie,Houston Texans / 2nd / 44th pick / 2022,MetcJo00
James Mitchell,Detroit Lions / 5th / 177th pick / 2022,MitcJa00
Max Mitchell,New York Jets / 4th / 111th pick / 2022,MitcMa02
Smoke Monday,,MondSm00
Jeremiah Moon,,MoonJe00
Skyy Moore,Kansas City Chiefs / 2nd / 54th pick / 2022,MoorSk01
Chad Muma,Jacksonville Jaguars / 3rd / 70th pick / 2022,MumaCh00
Thayer Munford,Las Vegas Raiders / 7th / 238th pick / 2022,MunfTh00
Jalen Nailor,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
Evan Neal,New York Giants / 1st / 7th pick / 2022,NealEv00
Leon O'Neal,,ONeaLe01
Otito Ogbonnia,Los Angeles Chargers / 5th / 160th pick / 2022,OgboOt00
David Ojabo,Baltimore Ravens / 2nd / 45th pick / 2022,OjabDa00
Chigoziem Okonkwo,Tennessee Titans / 4th / 143rd pick / 2022,OkonCh00
Chris Olave,New Orleans Saints / 1st / 11th pick / 2022,OlavCh00
Esezi Otomewo,Minnesota Vikings / 5th / 165th pick / 2022,OtomEs00
Cade Otton,Tampa Bay Buccaneers / 4th / 106th pick / 2022,OttoCa00
Isiah Pacheco,Kansas City Chiefs / 7th / 251st pick / 2022,PachIs00
Dylan Parham,Las Vegas Raiders / 3rd / 90th pick / 2022,ParhDy00
Joshua Paschal,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
Chris Paul,Washington Commanders / 7th / 230th pick / 2022,PaulCh00
Jayden Peevy,,PeevJa00
Trevor Penning,New Orleans Saints / 1st / 19th pick / 2022,PennTr00
EJ Perry,,-9999
Nicholas Petit-Frere,Tennessee Titans / 3rd / 69th pick / 2022,PetiNi00
Kyle Philips,Tennessee Titans / 5th / 163rd pick / 2022,PhilKy01
George Pickens,Pittsburgh Steelers / 2nd / 52nd pick / 2022,PickGe00
Kenny Pickett,Pittsburgh Steelers / 1st / 20th pick / 2022,PickKe00
Alec Pierce,Indianapolis Colts / 2nd / 53rd pick / 2022,PierAl00
Dameon Pierce,Houston Texans / 4th / 107th pick / 2022,PierDa01
Jalen Pitre,Houston Texans / 2nd / 37th pick / 2022,PitrJa00
Makai Polk,,PolkMa00
D'vonte Price,,PricDV00
Brock Purdy,San Francisco 49ers / 7th / 262nd pick / 2022,PurdBr00
Teagan Quitoriano,Houston Texans / 5th / 170th pick / 2022,QuitTe00
Bernhard Raimann,Indianapolis Colts / 3rd / 77th pick / 2022,RaimBe00
Charleston Rambo,,RambCh00
LaBryan Ray,,RayxLa02
Sean Rhyan,Green Bay Packers / 3rd / 92nd pick / 2022,RhyaSe00
Desmond Ridder,Atlanta Falcons / 3rd / 74th pick / 2022,RiddDe00
John Ridgeway,Dallas Cowboys / 5th / 178th pick / 2022,RidgJo00
Ronnie Rivers,,RiveRo01
Brian Robinson,Washington Commanders / 3rd / 98th pick / 2022,RobiBr01
Dominique Robinson,Chicago Bears / 5th / 174th pick / 2022,RobiDo00
Tyrese Robinson,,RobiTy01
Wan'Dale Robinson,New York Giants / 2nd / 43rd pick / 2022,RobiWa01
Malcolm Rodriguez,Detroit Lions / 6th / 188th pick / 2022,RodrMa00
Mike Rose,,RoseMi00
Dare Rosenthal,,RoseDa00
Josh Ross,,RossJo02
Justyn Ross,,RossJu00
Jeremy Ruckert,New York Jets / 3rd / 101st pick / 2022,RuckJe00
Andrew Rupcich,,-9999
Jamaree Salyer,Los Angeles Chargers / 6th / 195th pick / 2022,SalyJa00
Jack Sanborn,,SanbJa00
Braylon Sanders,,SandBr00
Myjai Sanders,Arizona Cardinals / 3rd / 100th pick / 2022,SandMy00
Nephi Sewell,,SeweNe00
Justin Shaffer,Atlanta Falcons / 6th / 190th pick / 2022,ShafJu00
Khalil Shakir,Buffalo Bills / 5th / 148th pick / 2022,ShakKh00
Abram Smith,,SmitAb00
Brandon Smith,Carolina Panthers / 4th / 120th pick / 2022,SmitBr08
Lecitus Smith,Arizona Cardinals / 6th / 215th pick / 2022,SmitLe01
Tyler Smith,Dallas Cowboys / 1st / 24th pick / 2022,SmitTy02
Tyreke Smith,Seattle Seahawks / 5th / 158th pick / 2022,SmitTy03
Baylon Spector,Buffalo Bills / 7th / 231st pick / 2022,SpecBa00
Isaiah Spiller,Los Angeles Chargers / 4th / 123rd pick / 2022,SpilIs00
Chris Steele,,SteeCh00
Derek Stingley,Houston Texans / 1st / 3rd pick / 2022,StinDe00
Jordan Stout,Baltimore Ravens / 4th / 130th pick / 2022,StouJo00
Cole Strange,New England Patriots / 1st / 29th pick / 2022,StraCo01
Carson Strong,,StroCa00
Pierre Strong,New England Patriots / 4th / 127th pick / 2022,StroPi00
Andrew Stueber,New England Patriots / 7th / 245th pick / 2022,StueAn00
Myron Tagovailoa-Amosa,,TagoMy02
Alontae Taylor,New Orleans Saints / 2nd / 49th pick / 2022,TaylAl01
Cam Taylor-Britt,Cincinnati Bengals / 2nd / 60th pick / 2022,TaylCa01
Isaac Taylor-Stuart,,TaylIs00
Luke Tenuta,Buffalo Bills / 6th / 209th pick / 2022,TenuLu00
Kayvon Thibodeaux,New York Giants / 1st / 5th pick / 2022,ThibKa00
Zach Thomas,,-9999
Cameron Thomas,Arizona Cardinals / 3rd / 87th pick / 2022,ThomCa03
Isaiah Thomas,Cleveland Browns / 7th / 223rd pick / 2022,ThomIs01
Juanyeh Thomas,,ThomJu03
Josh Thompson,,ThomJo07
Skylar Thompson,Miami Dolphins / 7th / 247th pick / 2022,ThomSk00
Tyquan Thornton,New England Patriots / 2nd / 50th pick / 2022,ThorTy00
Channing Tindall,Miami Dolphins / 3rd / 102nd pick / 2022,TindCh00
Jalen Tolbert,Dallas Cowboys / 3rd / 88th pick / 2022,TolbJa00
Zach Tom,Green Bay Packers / 4th / 140th pick / 2022,TomxZa00
Cole Turner,Washington Commanders / 5th / 149th pick / 2022,TurnCo00
Tré Turner,,TurnTr02
Delarrin Turner-Yell,Denver Broncos / 5th / 152nd pick / 2022,TurnDe02
Eyioma Uwazurike,Denver Broncos / 4th / 116th pick / 2022,UwazEy00
CJ Verdell,,VerdCJ00
Cordell Volson,Cincinnati Bengals / 4th / 136th pick / 2022,VolsCo02
Matt Waletzko,Dallas Cowboys / 5th / 155th pick / 2022,WaleMa00
Kenneth Walker,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00
Quay Walker,Green Bay Packers / 1st / 22nd pick / 2022,WalkQu00
Rasheed Walker,Green Bay Packers / 7th / 249th pick / 2022,WalkRa00
Travon Walker,Jacksonville Jaguars / 1st / 1st pick / 2022,WalkTr03
Jermaine Waller,,WallJe00
Jaylen Warren,,WarrJa01
Christian Watson,Green Bay Packers / 2nd / 34th pick / 2022,WatsCh00
Jaylen Watson,Kansas City Chiefs / 7th / 243rd pick / 2022,WatsJa02
Luke Wattenberg,Denver Broncos / 5th / 171st pick / 2022,WattLu00
Sam Webb,,-9999
Dohnovan West,,WestDo01
Isaiah Weston,,-9999
Rachaad White,Tampa Bay Buccaneers / 3rd / 91st pick / 2022,WhitRa01
ZaQuandre White,,WhitZa00
Zamir White,Las Vegas Raiders / 4th / 122nd pick / 2022,WhitZa01
Tre Williams,,-9999
Damarion Williams,Baltimore Ravens / 4th / 141st pick / 2022,WillDa15
Devon Williams,,WillDe09
Jameson Williams,Detroit Lions / 1st / 12th pick / 2022,WillJa11
Joshua Williams,Kansas City Chiefs / 4th / 135th pick / 2022,WillJo03
Kyren Williams,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02
Sam Williams,Dallas Cowboys / 2nd / 56th pick / 2022,WillSa00
Malik Willis,Tennessee Titans / 3rd / 86th pick / 2022,WillMa12
Garrett Wilson,New York Jets / 1st / 10th pick / 2022,WilsGa00
Perrion Winfrey,Cleveland Browns / 4th / 108th pick / 2022,WinfPe00
Jelani Woods,Indianapolis Colts / 3rd / 73rd pick / 2022,WoodJe01
JT Woods,Los Angeles Chargers / 3rd / 79th pick / 2022,WoodJT00
Mike Woods,Cleveland Browns / 6th / 202nd pick / 2022,WoodMi00
Tariq Woolen,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00
Alex Wright,Cleveland Browns / 3rd / 78th pick / 2022,WrigAl01
Mykael Wright,,WrigMy00
Devonte Wyatt,Green Bay Packers / 1st / 28th pick / 2022,WyatDe00
Jalen Wydermyer,,WydeJa00
Cade York,Cleveland Browns / 4th / 124th pick / 2022,YorkCa00
Nick Zakelj,San Francisco 49ers / 6th / 187th pick / 2022,ZakeNi00
Bailey Zappe,New England Patriots / 4th / 137th pick / 2022,ZappBa00
