Player,Drafted (tm/rnd/yr),Player-additional
Cal Adomitis,,AdomCa00
Austin Allen,,AlleAu00
Chase Allen,,AlleCh03
Christopher Allen,,AlleCh04
Tyler Allgeier,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00
Troy Andersen,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00
Tycen Anderson,Cincinnati Bengals / 5th / 166th pick / 2022,AndeTy00
Blaise Andries,,-9999
Matt Araiza,Buffalo Bills / 6th / 180th pick / 2022,AraiMa00
Jalyn Armour-Davis,Baltimore Ravens / 4th / 119th pick / 2022,ArmoJa00
Brian Asamoah,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
Calvin Austin,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00
Tyler Badie,Baltimore Ravens / 6th / 196th pick / 2022,BadiTy00
Kalon Barnes,Carolina Panthers / 7th / 242nd pick / 2022,BarnKa00
Amaré Barno,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00
Darrian Beavers,New York Giants / 6th / 182nd pick / 2022,BeavDa00
Markquese Bell,,-9999
David Bell,Cleveland Browns / 3rd / 99th pick / 2022,BellDa02
Greg Bell,,BellGr01
Daniel Bellinger,New York Giants / 4th / 112th pick / 2022,BellDa00
Dane Belton,New York Giants / 4th / 114th pick / 2022,BeltDa00
Terrel Bernard,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00
Bubba Bolden,,BoldBu00
Slade Bolden,,BoldSl00
Nik Bonitto,Denver Broncos / 2nd / 64th pick / 2022,BoniNi00
Thomas Booker,Houston Texans / 5th / 150th pick / 2022,BookTh00
Andrew Booth,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00
Max Borghi,,BorgMa00
Jaquan Brisker,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
Gabe Brkic,,BrkiGa00
Kennedy Brooks,,BrooKe01
Ben Brown,,BrowBe01
Leddie Brown,,BrowLe03
Montaric Brown,Jacksonville Jaguars / 7th / 222nd pick / 2022,BrowMo00
Logan Bruss,Los Angeles Rams / 3rd / 104th pick / 2022,BrusLo00
Coby Bryant,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
Spencer Burford,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
Treylon Burks,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00
Darien Butler,,ButlDa00
Matthew Butler,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02
Percy Butler,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
Grant Calcaterra,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
