Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Ameer Abdullah,5-9,205,4.60,42.5,24,130,6.79,3.95,AbduAm00
Nelson Agholor,6-0,198,4.42,,12,,,,AghoNe00
Jay Ajayi,6-0,221,4.57,39.0,19,121,7.10,4.10,AjayJa00
Kwon Alexander,6-1,227,4.55,36.0,24,121,7.14,4.20,AlexKw00
Mario Alford,5-8,180,4.43,34.0,13,121,6.64,4.07,AlfoMa00
Javorius Allen,6-0,221,4.53,35.5,11,121,6.96,4.28,AlleJa01
Adrian Amos,6-0,218,4.56,35.5,,122,7.09,4.03,AmosAd00
Dres Anderson,6-1,187,4.54,,13,,,,AndeDr00
Henry Anderson,6-6,294,4.97,30.0,,111,7.20,4.19,AndeHe00
Rory Anderson,6-5,244,4.73,,,,,,AndeRo01
Stephone Anthony,6-3,243,4.56,37.0,23,122,7.07,4.03,AnthSt00
Arik Armstead,6-7,292,5.06,34.0,24,117,7.57,4.53,ArmsAr01
Cameron Artis-Payne,5-10,212,4.53,36.5,,118,7.13,,ArtiCa00
Neiron Ball,6-2,236,4.65,,22,,,,BallNe00
Tavaris Barnes,6-4,282,4.80,,22,,,,BarnTa00
Will Baumann,6-6,187,5.14,,,,,,-9999
Vic Beasley,6-3,246,4.53,41.0,35,130,6.91,4.15,BeasVi00
Blake Bell,6-6,252,4.80,33.0,14,116,6.85,4.32,BellBl00
Kenny Bell,6-1,197,4.42,41.5,7,129,6.66,4.15,BellKe02
Bryan Bennett,6-2,211,4.81,37.0,,125,7.13,4.20,-9999
Mike Bennett,6-2,293,5.04,,,,,,BennMi01
E.J. Bibbs,6-2,258,4.88,,20,,,,BibbE.00
Angelo Blackson,6-4,318,5.02,31.0,20,101,7.50,4.57,BlacAn00
Al Bond,6-4,303,5.57,23.5,22,90,7.90,4.65,BondAl00
Detrick Bonner,6-0,207,4.56,,15,,,,BonnDe00
Anthony Boone,6-0,231,5.03,26.5,,100,7.47,4.62,BoonAn00
Brett Boyko,6-7,301,5.60,25.0,,103,7.91,4.75,BoykBr01
Nick Boyle,6-4,268,5.04,30.5,20,112,7.13,4.23,BoylNi00
Brandon Bridge,6-4,229,4.72,33.0,,110,7.18,4.37,BridBr00
Kyle Brindza,6-1,236,5.17,,14,,,,BrinKy00
Da'Ron Brown,6-0,205,4.54,37.0,17,120,7.04,4.11,BrowDa03
Dominique Brown,6-2,234,4.63,,17,,,,BrowDo01
Jamon Brown,6-4,323,5.08,,,,,,BrowJa04
Malcom Brown,6-2,319,5.05,29.5,26,98,7.84,4.59,BrowMa01
Malcolm Brown,5-11,224,4.62,34.5,19,117,6.86,4.15,BrowMa03
Trenton Brown,6-8,355,5.21,23.5,20,97,8.23,4.78,BrowTr02
Michael Burton,5-11,242,4.65,33.0,25,115,7.20,4.34,BurtMi00
Ibraheim Campbell,5-11,208,4.52,,23,,,,CampIb00
A.J. Cann,6-3,313,5.47,,26,,,,CannA.00
Shane Carden,6-2,218,4.94,29.5,,104,7.17,4.45,CardSh00
Joe Cardona,6-2,242,4.91,33.0,30,,,,CardJo00
Alex Carter,6-0,196,4.51,40.0,17,121,7.05,4.07,CartAl01
B.J. Catalon,5-7,186,4.57,36.0,,114,6.90,4.15,CataB.00
Donald Celiscar,5-11,194,4.62,,,120,,,CeliDo00
Anthony Chickillo,6-3,267,4.79,34.5,27,114,7.17,4.25,ChicAn00
Gerald Christian,6-3,244,4.87,,28,,7.62,4.70,ChriGe00
Kyle Christy,6-2,202,4.93,,,,,,ChriKy00
Frank Clark,6-3,271,4.79,38.5,19,118,7.08,4.05,ClarFr01
Kaelin Clay,5-10,195,4.51,33.0,10,113,6.97,4.26,ClayKa00
Cameron Clear,6-5,277,4.98,32.0,,108,7.52,4.48,CleaCa00
T.J. Clemmings,6-5,309,5.14,32.5,22,111,7.68,4.54,ClemT.00
Sammie Coates,6-1,212,4.43,41.0,23,131,6.98,4.06,CoatSa00
David Cobb,5-11,229,4.81,38.5,17,121,,,CobbDa00
Takoby Cofield,6-4,310,5.19,30.0,23,101,8.09,4.79,-9999
Justin Coleman,5-11,185,4.53,37.5,20,124,6.61,3.98,ColeJu01
Tevin Coleman,5-11,206,4.40,,22,,,,ColeTe01
Jalen Collins,6-1,203,4.48,36.0,,124,6.77,4.27,CollJa02
Landon Collins,6-0,228,4.53,35.0,,120,7.38,4.33,CollLa00
La'el Collins,6-4,305,5.10,27.0,21,108,7.70,4.63,CollLa01
Chris Conley,6-2,213,4.35,45.0,18,139,7.06,4.30,ConlCh00
Amari Cooper,6-1,211,4.42,33.0,,120,6.71,3.98,CoopAm00
Xavier Cooper,6-3,293,4.86,29.0,29,110,7.23,4.37,CoopXa00
Christian Covington,6-2,289,4.90,,,,,,CoviCh00
Justin Cox,6-1,191,4.36,38.0,15,129,7.05,4.07,CoxxJu00
Corey Crawford,6-5,299,5.01,33.0,,110,7.64,4.65,CrawCo00
Rob Crisp,6-7,301,5.26,32.5,26,107,8.07,4.60,-9999
John Crockett,6-0,217,4.62,40.0,15,125,7.15,4.25,CrocJo00
Jamison Crowder,5-8,185,4.56,37.0,10,115,7.17,4.32,CrowJa00
Yannick Cudjoe-Virgil,6-2,248,4.80,,25,,,,CudjYa00
DaVaris Daniels,6-1,201,4.62,37.0,13,122,,,-9999
Ronald Darby,5-11,193,4.38,41.5,12,129,6.94,4.14,DarbRo00
Devante Davis,6-3,220,4.57,35.5,16,115,7.25,4.12,-9999
Aaron Davis,6-0,225,4.95,29.0,16,107,7.38,4.37,DaviAa00
Carl Davis,6-5,320,5.07,33.0,,103,7.91,4.47,DaviCa01
Geremy Davis,6-2,216,4.49,36.5,23,124,6.86,4.18,DaviGe00
Mike Davis,5-9,217,4.61,34.0,17,116,7.00,4.18,DaviMi01
Titus Davis,6-1,196,4.51,32.5,,119,7.14,4.28,DaviTi00
Tyeler Davison,6-2,316,5.18,33.0,32,105,7.53,4.46,DaviTy01
Paul Dawson,6-0,235,4.93,28.0,21,109,,4.49,DawsPa00
Ryan Delaire,6-4,254,4.97,,23,,,,DelaRy00
Trey DePriest,6-0,254,4.93,,,,,,DePrTr00
AJ Derby,6-4,255,4.72,,15,,,,-9999
Xzavier Dickson,6-3,260,4.74,29.5,19,100,7.56,4.53,DickXz00
Quandre Diggs,5-9,196,4.56,35.5,17,113,7.22,4.15,DiggQu00
Stefon Diggs,6-0,195,4.46,35.0,,115,7.03,4.32,DiggSt00
Reese Dismukes,6-3,296,5.31,27.5,23,107,8.14,4.70,DismRe01
Andrew Donnal,6-6,313,5.31,32.0,17,101,7.84,4.77,DonnAn00
Phillip Dorsett,5-10,185,4.33,37.0,13,122,6.70,4.11,DorsPh00
Lorenzo Doss,5-10,182,4.50,33.5,9,115,7.20,4.26,DossLo00
Jamil Douglas,6-4,304,5.25,29.0,28,99,7.99,4.75,DougJa00
Kurtis Drummond,6-1,208,4.65,39.5,,119,7.09,4.33,DrumKu01
B.J. Dubose,6-4,284,5.06,,26,,,,DuboB.00
Alvin Dupree,6-4,269,4.56,42.0,,138,,,DuprAl00
Michael Dyer,5-8,218,4.58,34.0,26,120,,,DyerMi00
Jahwan Edwards,5-9,220,4.80,35.5,16,117,7.63,4.50,EdwaJa00
Ifo Ekpre-Olomu,5-9,192,4.52,,,,,,EkprIf00
Kyle Emanuel,6-3,255,4.77,34.0,27,120,7.10,4.25,EmanKy00
Cameron Erving,6-5,313,5.15,30.5,30,112,7.48,4.63,ErviCa00
Durell Eskridge,6-3,208,4.56,31.0,,117,7.09,4.26,EskrDu00
Tayo Fabuluje,6-6,353,5.55,29.5,,,,4.77,FabuTa00
Cody Fajardo,6-1,223,4.63,32.5,,118,6.95,4.10,FajaCo00
Jon Feliciano,6-4,323,5.33,26.5,,97,,4.74,FeliJo00
Sam Ficken,6-1,191,5.06,,,,,,FickSa00
B.J. Finney,6-4,318,5.25,24.0,20,99,,4.76,FinnB.01
Jake Fisher,6-6,306,5.01,32.5,25,,7.25,4.33,FishJa00
Ereck Flowers,6-6,329,5.31,,37,,,,FlowEr00
Trey Flowers,6-2,266,4.93,36.5,28,121,7.34,4.40,FlowTr00
Dante Fowler,6-3,261,4.60,32.5,19,112,7.40,4.32,FowlDa00
Jalston Fowler,5-11,254,4.94,33.5,23,114,7.56,4.40,FowlJa00
Alani Fua,6-5,238,4.73,34.5,18,118,6.83,4.15,FuaxAl00
Devin Funchess,6-4,232,4.70,38.5,17,122,,,FuncDe00
