Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Andrew Luck,6-4,234,4.59,36.0,,124,6.80,4.28,LuckAn00
Robert Griffin,6-2,223,4.33,39.0,,120,,,GrifRo01
Trent Richardson,5-9,228,4.48,,,,,,RichTr00
Matt Kalil,6-7,306,4.96,27.0,30,,7.33,4.65,KaliMa00
Justin Blackmon,6-1,207,4.46,,14,,,,BlacJu00
Morris Claiborne,5-11,188,4.50,34.5,,118,7.01,4.12,ClaiMo00
Mark Barron,6-1,213,4.54,,,,,,BarrMa00
Ryan Tannehill,6-4,221,4.65,,,,,,TannRy00
Luke Kuechly,6-3,242,4.58,38.0,27,123,6.92,4.12,KuecLu00
Stephon Gilmore,6-0,190,4.38,36.0,15,123,6.61,3.94,GilmSt00
Dontari Poe,6-3,346,4.89,29.5,44,105,7.90,4.56,PoexDo00
Fletcher Cox,6-4,298,4.77,26.0,30,103,7.07,4.53,CoxxFl00
Michael Floyd,6-3,220,4.40,36.5,16,122,,,FloyMi00
Michael Brockers,6-5,322,5.31,26.5,,105,7.46,4.81,BrocMi00
Bruce Irvin,6-3,245,4.41,33.5,23,123,6.70,4.03,IrviBr00
Quinton Coples,6-6,284,4.69,31.5,25,109,7.57,4.78,CoplQu00
Dre Kirkpatrick,6-2,186,4.50,35.0,,120,,,KirkDr00
Melvin Ingram,6-1,264,4.69,34.5,28,109,6.83,4.18,IngrMe00
Shea McClellin,6-3,260,4.62,31.5,19,118,7.07,4.33,McClSh00
Kendall Wright,5-10,196,4.49,38.5,,121,6.93,4.18,WrigKe01
Chandler Jones,6-5,266,4.77,35.0,22,120,7.07,4.38,JoneCh03
Brandon Weeden,6-3,221,4.89,,,,,,WeedBr00
Riley Reiff,6-6,313,5.16,26.5,23,98,7.87,4.75,ReifRi00
David DeCastro,6-5,316,5.32,29.5,34,98,7.30,4.56,DeCaDa00
Dont'a Hightower,6-2,265,4.62,32.0,,,,,HighDo01
Whitney Mercilus,6-4,261,4.68,32.0,27,118,7.17,4.53,MercWh00
Kevin Zeitler,6-4,314,5.32,29.0,32,101,7.77,4.61,ZeitKe00
Nick Perry,6-3,271,4.55,38.5,35,124,7.25,4.66,PerrNi00
Harrison Smith,6-2,213,4.54,34.0,19,122,6.63,4.12,SmitHa00
A.J. Jenkins,6-0,190,4.37,38.5,12,124,,,JenkA.00
Doug Martin,5-9,223,4.46,36.0,28,120,6.79,4.16,MartDo00
David Wilson,5-10,206,4.38,41.0,,132,7.09,4.12,WilsDa01
Brian Quick,6-3,220,4.50,34.0,15,119,7.10,4.23,QuicBr00
Coby Fleener,6-6,247,4.51,,27,,,,FleeCo00
Courtney Upshaw,6-2,272,4.74,,22,,,,UpshCo00
Derek Wolfe,6-5,295,4.93,33.5,33,108,7.26,4.44,WolfDe00
Mitchell Schwartz,6-5,318,5.38,26.5,23,89,7.86,4.87,SchwMi00
Andre Branch,6-4,259,4.67,32.5,19,120,7.19,4.25,BranAn00
Janoris Jenkins,5-10,193,4.41,33.5,,121,6.95,4.13,JenkJa03
Amini Silatolu,6-4,311,5.33,31.5,28,107,7.95,4.87,SilaAm00
Cordy Glenn,6-6,345,5.08,23.5,31,93,8.13,5.00,GlenCo00
Jonathan Martin,6-5,312,5.27,,,,,,MartJo01
Stephen Hill,6-4,215,4.36,39.5,14,133,6.88,4.48,HillSt00
Jeff Allen,6-4,307,5.17,27.5,26,102,8.01,4.90,AlleJe01
Alshon Jeffery,6-3,216,4.48,,,,,,JeffAl00
Mychal Kendricks,5-11,239,4.44,39.5,24,127,,4.19,KendMy00
Kendall Reyes,6-4,299,4.82,34.5,36,113,7.43,4.53,ReyeKe00
Isaiah Pead,5-10,197,4.39,33.0,,116,6.95,4.32,PeadIs00
Jerel Worthy,6-2,308,5.00,28.5,,107,7.60,4.56,WortJe00
Zach Brown,6-1,244,4.44,33.5,,116,,,BrowZa00
Devon Still,6-5,303,5.01,29.5,26,,,,StilDe00
Ryan Broyles,5-10,192,4.57,,21,,,,BroyRy00
Peter Konz,6-5,314,5.16,,18,,,,KonzPe00
Mike Adams,6-7,323,5.28,28.5,19,100,7.94,4.95,AdamMi02
Brock Osweiler,6-7,242,4.83,,,,,,OsweBr00
Lavonte David,6-1,233,4.57,36.5,19,119,7.28,4.22,DaviLa00
Vinny Curry,6-3,266,4.87,32.0,,110,6.90,4.40,CurrVi00
Kelechi Osemele,6-5,333,5.22,26.5,32,104,7.91,4.87,OsemKe00
LaMichael James,5-8,194,4.35,35.0,15,123,6.88,4.12,JameLa00
Casey Hayward,5-11,192,4.47,34.0,19,119,6.76,3.90,HaywCa00
Rueben Randle,6-3,210,4.55,31.0,15,121,6.99,4.36,RandRu00
Dwayne Allen,6-3,255,4.85,32.0,27,110,7.12,4.37,AlleDw00
Trumaine Johnson,6-2,204,4.50,35.5,19,122,7.20,4.15,JohnTr05
Josh Robinson,5-10,199,4.29,38.5,17,133,6.55,3.97,RobiJo01
Ronnie Hillman,5-9,200,4.42,37.0,17,,,,HillRo00
DeVier Posey,6-2,211,4.39,36.5,14,123,7.03,4.15,PoseDe00
T.J. Graham,5-11,188,4.34,33.5,8,120,6.77,4.18,GrahT.00
Bryan Anger,6-4,208,4.86,,,,,,AngeBr00
Josh LeRibeus,6-3,312,5.31,26.0,29,96,7.64,4.65,LeRiJo00
Olivier Vernon,6-2,261,4.73,34.5,31,122,7.39,4.50,VernOl00
Brandon Taylor,5-11,209,4.52,33.5,,118,7.32,4.37,TaylBr02
Donald Stephenson,6-5,312,4.94,35.5,19,114,7.52,4.78,StepDo00
Russell Wilson,5-11,204,4.53,34.0,,118,6.97,4.09,WilsRu00
Demario Davis,6-2,235,4.49,38.5,32,124,7.19,4.28,DaviDe00
Michael Egnew,6-5,252,4.52,36.0,21,131,7.03,4.32,EgneMi00
Jamell Fleming,5-11,206,4.43,34.0,23,125,6.71,3.97,FlemJa00
Tyrone Crawford,6-4,275,4.82,33.0,28,113,7.09,4.44,CrawTy00
Mike Martin,6-1,306,4.80,33.5,36,113,7.19,4.25,MartMi01
Mohamed Sanu,6-1,211,4.62,36.0,19,126,6.88,4.22,SanuMo00
Bernard Pierce,6-0,218,4.45,36.5,17,123,7.07,4.28,PierBe00
Bill Bentley,5-10,182,4.42,31.5,13,114,6.99,4.50,BentBi00
Sean Spence,5-11,231,4.66,33.5,12,119,7.46,4.28,SpenSe00
John Hughes,6-2,309,5.32,,28,,,,HughJo00
Nick Foles,6-5,243,5.14,30.5,,112,,,FoleNi00
Jake Bequette,6-5,274,4.75,34.0,,113,6.90,4.07,BequJa00
Lamar Holmes,6-5,323,5.29,27.0,22,104,7.74,4.80,HolmLa00
T.Y. Hilton,5-9,183,4.34,,,,,,HiltT.00
Brandon Thompson,6-2,314,5.20,31.0,35,100,7.97,4.71,ThomBr01
Jayron Hosley,5-10,178,4.38,,11,,,,HoslJa00
Tony Bergstrom,6-5,313,5.19,29.5,32,101,7.95,4.84,BergTo00
Chris Givens,5-11,198,4.35,33.5,19,118,6.97,4.23,GiveCh00
Lamar Miller,5-11,212,4.34,33.0,,,,,MillLa01
Ben Jones,6-3,303,5.35,30.5,29,105,7.95,4.74,JoneBe01
Travis Benjamin,5-10,172,4.31,38.0,14,119,,,BenjTr00
Omar Bolden,5-10,202,4.51,,24,,,,BoldOm00
Kirk Cousins,6-3,214,4.84,28.5,,109,7.05,4.50,CousKi00
Frank Alexander,6-4,270,4.80,,,,,,AlexFr00
Joe Adams,5-11,179,4.51,36.0,,123,7.09,,AdamJo01
Nigel Bradham,6-2,241,4.56,37.0,24,121,7.18,4.37,BradNi00
