Player,Pos_x,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos_y,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Deon Cain,WR,6-2,202,4.43,33.5,11.0,115.0,6.71,4.37,CainDe00,6,185,IND,WR,22,2020.0,0,0,0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,124.0,0.0,,,,CainDe00
Antonio Callaway,WR,5-11,200,4.41,34.0,,121.0,,,CallAn00,4,105,CLE,WR,21,2020.0,0,0,1,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,53.0,695.0,5.0,,,,CallAn00
Dylan Cantrell,WR,6-3,226,4.59,38.5,18.0,130.0,6.56,4.03,CantDy00,6,191,LAC,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,CantDy00
Alex Cappa,OT,6-6,305,5.39,26.5,24.0,97.0,8.04,4.84,CappAl00,3,94,TAM,T,23,2022.0,0,0,4,31.0,22.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CappAl00
Daniel Carlson,K,6-5,213,,,,,,,CarlDa00,5,167,MIN,K,23,2022.0,1,0,1,17.0,-1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,CarlDa00
Lorenzo Carter,EDGE,6-6,250,4.5,36.0,,130.0,,,CartLo01,3,66,NYG,DE,22,2022.0,0,0,4,24.0,17.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,2.0,18.5,CartLo01
Geron Christian,OT,6-5,298,5.33,,19.0,,,,ChriGe01,3,74,WAS,T,21,2022.0,0,0,0,9.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,ChriGe01
Bradley Chubb,DE,6-4,269,4.65,36.0,24.0,121.0,7.37,4.41,ChubBr00,1,5,DEN,DE,22,2022.0,0,2,2,29.0,26.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,28.5,ChubBr00
Nick Chubb,RB,5-11,227,4.52,38.5,29.0,128.0,7.09,4.25,ChubNi00,2,35,CLE,RB,22,2022.0,0,4,5,45.0,45.0,75.0,0.0,0.0,0.0,0.0,0.0,1210.0,6341.0,48.0,119.0,990.0,4.0,2.0,,,ChubNi00
Jack Cichy,ILB,6-2,238,,,18.0,,,,CichJa00,6,202,TAM,ILB,23,2020.0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,CichJa00
Will Clapp,C,6-4,311,5.39,29.0,25.0,97.0,8.04,4.92,ClapWi00,7,245,NOR,C,22,2022.0,0,0,0,7.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ClapWi00
Mason Cole,C,6-4,307,5.23,23.5,23.0,104.0,7.77,4.78,ColeMa02,3,97,ARI,C,22,2022.0,0,0,3,20.0,11.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ColeMa02
Tyler Conklin,TE,6-3,254,4.8,38.0,18.0,120.0,7.13,4.23,ConkTy00,5,157,MIN,TE,23,2022.0,0,0,2,12.0,8.0,81.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,151.0,1474.0,7.0,3.0,,,ConkTy00
