Player,Drafted (tm/rnd/yr),Player-additional
Jamal Adams,New York Jets / 1st / 6th pick / 2017,AdamJa00
Montravius Adams,Green Bay Packers / 3rd / 93rd pick / 2017,AdamMo00
Rodney Adams,Minnesota Vikings / 5th / 170th pick / 2017,AdamRo01
Quincy Adeboyejo,,AdebQu00
Brian Allen,Pittsburgh Steelers / 5th / 173rd pick / 2017,AlleBr01
Jonathan Allen,Washington Redskins / 1st / 17th pick / 2017,AlleJo01
Ryan Anderson,Washington Redskins / 2nd / 49th pick / 2017,AndeRy00
Alex Anzalone,New Orleans Saints / 3rd / 76th pick / 2017,AnzaAl00
Isaac Asiata,Miami Dolphins / 5th / 164th pick / 2017,AsiaIs00
Erik Austell,,-9999
Chidobe Awuzie,Dallas Cowboys / 2nd / 60th pick / 2017,AwuzCh00
Budda Baker,Arizona Cardinals / 2nd / 36th pick / 2017,BakeBu00
Toby Baker,,BakeTo01
Zach Banner,Indianapolis Colts / 4th / 137th pick / 2017,BannZa00
Derek Barnett,Philadelphia Eagles / 1st / 14th pick / 2017,BarnDe01
Tarell Basham,Indianapolis Colts / 3rd / 80th pick / 2017,BashTa00
C.J. Beathard,San Francisco 49ers / 3rd / 104th pick / 2017,BeatC.00
Kendell Beckwith,Tampa Bay Buccaneers / 3rd / 107th pick / 2017,BeckKe00
Vince Biegel,Green Bay Packers / 4th / 108th pick / 2017,BiegVi00
Adam Bisnowaty,New York Giants / 6th / 200th pick / 2017,BisnAd00
Garrett Bolles,Denver Broncos / 1st / 20th pick / 2017,BollGa00
Ben Boulware,,BoulBe00
Kendrick Bourne,,BourKe00
Tashawn Bower,,BoweTa00
Tyus Bowser,Baltimore Ravens / 2nd / 47th pick / 2017,BowsTy00
Ben Braden,,BradBe00
Caleb Brantley,Cleveland Browns / 6th / 185th pick / 2017,BranCa00
Billy Brown,,-9999
Blair Brown,Jacksonville Jaguars / 5th / 148th pick / 2017,BrowBl00
Fadol Brown,,BrowFa00
Jayon Brown,Tennessee Titans / 5th / 155th pick / 2017,BrowJa06
Noah Brown,Dallas Cowboys / 7th / 239th pick / 2017,BrowNo00
Pharaoh Brown,,BrowPh01
Daniel Brunskill,,BrunDa00
Collin Buchanan,,BuchCo00
Riley Bullough,,BullRi00
Harrison Butker,Carolina Panthers / 7th / 233rd pick / 2017,ButkHa00
Jake Butt,Denver Broncos / 5th / 145th pick / 2017,ButtJa00
K.D. Cannon,,CannK.00
Josh Carraway,Tennessee Titans / 7th / 227th pick / 2017,CarrJo00
Chris Carson,Seattle Seahawks / 7th / 249th pick / 2017,CarsCh00
Cethan Carter,,CartCe00
Jamal Carter,,CartJa02
Taco Charlton,Dallas Cowboys / 1st / 28th pick / 2017,CharTa00
Jehu Chesson,Kansas City Chiefs / 4th / 139th pick / 2017,ChesJe00
Chuck Clark,Baltimore Ravens / 6th / 186th pick / 2017,ClarCh00
Jeremy Clark,New York Jets / 6th / 197th pick / 2017,ClarJe04
Corey Clement,,ClemCo00
Chunky Clements,,ClemCh00
Tarik Cohen,Chicago Bears / 4th / 119th pick / 2017,CoheTa00
Stacy Coley,Minnesota Vikings / 7th / 219th pick / 2017,ColeSt00
Aviante Collins,,CollAv00
Gareon Conley,Oakland Raiders / 1st / 24th pick / 2017,ConlGa00
James Conner,Pittsburgh Steelers / 3rd / 105th pick / 2017,ConnJa00
Dalvin Cook,Minnesota Vikings / 2nd / 41st pick / 2017,CookDa01
Ethan Cooper,,CoopEt00
Zach Cunningham,Houston Texans / 2nd / 57th pick / 2017,CunnZa00
Darrell Daniels,,DaniDa02
Amara Darboh,Seattle Seahawks / 3rd / 106th pick / 2017,DarbAm00
Julien Davenport,,-9999
Corey Davis,Tennessee Titans / 1st / 5th pick / 2017,DaviCo03
Jarrad Davis,Detroit Lions / 1st / 21st pick / 2017,DaviJa01
Justin Davis,,DaviJu00
Kevin Davis,,DaviKe02
Keionta Davis,,DaviKe03
Robert Davis,Washington Redskins / 6th / 209th pick / 2017,DaviRo00
Dion Dawkins,Buffalo Bills / 2nd / 63rd pick / 2017,DawkDi00
Matthew Dayes,Cleveland Browns / 7th / 252nd pick / 2017,DayeMa00
