Player,Drafted (tm/rnd/yr),Player-additional
Treston DeCoud,Houston Texans / 5th / 169th pick / 2017,DecoTr00
J.J. Dielman,Cincinnati Bengals / 5th / 176th pick / 2017,DielJJ00
Joshua Dobbs,Pittsburgh Steelers / 4th / 135th pick / 2017,DobbJo00
Dylan Donahue,New York Jets / 5th / 181st pick / 2017,DonaDy00
Rasul Douglas,Philadelphia Eagles / 3rd / 99th pick / 2017,DougRa00
Jessamen Dunker,,-9999
Malachi Dupre,Green Bay Packers / 7th / 247th pick / 2017,DuprMa01
Travin Dural,,DuraTr00
Ken Ekanem,,EkanKe00
Corn Elder,Carolina Panthers / 5th / 152nd pick / 2017,EldeCo00
Pat Elflein,Minnesota Vikings / 3rd / 70th pick / 2017,ElflPa00
Jake Elliott,Cincinnati Bengals / 5th / 153rd pick / 2017,ElliJa03
Brooks Ellis,,ElliBr01
Jermaine Eluemunor,Baltimore Ravens / 5th / 159th pick / 2017,ElueJe00
Evan Engram,New York Giants / 1st / 23rd pick / 2017,EngrEv00
Amba Etta-Tawo,,EttaAm00
Jerod Evans,,EvanJe01
Justin Evans,Tampa Bay Buccaneers / 2nd / 50th pick / 2017,EvanJu00
Gerald Everett,Los Angeles Rams / 2nd / 44th pick / 2017,EverGe00
Dan Feeney,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
Devonte Fields,,FielDe00
Isaiah Ford,Miami Dolphins / 7th / 237th pick / 2017,FordIs00
Johnathan Ford,Arizona Cardinals / 6th / 208th pick / 2017,FordRu00
D'Onta Foreman,Houston Texans / 3rd / 89th pick / 2017,ForeDO00
Reuben Foster,San Francisco 49ers / 1st / 31st pick / 2017,FostRe00
Leonard Fournette,Jacksonville Jaguars / 1st / 4th pick / 2017,FourLe00
Kyle Fuller,Houston Texans / 7th / 243rd pick / 2017,FullKy01
Wayne Gallman,New York Giants / 4th / 140th pick / 2017,GallWa00
Antonio Garcia,New England Patriots / 3rd / 85th pick / 2017,GarcAn00
Myles Garrett,Cleveland Browns / 1st / 1st pick / 2017,GarrMy00
Davon Gaudchaux,Miami Dolphins / 5th / 178th pick / 2017,GodcDa00
Ben Gedeon,Minnesota Vikings / 4th / 120th pick / 2017,GedeBe00
Avery Gennesy,,GennAv00
Nate Gerry,Philadelphia Eagles / 5th / 184th pick / 2017,GerrNa00
Shelton Gibson,Philadelphia Eagles / 5th / 166th pick / 2017,GibsSh00
Ryan Glasgow,Cincinnati Bengals / 4th / 138th pick / 2017,GlasRy00
Chris Godwin,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,GodwCh00
Kenny Golladay,Detroit Lions / 3rd / 96th pick / 2017,GollKe00
Zane Gonzalez,Cleveland Browns / 7th / 224th pick / 2017,GonzZa00
Shaquill Griffin,Seattle Seahawks / 3rd / 90th pick / 2017,GrifSh00
Nate Hairston,Indianapolis Colts / 5th / 158th pick / 2017,HairNa00
Daeshon Hall,Carolina Panthers / 3rd / 77th pick / 2017,HallDa01
Chad Hansen,New York Jets / 4th / 141st pick / 2017,HansCh00
Sean Harlow,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00
Connor Harris,,-9999
Charles Harris,Miami Dolphins / 1st / 22nd pick / 2017,HarrCh03
Josh Harvey-Clemons,Washington Redskins / 7th / 230th pick / 2017,HarvJo01
Keon Hatcher,,HatcKe00
DeAngelo Henderson,,-9999
Carlos Henderson,Denver Broncos / 3rd / 82nd pick / 2017,HendCa01
Trey Hendrickson,New Orleans Saints / 3rd / 103rd pick / 2017,HendTr00
Treyvon Hester,Oakland Raiders / 7th / 244th pick / 2017,HestTr00
Cole Hikutini,,HikuCo00
Brian Hill,Atlanta Falcons / 5th / 156th pick / 2017,HillBr02
Delano Hill,Seattle Seahawks / 3rd / 95th pick / 2017,HillDe02
Bucky Hodges,Minnesota Vikings / 6th / 201st pick / 2017,HodgBu00
Colin Holba,Pittsburgh Steelers / 6th / 213th pick / 2017,HolbCo00
Will Holden,Arizona Cardinals / 5th / 157th pick / 2017,HoldWi00
Mack Hollins,Philadelphia Eagles / 4th / 118th pick / 2017,HollMa00
Elijah Hood,Oakland Raiders / 7th / 242nd pick / 2017,HoodEl00
Malik Hooker,Indianapolis Colts / 1st / 15th pick / 2017,HookMa00
Bug Howard,,HowaBu00
O.J. Howard,Tampa Bay Buccaneers / 1st / 19th pick / 2017,HowaO.00
Marlon Humphrey,Baltimore Ravens / 1st / 16th pick / 2017,HumpMa00
Hayden Hunt,,HuntHa01
Kareem Hunt,Kansas City Chiefs / 3rd / 86th pick / 2017,HuntKa00
Rushel Shell III,,-9999
Danny Isidora,Minnesota Vikings / 5th / 180th pick / 2017,IsidDa00
Adoree Jackson,Tennessee Titans / 1st / 18th pick / 2017,JackAd00
Eddie Jackson,Chicago Bears / 4th / 112th pick / 2017,JackEd01
Rayshawn Jenkins,Los Angeles Chargers / 4th / 113th pick / 2017,JenkRa00
Dorian Johnson,Arizona Cardinals / 4th / 115th pick / 2017,JohnDo03
Jadar Johnson,,JohnJa08
Jaleel Johnson,Minnesota Vikings / 4th / 109th pick / 2017,JohnJa09
John Johnson,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10
Roderick Johnson,Cleveland Browns / 5th / 160th pick / 2017,JohnRo06
Cameron Johnston,,JohnCa02
Aaron Jones,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00
D.J. Jones,San Francisco 49ers / 6th / 198th pick / 2017,JoneD.01
Jarron Jones,,JoneJa07
Josh Jones,Green Bay Packers / 2nd / 61st pick / 2017,JoneJo06
Nazair Jones,Seattle Seahawks / 3rd / 102nd pick / 2017,JoneNa00
Sidney Jones,Philadelphia Eagles / 2nd / 43rd pick / 2017,JoneSi00
Zay Jones,Buffalo Bills / 2nd / 37th pick / 2017,JoneZa00
Victor Bolden Jr.,,BoldVi00
Bryan Cox Jr.,,CoxxBr01
Anthony Walker Jr.,Indianapolis Colts / 5th / 161st pick / 2017,WalkAn01
Greg Ward Jr.,,WardGr02
Deatrich Wise Jr.,New England Patriots / 4th / 131st pick / 2017,WiseDe00
Brad Kaaya,Detroit Lions / 6th / 215th pick / 2017,KaayBr00
Alvin Kamara,New Orleans Saints / 3rd / 67th pick / 2017,KamaAl00
Damontae Kazee,Atlanta Falcons / 5th / 149th pick / 2017,KazeDa00
Keith Kelsey,,KelsKe00
Desmond King,Los Angeles Chargers / 5th / 151st pick / 2017,KingDe01
Kevin King,Green Bay Packers / 2nd / 33rd pick / 2017,KingKe01
George Kittle,San Francisco 49ers / 5th / 146th pick / 2017,KittGe00
DeShone Kizer,Cleveland Browns / 2nd / 52nd pick / 2017,KizeDe00
Trevor Knight,,KnigTr00
Tanoh Kpassagnon,Kansas City Chiefs / 2nd / 59th pick / 2017,KpasTa00
Cooper Kupp,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
Forrest Lamp,Los Angeles Chargers / 2nd / 38th pick / 2017,LampFo00
Ashton Lampkin,,LampAs00
Jerome Lane,,LaneJe01
Harvey Langi,,LangHa00
Marshon Lattimore,New Orleans Saints / 1st / 11th pick / 2017,LattMa01
Carl Lawson,Cincinnati Bengals / 4th / 116th pick / 2017,LawsCa00
Javarius Leamon,,-9999
Jeremiah Ledbetter,Detroit Lions / 6th / 205th pick / 2017,LedbJe00
Cameron Lee,,LeexCa01
Marquel Lee,Oakland Raiders / 5th / 168th pick / 2017,LeexMa01
Jordan Leggett,New York Jets / 5th / 150th pick / 2017,LeggJo00
Mitch Leidner,,LeidMi00
Corey Levin,Tennessee Titans / 6th / 217th pick / 2017,LeviCo00
Jourdan Lewis,Dallas Cowboys / 3rd / 92nd pick / 2017,LewiJo01
William Likely,,LikeWi00
Sefo Liufau,,LiufSe00
T.J. Logan,Arizona Cardinals / 5th / 179th pick / 2017,LogaT.00
Shalom Luani,Oakland Raiders / 7th / 221st pick / 2017,LuanSh00
Keevan Lucas,,LucaKe00
Marlon Mack,Indianapolis Colts / 4th / 143rd pick / 2017,MackMa00
Patrick Mahomes,Kansas City Chiefs / 1st / 10th pick / 2017,MahoPa00
Josh Malone,Cincinnati Bengals / 4th / 128th pick / 2017,MaloJo00
Damien Mama,,MamaDa00
Gabe Marks,,MarkGa00
Joe Mathis,,MathJo00
Arthur Maulet,,MaulAr00
Marcus Maye,New York Jets / 2nd / 39th pick / 2017,MayeMa00
Christian McCaffrey,Carolina Panthers / 1st / 8th pick / 2017,McCaCh01
Conor McDermott,New England Patriots / 6th / 211th pick / 2017,McDeCo00
Malik McDowell,Seattle Seahawks / 2nd / 35th pick / 2017,McDoMa00
Elijah McGuire,New York Jets / 6th / 188th pick / 2017,McGuEl00
Isaiah McKenzie,Denver Broncos / 5th / 172nd pick / 2017,McKeIs00
Takkarist McKinley,Atlanta Falcons / 1st / 26th pick / 2017,McKiTa00
Raekwon McMillan,Miami Dolphins / 2nd / 54th pick / 2017,McMiRa02
Jeremy McNichols,Tampa Bay Buccaneers / 5th / 162nd pick / 2017,McNiJe00
Obi Melifonwu,Oakland Raiders / 2nd / 56th pick / 2017,MeliOb00
Matt Milano,Buffalo Bills / 5th / 163rd pick / 2017,MilaMa00
Fabian Moreau,Washington Redskins / 3rd / 81st pick / 2017,MoreFa00
Drew Morgan,,MorgDr00
Jordan Morgan,Chicago Bears / 5th / 147th pick / 2017,MorgJo02
Avery Moss,New York Giants / 5th / 167th pick / 2017,MossAv00
Taylor Moton,Carolina Panthers / 2nd / 64th pick / 2017,MotoTa00
Al-Quadin Muhammad,New Orleans Saints / 6th / 196th pick / 2017,MuhaAl00
Jalen Myrick,Jacksonville Jaguars / 7th / 222nd pick / 2017,MyriJa00
Montae Nicholson,Washington Redskins / 4th / 123rd pick / 2017,NichMo00
Hardy Nickerson,,NickHa02
David Njoku,Cleveland Browns / 1st / 29th pick / 2017,NjokDa00
Speedy Noil,,NoilSp00
Bradley Northnagel,,NortBr01
Noble Nwachukwu,,NwacNo00
Ifeadi Odenigbo,Minnesota Vikings / 7th / 220th pick / 2017,OdenIf00
Dare Ogunbowale,,OgunDa00
Larry Ogunjobi,Cleveland Browns / 3rd / 65th pick / 2017,OgunLa00
Tyler Orlosky,,OrloTy00
Scott Orndoff,,OrndSc00
Zach Pascal,,PascZa00
Jabrill Peppers,Cleveland Browns / 1st / 25th pick / 2017,PeppJa00
Samaje Perine,Washington Redskins / 4th / 114th pick / 2017,PeriSa00
Nathan Peterman,Buffalo Bills / 5th / 171st pick / 2017,PeteNa00
Carroll Phillips,,PhilCa00
Hayden Plinke,,PlinHa00
Ethan Pocic,Seattle Seahawks / 2nd / 58th pick / 2017,PociEt00
Ejuan Price,Los Angeles Rams / 7th / 234th pick / 2017,PricEj00
Donnel Pumphrey,Philadelphia Eagles / 4th / 132nd pick / 2017,PumpDo00
Elijah Qualls,Philadelphia Eagles / 6th / 214th pick / 2017,QualEl00
James Quick,,QuicJa00
Ryan Ramczyk,New Orleans Saints / 1st / 32nd pick / 2017,RamcRy00
Michael Rector,,RectMi00
Haason Reddick,Arizona Cardinals / 1st / 13th pick / 2017,ReddHa00
Devine Redding,,ReddDe00
Jalen Reeves-Maybin,Detroit Lions / 4th / 124th pick / 2017,ReevJa00
Austin Rehkow,,RehkAu01
Josh Reynolds,Los Angeles Rams / 4th / 117th pick / 2017,ReynJo00
Duke Riley,Atlanta Falcons / 3rd / 75th pick / 2017,RileDu00
Derek Rivers,New England Patriots / 3rd / 83rd pick / 2017,RiveDe00
Michael Roberts,Detroit Lions / 4th / 127th pick / 2017,RobeMi01
Jalen Robinette,,RobiJa02
Ezra Robinson,,-9999
Cam Robinson,Jacksonville Jaguars / 2nd / 34th pick / 2017,RobiCa00
Isaac Rochell,Los Angeles Chargers / 7th / 225th pick / 2017,RochIs00
Darreus Rogers,,RogeDa02
Sam Rogers,Los Angeles Rams / 6th / 206th pick / 2017,RogeSa00
Fred Ross,,RossFr00
John Ross,Cincinnati Bengals / 1st / 9th pick / 2017,RossJo00
Chase Roullier,Washington Redskins / 6th / 199th pick / 2017,RoulCh00
Travis Rudolph,,RudoTr00
Cooper Rush,,RushCo00
Seth Russell,,RussSe00
Curtis Samuel,Carolina Panthers / 2nd / 40th pick / 2017,SamuCu00
Eric Saubert,Atlanta Falcons / 5th / 174th pick / 2017,SaubEr00
Artavis Scott,,ScotAr00
Ricky Seals-Jones,,SealRi00
Justin Senior,Seattle Seahawks / 6th / 210th pick / 2017,SeniJu00
Adam Shaheen,Chicago Bears / 2nd / 45th pick / 2017,ShahAd00
David Sharpe,Oakland Raiders / 4th / 129th pick / 2017,SharDa02
Sojourn Shelton,,ShelSo00
Garrett Sickels,,SickGa00
Nico Siragusa,Baltimore Ravens / 4th / 122nd pick / 2017,SiraNi00
Dan Skipper,,SkipDa00
Tanzel Smart,Los Angeles Rams / 6th / 189th pick / 2017,SmarTa00
De'Veon Smith,,SmitDe06
Jonnu Smith,Tennessee Titans / 3rd / 100th pick / 2017,SmitJo01
JuJu Smith-Schuster,Pittsburgh Steelers / 2nd / 62nd pick / 2017,SmitJu00
Dawuane Smoot,Jacksonville Jaguars / 3rd / 68th pick / 2017,SmooDa00
Jeremy Sprinkle,Washington Redskins / 5th / 154th pick / 2017,SpriJe00
Jamari Staples,,StapJa00
Freddie Stevenson,,StevFr00
ArDarius Stewart,New York Jets / 3rd / 79th pick / 2017,StewAr00
Channing Stribling,,StriCh00
Cameron Sutton,Pittsburgh Steelers / 3rd / 94th pick / 2017,SuttCa00
Ryan Switzer,Dallas Cowboys / 4th / 133rd pick / 2017,SwitRy00
Teez Tabor,Detroit Lions / 2nd / 53rd pick / 2017,TaboTe00
Cordrea Tankersley,Miami Dolphins / 3rd / 97th pick / 2017,TankCo00
Pita Taumoepenu,San Francisco 49ers / 6th / 202nd pick / 2017,TaumPi00
Taywan Taylor,Tennessee Titans / 3rd / 72nd pick / 2017,TaylTa00
Trent Taylor,San Francisco 49ers / 5th / 177th pick / 2017,TaylTr02
Vincent Taylor,Miami Dolphins / 6th / 194th pick / 2017,TaylVi00
Sam Tevi,Los Angeles Chargers / 6th / 190th pick / 2017,TeviSa00
Nate Theaker,,-9999
Jahad Thomas,,ThomJa02
Noel Thomas,,ThomNo00
Solomon Thomas,San Francisco 49ers / 1st / 3rd pick / 2017,ThomSo00
Tedric Thompson,Seattle Seahawks / 4th / 111th pick / 2017,ThomTe00
Jack Tocho,Minnesota Vikings / 7th / 245th pick / 2017,TochJa00
Dalvin Tomlinson,New York Giants / 2nd / 55th pick / 2017,TomlDa00
Jon Toth,,TothJo00
Damarius Travis,,TravDa00
Mitchell Trubisky,Chicago Bears / 1st / 2nd pick / 2017,TrubMi00
Stevie Tu'Ikolovatu,Tampa Bay Buccaneers / 7th / 223rd pick / 2017,TuikSt00
Michael Tyson,Seattle Seahawks / 6th / 187th pick / 2017,TysoMi00
Jerry Ugokwe,,-9999
Conrad Ukropina,,UkroCo00
Tanner Vallejo,Buffalo Bills / 6th / 195th pick / 2017,VallTa00
Eddie Vanderdoes,Oakland Raiders / 3rd / 88th pick / 2017,VandEd00
Justin Vogel,,VogeJu00
Charles Walker,,WalkCh01
DeMarcus Walker,Denver Broncos / 2nd / 51st pick / 2017,WalkDe03
Carlos Watkins,Houston Texans / 4th / 142nd pick / 2017,WatkCa00
Deshaun Watson,Houston Texans / 1st / 12th pick / 2017,WatsDe00
T.J. Watt,Pittsburgh Steelers / 1st / 30th pick / 2017,WattT.00
Davis Webb,New York Giants / 3rd / 87th pick / 2017,WebbDa00
Dede Westbrook,Jacksonville Jaguars / 4th / 110th pick / 2017,WestDe00
Chad Wheeler,,WheeCh00
Marquez White,Dallas Cowboys / 6th / 216th pick / 2017,WhitMa03
TreDavious White,Buffalo Bills / 1st / 27th pick / 2017,WhitTr01
Kermit Whitfield,,WhitKe02
Jamaal Williams,Green Bay Packers / 4th / 134th pick / 2017,WillJa06
Joe Williams,San Francisco 49ers / 4th / 121st pick / 2017,WillJo12
Marcus Williams,New Orleans Saints / 2nd / 42nd pick / 2017,WillMa06
Mike Williams,Los Angeles Chargers / 1st / 7th pick / 2017,WillMi07
Stanley Williams,,WillSt03
Tim Williams,Baltimore Ravens / 3rd / 78th pick / 2017,WillTi00
Jordan Willis,Cincinnati Bengals / 3rd / 73rd pick / 2017,WillJo09
Howard Wilson,Cleveland Browns / 4th / 126th pick / 2017,WilsHo00
Jesus Wilson,,WilsJe00
Quincy Wilson,Indianapolis Colts / 2nd / 46th pick / 2017,WilsQu01
Ahkello Witherspoon,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00
Xavier Woods,Dallas Cowboys / 6th / 191st pick / 2017,WoodXa00
Chris Wormley,Baltimore Ravens / 3rd / 74th pick / 2017,WormCh00
