Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Paulson Adebo,6-1,198.0,4.45,36.5,18.0,121.0,6.69,4.13,AdebPa00,3,76,NOR,CB,22,2022.0,0,0,2,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,,AdebPa00
Jack Anderson,6-4,314.0,5.28,29.5,27.0,105.0,7.9,4.83,AndeJa01,7,236,BUF,OL,22,2022.0,0,0,0,2.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,AndeJa01
Tutu Atwell,5-8,155.0,4.42,33.0,,117.0,6.89,4.14,AtweTu00,2,57,LAR,WR,21,2022.0,0,0,0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,1.0,18.0,298.0,1.0,,,,AtweTu00
Kawaan Baker,6-0,210.0,4.44,39.5,21.0,129.0,7.42,4.41,-9999,7,255,NOR,WR,23,2021.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,BakeKa00
Josh Ball,6-7,308.0,5.2,27.5,28.0,106.0,7.77,4.7,BallJo00,4,138,DAL,OL,23,2022.0,0,0,0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BallJo00
Aaron Banks,6-5,325.0,5.32,31.0,24.0,100.0,7.69,4.89,BankAa00,2,48,SFO,OL,24,2022.0,0,0,1,8.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BankAa00
Christian Barmore,6-4,310.0,4.93,,,,,,BarmCh00,2,38,NWE,DL,22,2022.0,0,0,0,5.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,4.0,BarmCh00
Derrick Barnes,6-0,238.0,4.57,37.0,29.0,119.0,,4.27,BarnDe02,4,113,DET,DE,22,2022.0,0,0,0,5.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,,3.0,BarnDe02
Rashod Bateman,6-0,190.0,4.39,36.0,,123.0,,,BateRa00,1,27,BAL,WR,21,2022.0,0,0,0,7.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,800.0,3.0,,,,BateRa00
John Bates,6-5,250.0,4.84,31.5,19.0,120.0,6.85,4.35,-9999,4,124,WAS,TE,23,2022.0,0,0,0,3.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,357.0,2.0,2.0,,,BateJo00
Joshuah Bledsoe,,,,,,,,,BledJo00,6,188,NWE,S,22,2022.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BledJo00
Quinton Bohanna,6-4,327.0,5.46,29.0,,99.0,8.21,5.15,-9999,6,192,DAL,DT,22,2022.0,0,0,1,6.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,BohaQu00
Nick Bolton,5-11,237.0,4.6,32.0,24.0,,7.4,4.5,BoltNi00,2,58,KAN,LB,21,2022.0,0,0,2,13.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,2.0,2.0,BoltNi00
Ian Book,6-0,211.0,4.65,32.5,,115.0,6.99,4.19,BookIa00,4,133,NOR,QB,23,2021.0,0,0,0,0.0,0.0,1.0,12.0,20.0,135.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,,,,BookIa00
Larry Borom,6-5,322.0,5.12,31.0,,,,,BoroLa00,5,151,CHI,OL,22,2022.0,0,0,1,8.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BoroLa00
William Bradley-King,6-3,252.0,4.74,34.5,,119.0,7.14,4.26,BradWi00,7,240,WAS,OLB,23,2022.0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.5,BradWi00
Brady Breeze,5-11,197.0,4.55,38.0,20.0,120.0,7.05,4.22,BreeBr00,6,215,TEN,S,23,2022.0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,BreeBr00
Gary Brightwell,5-10,218.0,4.62,34.5,17.0,118.0,7.51,4.48,BrigGa00,6,196,NYG,RB,22,2022.0,0,0,0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,32.0,145.0,1.0,6.0,45.0,0.0,2.0,,,BrigGa00
