Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Garret Dooley,EDGE,6-3,248,4.80,33.0,21,121,,4.28,DoolGa01
Chase Edmonds,RB,5-9,205,4.55,34.0,19,122,6.79,4.07,EdmoCh00
Terrell Edmunds,S,6-2,220,4.47,41.5,,134,,,EdmuTe00
Tremaine Edmunds,LB,6-5,253,4.54,,19,117,,,EdmuTr01
Duke Ejiofor,DE,6-4,264,,,,,,,EjioDu00
Deshon Elliott,S,6-2,205,4.58,36.0,15,121,,,ElliDe02
Donnie Ernsberger,RB,6-3,241,4.78,31.0,15,114,7.09,4.34,ErnsDo00
Leighton Vander esch,ILB,6-4,256,4.65,39.5,20,124,6.88,4.15,VandLe00
Danny Etling,QB,6-2,222,4.76,30.5,,114,7.09,4.37,EtliDa00
Rashaan Evans,LB,6-3,232,,30.0,,116,6.95,4.36,EvanRa01
Brandon Facyson,CB,6-2,197,4.53,,16,,,,FacyBr00
Luke Falk,QB,6-4,215,,26.5,,103,,,FalkLu00
Rashard Fant,CB,5-10,175,,,,,,,-9999
Foley Fatukasi,DT,6-4,318,5.29,30.0,33,112,7.44,4.53,-9999
Riley Ferguson,QB,6-3,212,4.98,29.0,,110,6.96,4.40,FergRi00
Kylie Fitts,EDGE,6-4,263,4.69,32.5,31,117,6.88,4.19,FittKy00
Minkah Fitzpatrick,DB,6-1,201,4.46,33.0,14,121,,,FitzMi00
Quinton Flowers,QB,5-10,214,4.63,,,112,6.81,4.57,-9999
Dimitri Flowers,RB,6-2,248,4.83,30.5,17,109,7.45,4.53,FlowDi00
Tre Flowers,S,6-3,200,4.45,34.5,18,122,,,FlowTr01
Robert Foster,WR,6-2,196,4.41,31.0,,116,6.90,4.20,FostRo01
Jarvion Franklin,RB,5-11,239,4.63,30.0,18,109,6.93,4.31,FranJa02
John Franklin-Myers,DE,6-4,283,4.75,33.0,26,113,7.36,4.48,FranJo02
Joshua Frazier,DT,6-4,321,,,21,,,,FrazJo00
Royce Freeman,RB,5-11,229,4.54,34.0,17,118,6.90,4.16,FreeRo00
Troy Fumagalli,TE,6-5,247,,,14,,,,FumaTr00
Michael Gallup,WR,6-1,205,4.51,36.0,10,122,6.95,4.37,GallMi00
Nick Gates,OT,6-5,307,5.46,24.0,20,94,7.61,4.68,GateNi00
Rashaan Gaulden,CB,6-1,193,4.61,30.0,8,119,7.16,4.33,GaulRa00
Mike Gesicki,TE,6-5,247,4.54,41.5,22,129,6.76,4.10,GesiMi00
Dallas Goedert,TE,6-5,256,,,23,,,,GoedDa00
Colby Gossett,OG,6-5,311,5.20,25.0,32,103,7.60,4.83,GossCo00
Davon Grayson,WR,6-1,199,4.51,34.5,19,124,,,-9999
Rasheem Green,DE,6-5,275,4.73,32.5,,118,7.24,4.39,GreeRa01
Shaquem Griffin,OLB,6-1,227,4.38,,20,117,,,GrifSh01
Derrius Guice,RB,5-10,224,4.49,31.5,15,,,,GuicDe00
Grant Haley,CB,5-9,190,4.44,34.0,15,119,6.51,3.94,HaleGr00
Shaun dion Hamilton,ILB,6-0,228,,,20,,,,DionSh00
Daesean Hamilton,WR,6-1,203,,34.5,,118,6.84,4.15,HamiDa01
Dashawn Hand,DE,6-4,297,4.83,31.5,28,111,7.98,4.62,-9999
Davontae Harris,CB,6-0,200,4.43,32.5,22,123,6.96,4.40,HarrDa05
Marcell Harris,S,6-0,208,,,16,,,,HarrMa03
Desmond Harrison,OT,6-6,292,4.90,,,,,,HarrDe05
Ronnie Harrison,S,6-3,214,,34.0,,120,,,HarrRo02
Marquis Haynes,EDGE,6-3,235,4.67,32.0,23,123,7.14,4.45,HaynMa01
Taylor Hearn,OG,6-4,320,5.45,24.0,18,96,7.84,4.80,HearTa00
James Hearns,EDGE,6-3,239,4.89,,22,,,,-9999
Quadree Henderson,WR,5-8,192,4.50,32.5,12,120,6.89,4.28,HendQu00
Zaycoven Henderson,DT,6-0,298,5.16,29.5,20,105,7.33,4.58,HendZa00
Will Hernandez,OG,6-2,327,5.15,24.0,37,104,7.59,4.70,HernWi00
Chris Herndon,TE,6-4,253,,,21,,,,HernCh00
Kyle Hicks,RB,5-10,204,4.63,36.5,13,122,,,-9999
B.J. Hill,DT,6-4,311,4.99,26.5,35,101,7.28,4.53,HillB.00
Holton Hill,CB,6-3,200,4.49,31.0,14,120,6.83,4.15,HillHo00
Nyheim Hines,RB,5-8,198,4.38,35.5,,119,7.18,4.35,HineNy00
Jeff Holland,EDGE,6-2,249,4.79,,,116,,,HollJe01
Jalyn Holmes,DE,6-5,283,4.82,32.0,25,,,,HolmJa01
Sam Hubbard,DE,6-5,270,,35.0,,116,6.84,4.32,HubbSa00
Mike Hughes,CB,5-11,191,4.53,35.5,20,127,6.70,4.13,HughMi00
Hayden Hurst,TE,6-4,250,4.67,31.5,,120,7.19,4.37,HursHa00
Maurice Hurst,DT,6-2,292,,,,,,,HursMa00
Godwin Igwebuike,S,6-0,205,4.44,35.5,19,128,6.56,4.12,IgweGo00
Darren Carrington II,WR,6-2,199,,36.0,,120,,,-9999
Joel Iyiegbuniwe,LB,6-1,229,4.60,35.0,19,117,7.06,4.28,IyieJo00
Ryan Izzo,TE,6-5,256,4.94,33.0,18,110,7.15,4.43,IzzoRy00
Darius Jackson,EDGE,6-3,242,4.87,26.5,21,113,7.52,,-9999
Donte Jackson,CB,5-11,175,4.32,,7,124,,,JackDo02
J.C. Jackson,CB,5-11,193,4.46,35.5,14,120,,,JackJ.00
Josh Jackson,CB,6-1,192,4.56,38.0,18,123,6.86,4.03,JackJo01
Justin Jackson,RB,6-0,199,4.52,38.5,13,122,6.81,4.07,JackJu01
Lamar Jackson,QB,6-2,216,,,,,,,JackLa00
Leon Jacobs,EDGE,6-3,246,4.48,34.5,26,122,7.14,4.44,JacoLe00
Natrell Jamerson,S,6-0,198,4.40,35.5,25,120,,,JameNa00
Derwin James,S,6-3,215,4.47,40.0,21,132,,,JameDe00
Richie James,WR,5-10,183,4.48,35.5,6,122,6.87,4.16,JameRi00
Malik Jefferson,OLB,6-3,236,4.52,36.0,27,125,,,JeffMa00
Josey Jewell,ILB,6-1,234,4.82,33.0,18,117,6.80,4.27,JeweJo00
Danny Johnson,CB,5-10,185,4.44,35.0,15,123,,,JohnDa09
Kerryon Johnson,RB,5-11,213,,40.0,11,126,7.07,4.29,JohnKe06
Taron Johnson,CB,6-0,180,4.50,33.0,17,118,7.03,4.28,JohnTa01
Chris Jones,CB,6-0,195,4.57,,14,,,,JoneCh06
Jamarco Jones,OT,6-4,299,5.50,24.0,,102,8.32,4.99,JoneJa08
Justin Jones,DT,6-2,309,5.09,29.0,24,104,7.82,4.74,JoneJu03
Ronald Jones,RB,5-11,205,4.65,36.5,,,,,JoneRo01
Sam Jones,OG,6-5,305,5.32,27.0,28,101,7.92,4.86,JoneSa00
Jaryd Jones-Smith,OT,6-6,317,5.22,27.0,16,109,8.10,4.94,JoneJa09
Michael Joseph,CB,6-1,181,,34.0,17,,6.89,4.20,-9999
Peter Kalambayi,EDGE,6-3,252,4.57,34.0,19,121,7.13,4.36,KalaPe00
Joshua Kalu,S,6-1,195,4.58,41.5,17,134,,,KaluJo00
John Kelly,RB,5-10,216,,35.0,15,120,7.13,4.51,KellJo00
Kameron Kelly,S,6-2,200,4.66,33.0,9,120,6.94,4.28,KellKa02
Arden Key,EDGE,6-6,238,,31.0,,117,7.16,4.25,KeyxAr00
Jamarcus King,CB,6-1,186,4.70,,,,,,-9999
Christian Kirk,WR,5-10,201,4.47,35.5,20,115,7.09,4.45,KirkCh01
Micah Kiser,ILB,6-2,238,4.66,35.5,,121,7.05,4.24,KiseMi00
Chris Lacy,WR,6-3,205,4.51,33.5,11,120,,,LacyCh00
Harold Landry,EDGE,6-3,252,4.64,36.0,24,119,6.88,4.19,LandHa00
Jordan Lasley,WR,6-1,203,4.50,34.5,8,112,,4.19,LaslJo00
Kyle Lauletta,QB,6-3,222,4.81,31.0,,113,6.95,4.07,LaulKy00
