Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Hakeem Adeniji,6-4,302,5.17,34.0,26.0,115.0,,,AdenHa00,6,180,CIN,T,22,2022.0,0,0,0,9.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,AdenHa00
McTelvin Agim,6-3,309,4.98,,27.0,,,,AgimMc00,3,95,DEN,DT,22,2021.0,0,0,0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,1.5,AgimMc00
Brandon Aiyuk,6-0,205,4.5,40.0,11.0,128.0,,,AiyuBr00,1,25,SFO,WR,22,2022.0,0,0,3,23.0,23.0,46.0,0.0,0.0,0.0,0.0,0.0,13.0,117.0,2.0,194.0,2589.0,18.0,3.0,,,AiyuBr00
Cam Akers,5-10,217,4.47,35.5,20.0,122.0,,4.42,AkerCa00,2,52,LAR,RB,21,2022.0,0,0,1,10.0,10.0,29.0,0.0,0.0,0.0,0.0,0.0,338.0,1414.0,9.0,27.0,250.0,1.0,,,,AkerCa00
Bradlee Anae,6-3,257,4.93,31.0,25.0,115.0,7.44,4.43,AnaeBr00,5,179,DAL,DE,21,2021.0,0,0,0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,AnaeBr00
Tremayne Anchrum,6-2,314,5.21,24.5,26.0,104.0,,,AnchTr00,7,250,LAR,G,22,2022.0,0,0,0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,AnchTr00
Damon Arnette,6-0,195,4.56,,,,,,ArneDa00,1,19,LVR,CB,24,2021.0,0,0,0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,ArneDa00
Devin Asiasi,6-3,257,4.73,30.5,16.0,115.0,,,AsiaDe00,3,91,NWE,TE,23,2022.0,0,0,0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,1.0,,,,AsiaDe00
Markus Bailey,6-0,235,,,15.0,,,,BailMa01,7,215,CIN,LB,23,2022.0,0,0,0,6.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,0.5,BailMa01
Ben Bartch,6-6,309,,,,,,,BartBe00,4,116,JAX,G,22,2022.0,0,0,1,6.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BartBe00
Tyler Bass,5-10,185,,,,,,,BassTy00,6,188,BUF,K,23,2022.0,0,0,1,9.0,9.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,BassTy00
Zack Baun,6-2,238,4.65,32.5,24.0,115.0,7.0,4.31,BaunZa00,3,74,NOR,LB,23,2022.0,0,0,0,7.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,BaunZa00
Mekhi Becton,6-7,364,5.1,,23.0,,,,BectMe00,1,11,NYJ,T,21,2021.0,0,0,1,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BectMe00
Eno Benjamin,5-9,207,4.57,39.0,12.0,122.0,6.97,4.25,BenjEn00,7,222,ARI,RB,21,2022.0,0,0,0,4.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,111.0,431.0,3.0,31.0,235.0,0.0,1.0,,,BenjEn00
Tyler Biadasz,6-4,314,,,,,,,BiadTy00,4,146,DAL,C,22,2022.0,0,1,2,17.0,17.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,BiadTy00
Ross Blacklock,6-3,290,4.9,29.0,,107.0,7.77,4.67,BlacRo00,2,40,HOU,DT,22,2022.0,0,0,0,4.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,3.0,BlacRo00
Julian Blackmon,6-0,187,,,,,,,BlacJu01,3,85,IND,S,22,2022.0,0,0,2,11.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,3.0,1.0,BlacJu01
Shaun Bradley,6-1,235,4.51,32.5,14.0,121.0,7.07,4.24,BradSh00,6,196,PHI,LB,23,2022.0,0,0,0,3.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,,BradSh00
Ben Bredeson,6-5,315,,,,,,,BredBe00,4,143,BAL,G,22,2022.0,0,0,0,5.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BredBe00
Jordyn Brooks,6-0,240,4.54,,,,,,BrooJo01,1,27,SEA,LB,22,2022.0,0,0,2,17.0,17.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,2.0,BrooJo01
Derrick Brown,6-5,326,5.16,27.0,28.0,108.0,8.22,4.79,BrowDe05,1,7,CAR,DT,22,2022.0,0,0,3,19.0,19.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,6.0,BrowDe05
Harrison Bryant,6-5,243,4.73,32.5,13.0,110.0,7.41,4.37,BryaHa00,4,115,CLE,TE,22,2022.0,0,0,2,6.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,76.0,710.0,7.0,,,,BryaHa00
Terrell Burgess,5-11,202,4.46,33.5,20.0,122.0,,,BurgTe00,3,104,LAR,S,21,2022.0,0,0,0,2.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,BurgTe00
Joe Burrow,6-3,221,,,,,,,BurrJo01,1,1,CIN,QB,23,2022.0,0,1,3,38.0,38.0,42.0,1044.0,1530.0,11774.0,82.0,31.0,152.0,517.0,10.0,0.0,0.0,0.0,1.0,,,BurrJo01
Raymond Calais,5-8,188,4.42,37.5,20.0,120.0,,,CalaRa00,7,245,TAM,RB,22,2020.0,0,0,0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CalaRa00
Quintez Cephus,6-1,202,4.73,38.5,23.0,124.0,7.2,4.33,CephQu00,5,166,DET,WR,22,2022.0,0,0,0,5.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,568.0,4.0,4.0,,,CephQu00
K'Lavon Chaisson,6-3,254,,,,,,,ChaiKL00,1,20,JAX,DE,21,2022.0,0,0,0,7.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,3.0,ChaiKL00
Saahdiq Charles,6-4,321,5.05,,,,,,CharSa00,4,108,WAS,T,21,2022.0,0,0,0,4.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CharSa00
Jeremy Chinn,6-3,221,4.45,41.0,20.0,138.0,,,ChinJe00,2,64,CAR,S,22,2022.0,0,0,3,30.0,30.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,194.0,2.0,3.0,ChinJe00
Cameron Clark,6-4,308,5.29,25.0,26.0,101.0,,,ClarCa00,4,129,NYJ,T,22,,0,0,0,,,,,,,,,,,,,,,,,,ClarCa00
Chase Claypool,6-4,238,4.42,40.5,19.0,126.0,,,ClayCh01,2,49,PIT,WR,22,2022.0,0,0,1,19.0,17.0,46.0,1.0,1.0,1.0,1.0,0.0,33.0,171.0,2.0,167.0,2184.0,12.0,5.0,,,ClayCh01
Ezra Cleveland,6-6,311,4.93,30.0,30.0,111.0,7.26,4.46,ClevEz00,2,58,MIN,T,22,2022.0,0,0,3,17.0,17.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,ClevEz00
Tyrie Cleveland,6-2,209,4.46,39.5,13.0,126.0,,,ClevTy00,7,252,DEN,WR,22,2022.0,0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,91.0,0.0,6.0,,,ClevTy00
Carter Coughlin,6-3,236,4.57,36.0,,126.0,,,CougCa00,7,218,NYG,LB,23,2022.0,0,0,0,4.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,1.0,CougCa00
Isaiah Coulter,6-2,198,4.45,36.0,,121.0,7.28,4.62,CoulIs00,5,171,HOU,WR,21,2021.0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CoulIs00
Kamren Curl,6-1,206,4.6,34.5,24.0,125.0,,,CurlKa00,7,216,WAS,S,21,2022.0,0,0,3,14.0,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,3.0,4.0,CurlKa00
DeeJay Dallas,5-10,217,4.58,33.5,,119.0,7.18,4.32,DallDe00,4,144,SEA,RB,21,2022.0,0,0,0,6.0,6.0,44.0,0.0,1.0,0.0,0.0,1.0,102.0,432.0,4.0,55.0,370.0,1.0,12.0,,,DallDe00
Cameron Dantzler,6-2,188,4.64,34.5,,,,,DantCa00,3,89,MIN,CB,22,2022.0,0,0,2,10.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,3.0,,DantCa00
Marlon Davidson,6-3,303,5.04,,21.0,,,,DaviMa01,2,47,ATL,DE,22,2021.0,0,0,0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,DaviMa01
Ashtyn Davis,6-1,202,,,14.0,,,,DaviAs00,3,68,NYJ,S,23,2022.0,0,0,1,6.0,6.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,71.0,3.0,0.5,DaviAs00
Carlos Davis,6-2,313,4.82,,27.0,,,4.52,DaviCa03,7,232,PIT,DT,24,2022.0,0,0,0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,1.0,DaviCa03
Gabriel Davis,6-2,216,4.54,35.0,14.0,124.0,7.08,4.59,DaviGa01,4,128,BUF,WR,21,2022.0,0,0,2,19.0,19.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118.0,1984.0,20.0,3.0,,,DaviGa01
Khalil Davis,6-1,308,4.75,,32.0,,,,DaviKh00,6,194,TAM,DT,24,2021.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,DaviKh00
Raekwon Davis,6-6,311,5.12,28.0,24.0,111.0,7.95,4.86,DaviRa03,2,56,MIA,DT,23,2022.0,0,0,3,19.0,19.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,,1.5,DaviRa03
Akeem Davis-Gaither,6-1,224,,,21.0,,,,DaviAk01,4,107,CIN,LB,22,2022.0,0,0,0,5.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1.0,0.5,DaviAk01
Josiah Deguara,6-2,242,4.72,35.5,25.0,115.0,7.15,4.35,DeguJo00,3,94,GNB,TE,23,2022.0,0,0,0,3.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,371.0,2.0,2.0,,,DeguJo00
Grant Delpit,6-2,213,,,,,,,DelpGr00,2,44,CLE,S,21,2022.0,0,0,1,9.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,5.0,1.0,DelpGr00
Trevon Diggs,6-1,205,,,,,,,DiggTr00,2,51,DAL,CB,21,2022.0,1,2,3,27.0,27.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,17.0,1.0,DiggTr00
AJ Dillon,6-0,247,4.53,41.0,23.0,131.0,7.19,,DillAJ00,2,62,GNB,RB,22,2022.0,0,0,0,17.0,17.0,45.0,0.0,0.0,0.0,0.0,0.0,419.0,1815.0,14.0,64.0,540.0,2.0,2.0,,,DillAJ00
J.K. Dobbins,5-9,209,,,23.0,,,,DobbJK00,2,55,BAL,RB,21,2022.0,0,0,0,11.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,226.0,1325.0,11.0,25.0,162.0,1.0,,,,DobbJK00
Jack Driscoll,6-5,306,5.02,29.5,23.0,114.0,,,DrisJa00,4,145,PHI,G,23,2022.0,0,0,0,10.0,10.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,DrisJa00
Kyle Dugger,6-1,217,4.49,42.0,17.0,134.0,,,DuggKy00,2,37,NWE,S,24,2022.0,0,0,2,14.0,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,7.0,1.0,DuggKy00
Devin Duvernay,5-10,200,4.39,35.5,,123.0,7.13,4.2,DuveDe00,3,92,BAL,WR,22,2022.0,1,2,1,12.0,12.0,46.0,0.0,0.0,0.0,0.0,0.0,23.0,204.0,1.0,90.0,880.0,5.0,,,,DuveDe00
Troy Dye,6-3,231,,,,,,,DyexTr00,4,132,MIN,LB,23,2022.0,0,0,1,5.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,,,DyexTr00
Jacob Eason,6-6,231,4.89,27.5,,110.0,7.5,4.75,EasoJa00,4,122,IND,QB,22,2022.0,0,0,0,0.0,0.0,2.0,5.0,10.0,84.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,EasoJa00
Bryan Edwards,6-3,212,,,,,,,EdwaBr01,3,81,LVR,WR,21,2022.0,0,0,1,6.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,779.0,4.0,,,,EdwaBr01
Clyde Edwards-Helaire,5-7,207,4.6,39.5,15.0,123.0,,,EdwaCl00,1,32,KAN,RB,21,2022.0,0,0,1,15.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,371.0,1622.0,11.0,72.0,577.0,6.0,,,,EdwaCl00
