Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Jordan Elliott,6-4,302,5.02,27.5,24.0,,,4.73,ElliJo02,3,88,CLE,DT,22,2022.0,0,0,1,10.0,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,2.5,ElliJo02
A.J. Epenesa,6-5,275,5.04,32.5,17.0,117.0,7.34,4.46,EpenAJ00,2,54,BUF,DE,21,2022.0,0,0,0,6.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,9.0,EpenAJ00
Darrynton Evans,5-10,203,4.41,37.0,20.0,125.0,,,EvanDa02,3,93,TEN,RB,22,2022.0,0,0,0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,30.0,125.0,0.0,5.0,71.0,1.0,2.0,,,EvanDa02
Blake Ferguson,6-3,229,5.07,31.0,,112.0,7.43,4.52,FergBl00,6,185,MIA,LS,23,2022.0,0,0,0,3.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,FergBl00
Leki Fotu,6-5,330,5.15,,21.0,,,,FotuLe00,4,114,ARI,DT,22,2022.0,0,0,1,7.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,1.0,FotuLe00
Jake Fromm,6-2,219,5.01,30.0,,111.0,7.27,4.51,FromJa00,5,167,BUF,QB,22,2021.0,0,0,0,1.0,,3.0,27.0,60.0,210.0,1.0,3.0,8.0,65.0,0.0,0.0,0.0,0.0,,,,FromJa00
Jordan Fuller,6-2,203,4.67,35.5,,122.0,,4.27,FullJo01,6,199,LAR,S,22,2022.0,0,0,2,10.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,4.0,,FullJo01
Kristian Fulton,6-0,197,4.46,35.5,,123.0,6.94,4.36,FultKr00,2,61,TEN,CB,22,2022.0,0,0,2,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4.0,1.0,FultKr00
Neville Gallimore,6-2,304,4.79,,23.0,,7.97,5.01,GallNe00,3,82,DAL,DT,23,2022.0,0,0,1,8.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,3.0,GallNe00
Antonio Gandy-Golden,6-4,223,4.6,36.0,22.0,127.0,7.33,4.55,GandAn00,4,142,WAS,WR,22,2021.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,3.0,0.0,,,,GandAn00
Jonathan Garvin,6-4,263,4.82,36.0,23.0,125.0,,,GarvJo00,7,242,GNB,DE,21,2022.0,0,0,0,3.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,1.5,GarvJo00
Antonio Gibson,6-0,228,4.39,35.0,16.0,118.0,,,GibsAn00,3,66,WAS,RB,22,2022.0,0,0,2,19.0,19.0,45.0,0.0,0.0,0.0,0.0,0.0,577.0,2378.0,21.0,124.0,894.0,5.0,1.0,,,GibsAn00
Alohi Gilman,5-10,201,4.6,32.0,17.0,119.0,6.81,4.08,GilmAl00,6,186,LAC,S,22,2022.0,0,0,0,5.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2.0,,GilmAl00
Trevis Gipson,6-3,261,,,25.0,,,,GipsTr00,5,155,CHI,DE,23,2022.0,0,0,1,9.0,9.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,10.0,GipsTr00
Jeff Gladney,5-10,191,4.48,37.5,17.0,124.0,7.26,,GladJe00,1,31,MIN,CB,23,2020.0,0,0,1,5.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,,GladJe00
Jonathan Greenard,6-3,263,4.87,30.5,22.0,113.0,7.13,4.34,GreeJo04,3,90,HOU,DE,23,2022.0,0,0,1,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,10.5,GreeJo04
Yetur Gross-Matos,6-5,266,,34.0,20.0,120.0,,,GrosYe00,2,38,CAR,DE,22,2022.0,0,0,1,14.0,14.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,8.5,GrosYe00
Bryce Hall,6-1,202,,,11.0,,,,HallBr02,5,158,NYJ,CB,23,2022.0,0,0,2,7.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0.5,HallBr02
DaVon Hamilton,6-4,320,5.14,29.5,33.0,102.0,7.72,,HamiDa02,3,73,JAX,DT,23,2022.0,0,0,1,13.0,13.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,,4.5,HamiDa02
KJ Hamler,5-9,178,,,15.0,,,,HamlKJ00,2,46,DEN,WR,21,2022.0,0,0,0,5.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,11.0,63.0,0.0,42.0,620.0,3.0,,,,HamlKJ00
Harrison Hand,5-11,197,4.52,41.0,14.0,133.0,7.15,4.27,HandHa00,5,169,MIN,CB,21,2022.0,0,0,0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,,HandHa00
Jake Hanson,6-4,303,5.5,,33.0,,,,HansJa00,6,208,GNB,C,23,2022.0,0,0,0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HansJa00
Nick Harris,6-1,302,5.1,29.5,20.0,103.0,,,HarrNi01,5,160,CLE,C,21,2021.0,0,0,0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,HarrNi01
Malik Harrison,6-3,247,4.66,36.0,,122.0,6.83,4.32,HarrMa06,3,98,BAL,LB,22,2022.0,0,0,0,11.0,11.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,,HarrMa06
Jaylinn Hawkins,6-1,208,,35.5,,117.0,,,HawkJa00,4,134,ATL,S,23,2022.0,0,0,1,9.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,4.0,0.5,HawkJa00
Charlie Heck,6-8,311,5.16,28.0,21.0,112.0,8.02,4.86,HeckCh00,4,126,HOU,T,23,2022.0,0,0,1,8.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,HeckCh00
C.J. Henderson,6-1,204,4.39,37.5,20.0,127.0,,,HendCJ00,1,9,JAX,CB,21,2022.0,0,0,2,10.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3.0,,HendCJ00
Matt Hennessy,6-4,307,5.18,30.0,23.0,110.0,7.45,4.6,HennMa00,3,78,ATL,C,22,2022.0,0,0,1,10.0,10.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HennMa00
Justin Herbert,6-6,236,4.68,35.5,,123.0,7.06,4.46,HerbJu00,1,6,LAC,QB,22,2022.0,0,1,3,43.0,43.0,49.0,1316.0,1966.0,14089.0,94.0,35.0,172.0,683.0,8.0,2.0,-10.0,0.0,2.0,,,HerbJu00
Justin Herron,6-4,308,5.26,33.0,27.0,105.0,8.41,4.88,HerrJu00,6,195,NWE,T,24,2022.0,0,0,0,6.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HerrJu00
Tee Higgins,6-4,216,,,,,,,HiggTe00,2,33,CIN,WR,21,2022.0,0,0,3,26.0,26.0,46.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0,215.0,3028.0,19.0,1.0,,,HiggTe00
Alex Highsmith,6-3,248,4.7,33.0,,125.0,7.32,4.31,HighAl02,3,102,PIT,LB,23,2022.0,0,0,2,18.0,18.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,1.0,22.5,HighAl02
John Hightower,6-1,189,4.43,38.5,,122.0,7.07,4.21,HighJo00,5,168,PHI,WR,24,2021.0,0,0,0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,167.0,0.0,,,,HighJo00
K.J. Hill,6-0,196,4.6,32.5,17.0,114.0,,,HillKJ00,7,220,LAC,WR,22,2021.0,0,0,0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,103.0,0.0,,,,HillKJ00
Isaiah Hodgins,6-4,210,4.61,36.5,9.0,124.0,7.01,4.12,HodgIs00,6,207,BUF,WR,21,2022.0,0,0,0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,392.0,4.0,,,,HodgIs00
Sterling Hofrichter,5-10,196,,,,,,,HofrSt00,7,228,ATL,P,23,2021.0,0,0,0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,HofrSt00
Darnay Holmes,5-10,195,4.48,,12.0,,,,HolmDa01,4,110,NYG,CB,22,2022.0,0,0,0,6.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2.0,0.5,HolmDa01
Brycen Hopkins,6-4,245,4.66,33.5,21.0,116.0,7.25,4.28,HopkBr01,4,136,LAR,TE,23,2022.0,0,0,0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,118.0,0.0,1.0,,,HopkBr01
Khaleke Hudson,5-11,224,4.56,33.0,30.0,120.0,,,HudsKh00,5,162,WAS,LB,22,2022.0,0,0,0,4.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,HudsKh00
Robert Hunt,6-5,323,,,,,,,HuntRo01,2,39,MIA,G,24,2022.0,0,0,3,18.0,18.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,HuntRo01
Jalen Hurts,6-1,222,4.59,35.0,,125.0,,,HurtJa00,2,53,PHI,QB,22,2022.0,0,1,2,40.0,40.0,45.0,648.0,1040.0,7906.0,44.0,19.0,367.0,1898.0,26.0,1.0,3.0,0.0,2.0,,,HurtJa00
Noah Igbinoghene,5-10,198,4.48,37.0,15.0,128.0,,,IgbiNo00,1,30,MIA,CB,20,2022.0,0,0,0,4.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,,IgbiNo00
Brian Cole II,6-2,213,4.52,,,,,,ColeBr01,7,249,MIN,S,23,,0,0,0,,,,,,,,,,,,,,,,,,ColeBr01
Reggie Robinson II,6-1,205,4.44,36.0,22.0,132.0,7.09,4.18,RobiRe00,4,123,DAL,CB,23,2020.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,RobiRe00
Henry Ruggs III,5-11,188,4.27,42.0,,131.0,,,RuggHe00,1,12,LVR,WR,21,2021.0,0,0,1,8.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,12.0,65.0,0.0,50.0,921.0,4.0,,,,RuggHe00
Keith Ismael,6-3,309,5.34,32.0,,108.0,8.14,4.65,IsmaKe00,5,156,WAS,C,22,2021.0,0,0,0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,IsmaKe00
Austin Jackson,6-5,322,5.07,31.0,27.0,115.0,7.95,,JackAu00,1,18,MIA,T,21,2022.0,0,0,2,14.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,JackAu00
