Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Kyler Murray,QB,0,2,Oklahoma,MurrKy00
1,2,Nick Bosa,DE,1,3,Ohio St.,BosaNi00
1,3,Quinnen Williams,DT,1,1,Alabama,WillQu00
1,4,Clelin Ferrell,DE,0,0,Clemson,FerrCl00
1,5,Devin White,LB,0,1,LSU,WhitDe02
1,6,Daniel Jones,QB,0,0,Duke,JoneDa05
1,7,Josh Allen,LB,0,1,Kentucky,AlleJo03
1,8,T.J. Hockenson,TE,0,2,Iowa,HockTJ00
1,9,Ed Oliver,DT,0,0,Houston,OlivEd00
1,10,Devin Bush Jr.,LB,0,0,Michigan,BushDe01
1,11,Jonah Williams,G,0,0,Alabama,WillJo10
1,12,Rashan Gary,LB,0,0,Michigan,GaryRa00
1,13,Christian Wilkins,DT,0,0,Clemson,WilkCh00
1,14,Chris Lindstrom,G,0,1,Boston Col.,LindCh00
1,15,Dwayne Haskins,QB,0,0,Ohio St.,HaskDw00
1,16,Brian Burns,DE,0,2,Florida St.,BurnBr00
1,17,Dexter Lawrence,DT,0,1,Clemson,LawrDe03
1,18,Garrett Bradbury,C,0,0,North Carolina St.,BradGa00
1,19,Jeffery Simmons,DT,0,2,Mississippi St.,SimmJe01
1,20,Noah Fant,TE,0,0,Iowa,FantNo00
1,21,Darnell Savage Jr.,S,0,0,Maryland,SavaDa00
1,22,Andre Dillard,T,0,0,Washington St.,DillAn00
1,23,Tytus Howard,T,0,0,Alabama St.,HowaTy00
1,24,Josh Jacobs,RB,1,2,Alabama,JacoJo01
1,25,Marquise Brown,WR,0,0,Oklahoma,BrowMa04
1,26,Montez Sweat,DE,0,0,Mississippi St.,SweaMo00
1,27,Johnathan Abram,S,0,0,Mississippi St.,AbraJo01
1,28,Jerry Tillery,DT,0,0,Notre Dame,TillJe00
1,29,L.J. Collier,DE,0,0,TCU,CollLJ00
1,30,Deandre Baker,CB,0,0,Georgia,BakeDe00
1,31,Kaleb McGary,T,0,0,Washington,McGaKa00
1,32,N'Keal Harry,WR,0,0,Arizona St.,HarrNK00
2,33,Byron Murphy,CB,0,0,Washington,MurpBy00
2,34,Rock Ya-Sin,CB,0,0,Temple,Ya-SRo00
2,35,Jawaan Taylor,T,0,0,Florida,TaylJa02
2,36,Deebo Samuel,WR,1,1,South Carolina,SamuDe00
2,37,Greg Little,T,0,0,Mississippi,LittGr01
2,38,Cody Ford,T,0,0,Oklahoma,FordCo00
2,39,Sean Murphy-Bunting,CB,0,0,Central Michigan,BuntSe00
2,40,Trayvon Mullen,CB,0,0,Clemson,MullTr00
2,41,Dalton Risner,T,0,0,Kansas St.,RisnDa00
2,42,Drew Lock,QB,0,0,Missouri,LockDr00
2,43,Jahlani Tavai,LB,0,0,Hawaii,TavaJa00
2,44,Elgton Jenkins,C,0,2,Mississippi St.,JenkEl00
2,45,Joejuan Williams,CB,0,0,Vanderbilt,WillJo13
2,46,Greedy Williams,CB,0,0,LSU,WillGr00
2,47,Marquise Blair,S,0,0,Utah,BlaiMa01
2,48,Erik McCoy,C,0,0,Texas A&M,McCoEr01
2,49,Ben Banogu,LB,0,0,TCU,BanoBe00
2,50,Irv Smith Jr.,TE,0,0,Alabama,SmitIr01
2,51,A.J. Brown,WR,0,2,Mississippi,BrowAJ00
2,52,Drew Sample,TE,0,0,Washington,SampDr00
2,53,Miles Sanders,RB,0,1,Penn St.,SandMi01
2,54,Lonnie Johnson Jr.,CB,0,0,Kentucky,JohnLo01
2,55,Max Scharping,T,0,0,Northern Illinois,SchaMa01
2,56,Mecole Hardman,WR,0,1,Georgia,HardMe00
2,57,JJ Arcega-Whiteside,WR,0,0,Stanford,ArceJJ00
2,58,Trysten Hill,DT,0,0,Central Florida,HillTr00
2,59,Parris Campbell,WR,0,0,Ohio St.,CampPa00
2,60,Nasir Adderley,S,0,0,Delaware,AddeNa00
2,61,Taylor Rapp,S,0,0,Washington,RappTa00
2,62,Andy Isabella,WR,0,0,Massachusetts,IsabAn00
2,63,Juan Thornhill,S,0,0,Virginia,ThorJu00
2,64,D.K. Metcalf,WR,0,1,Mississippi,MetcDK00
3,65,Zach Allen,DE,0,0,Boston Col.,AlleZa01
3,66,Diontae Johnson,WR,0,1,Toledo,JohnDi01
3,67,Jalen Hurd,WR,0,0,Baylor,HurdJa00
3,68,Jachai Polite,LB,0,0,Florida,PoliJa00
3,69,Josh Oliver,TE,0,0,San Jose St.,OlivJo00
3,70,Darrell Henderson,RB,0,0,Memphis,HendDa00
3,71,Dre'Mont Jones,DT,0,0,Ohio St.,JoneDr00
3,72,Germaine Pratt,LB,0,0,North Carolina St.,PratGe00
3,73,David Montgomery,RB,0,0,Iowa St.,MontDa01
3,74,Devin Singletary,RB,0,0,Florida Atlantic,SingDe00
3,75,Jace Sternberger,TE,0,0,Texas A&M,SterJa00
3,76,Terry McLaurin,WR,0,1,Ohio St.,McLaTe00
