Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Travon Walker,DE,0,0,Georgia,WalkTr03
1,2,Aidan Hutchinson,DE,0,0,Michigan,HutcAi00
1,3,Derek Stingley Jr.,CB,0,0,LSU,StinDe00
1,4,Sauce Gardner,CB,1,1,Cincinnati,GardSa00
1,5,Kayvon Thibodeaux,DE,0,0,Oregon,ThibKa00
1,6,Ikem Ekwonu,T,0,0,North Carolina St.,EkwoIk00
1,7,Evan Neal,OL,0,0,Alabama,NealEv00
1,8,Drake London,WR,0,0,USC,LondDr00
1,9,Charles Cross,OL,0,0,Mississippi St.,CrosCh00
1,10,Garrett Wilson,WR,0,0,Ohio St.,WilsGa00
1,11,Chris Olave,WR,0,0,Ohio St.,OlavCh00
1,12,Jameson Williams,WR,0,0,Alabama,WillJa11
1,13,Jordan Davis,DT,0,0,Georgia,DaviJo03
1,14,Kyle Hamilton,S,0,0,Notre Dame,HamiKy00
1,15,Kenyon Green,OL,0,0,Texas A&M,GreeKe03
1,16,Jahan Dotson,WR,0,0,Penn St.,DotsJa00
1,17,Zion Johnson,G,0,0,Boston Col.,JohnZi00
1,18,Treylon Burks,WR,0,0,Arkansas,BurkTr00
1,19,Trevor Penning,T,0,0,Northern Iowa,PennTr00
1,20,Kenny Pickett,QB,0,0,Pittsburgh,PickKe00
1,21,Trent McDuffie,CB,0,0,Washington,McDuTr00
1,22,Quay Walker,LB,0,0,Georgia,WalkQu00
1,23,Kaiir Elam,CB,0,0,Florida,ElamKa00
1,24,Tyler Smith,OL,0,0,Tulsa,SmitTy02
1,25,Tyler Linderbaum,OL,0,0,Iowa,LindTy00
1,26,Jermaine Johnson II,LB,0,0,Florida St.,JohnJe07
1,27,Devin Lloyd,LB,0,0,Utah,LloyDe00
1,28,Devonte Wyatt,DT,0,0,Georgia,WyatDe00
1,29,Cole Strange,OL,0,0,Chattanooga,StraCo01
1,30,George Karlaftis III,DE,0,0,Purdue,KarlGe00
1,31,Daxton Hill,DB,0,0,Michigan,HillDa04
1,32,Lewis Cine,DB,0,0,Georgia,CineLe00
2,33,Logan Hall,DE,0,0,Houston,HallLo00
2,34,Christian Watson,WR,0,0,North Dakota St.,WatsCh00
2,35,Roger McCreary,CB,0,0,Auburn,McCrRo01
2,36,Breece Hall,RB,0,0,Iowa St.,HallBr03
2,37,Jalen Pitre,S,0,0,Baylor,PitrJa00
2,38,Arnold Ebiketie,DE,0,0,Penn St.,EbikAr00
2,39,Kyler Gordon,CB,0,0,Washington,GordKy00
2,40,Boye Mafe,DE,0,0,Minnesota,MafeBo00
2,41,Kenneth Walker III,RB,0,0,Michigan St.,WalkKe00
2,42,Andrew Booth,CB,0,0,Clemson,BootAn00
2,43,Wan'Dale Robinson,WR,0,0,Kentucky,RobiWa01
2,44,John Metchie,WR,0,0,Alabama,MetcJo00
2,45,David Ojabo,LB,0,0,Michigan,OjabDa00
2,46,Josh Paschal,DE,0,0,Kentucky,PascJo00
2,47,Phidarian Mathis,DT,0,0,Alabama,MathPh00
2,48,Jaquan Brisker,S,0,0,Penn St.,BrisJa01
2,49,Alontae Taylor,DB,0,0,Tennessee,TaylAl01
2,50,Tyquan Thornton,WR,0,0,Baylor,ThorTy00
2,51,Cam Jurgens,OL,0,0,Nebraska,JurgCa01
2,52,George Pickens,WR,0,0,Georgia,PickGe00
2,53,Alec Pierce,WR,0,0,Cincinnati,PierAl00
2,54,Skyy Moore,WR,0,0,Western Michigan,MoorSk01
2,55,Trey McBride,TE,0,0,Colorado St.,McBrTr01
2,56,Sam Williams,DE,0,0,Mississippi,WillSa00
2,57,Luke Goedeke,OL,0,0,Central Michigan,GoedLu00
2,58,Troy Andersen,LB,0,0,Montana St.,AndeTr00
2,59,Ed Ingram,G,0,0,LSU,IngrEd00
2,60,Cam Taylor-Britt,CB,0,0,Nebraska,TaylCa01
2,61,Drake Jackson,OLB,0,0,USC,JackDr01
2,62,Bryan Cook,S,0,0,Cincinnati,CookBr02
2,63,James Cook,RB,0,0,Georgia,CookJa01
2,64,Nik Bonitto,OLB,0,0,Oklahoma,BoniNi00
3,65,Luke Fortner,G,0,0,Kentucky,FortLu01
3,66,Brian Asamoah,LB,0,0,Oklahoma,AsamBr00
3,67,Joshua Ezeudu,OL,0,0,North Carolina,EzeuJo00
3,68,Martin Emerson,CB,0,0,Mississippi St.,EmerMa00
3,69,Nicholas Petit-Frere,T,0,0,Ohio St.,PetiNi00
3,70,Chad Muma,LB,0,0,Wyoming,MumaCh00
3,71,Velus Jones Jr.,WR,0,0,Tennessee,JoneVe00
