Player,Drafted (tm/rnd/yr),Player-additional
Oday Aboushi,New York Jets / 5th / 141st pick / 2013,AbouOd00
Johnny Adams,,AdamJo02
Robert Alford,Atlanta Falcons / 2nd / 60th pick / 2013,AlfoRo00
Keenan Allen,San Diego Chargers / 3rd / 76th pick / 2013,AlleKe00
Ryan Allen,,AlleRy01
Zach Allen,,AlleZa00
Kiko Alonso,Buffalo Bills / 2nd / 46th pick / 2013,AlonKi00
David Amerson,Washington Redskins / 2nd / 51st pick / 2013,AmerDa00
C.J. Anderson,,AndeC.00
Ziggy Ansah,Detroit Lions / 1st / 5th pick / 2013,AnsaEz00
Marc Anthony,Baltimore Ravens / 7th / 247th pick / 2013,AnthMa00
Terron Armstead,New Orleans Saints / 3rd / 75th pick / 2013,ArmsTe00
Tavon Austin,St. Louis Rams / 1st / 8th pick / 2013,AustTa00
Jeff Baca,Minnesota Vikings / 6th / 196th pick / 2013,BacaJe00
Alvin Bailey,,BailAl01
Stedman Bailey,St. Louis Rams / 3rd / 92nd pick / 2013,BailSt01
David Bakhtiari,Green Bay Packers / 4th / 109th pick / 2013,BakhDa00
Montee Ball,Denver Broncos / 2nd / 58th pick / 2013,BallMo00
Johnthan Banks,Tampa Bay Buccaneers / 2nd / 43rd pick / 2013,BankJo00
Chris Barker,,BarkCh00
Matt Barkley,Philadelphia Eagles / 4th / 98th pick / 2013,BarkMa00
Kenjon Barner,Carolina Panthers / 6th / 182nd pick / 2013,BarnKe00
T.J. Barnes,,BarnT.00
Sam Barrington,Green Bay Packers / 7th / 232nd pick / 2013,BarrSa00
David Bass,Oakland Raiders / 7th / 233rd pick / 2013,BassDa00
Steve Beauharnais,New England Patriots / 7th / 235th pick / 2013,BeauSt00
Nick Becton,,BectNi00
Le'Veon Bell,Pittsburgh Steelers / 2nd / 48th pick / 2013,BellLe00
Giovani Bernard,Cincinnati Bengals / 2nd / 37th pick / 2013,BernGi00
Tommy Bohanon,New York Jets / 7th / 215th pick / 2013,BohaTo00
