Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Jared Abbrederis,6-1,195,4.50,30.5,4,117,6.80,4.08,AbbrJa00
Davante Adams,6-1,212,4.56,39.5,14,123,6.82,4.30,AdamDa01
Mo Alexander,6-1,220,4.50,38.0,,123,7.05,4.51,AlexMa00
Ricardo Allen,5-9,187,4.61,35.5,13,117,,4.15,AlleRi00
Jace Amaro,6-5,265,4.74,33.0,28,118,7.42,4.30,AmarJa00
Antonio Andrews,5-10,225,4.82,29.5,20,106,7.24,4.49,AndrAn00
Dri Archer,5-8,173,4.26,38.0,20,122,6.86,4.06,ArchDr00
Matt Armstrong,6-2,302,5.18,,,,,,-9999
George Atkinson,6-1,218,4.48,38.0,19,121,7.07,4.46,AtkiGe01
Jeremiah Attaochu,6-3,252,,,,,,,AttaJe00
Dion Bailey,6-0,201,4.66,34.0,,113,6.97,4.15,BailDi00
Anthony Barr,6-5,255,4.66,34.5,15,119,6.82,4.19,BarrAn00
Lamin Barrow,6-1,237,4.64,35.0,22,123,7.24,4.35,BarrLa00
Deion Belue,5-11,182,4.48,,11,,,,BeluDe00
Kelvin Benjamin,6-5,240,4.61,32.5,13,119,7.33,4.39,BenjKe00
Bene' Benwikere,5-11,195,4.59,40.5,10,122,6.94,4.38,BenwBe00
Nat Berhe,5-10,193,4.71,35.5,15,117,7.08,4.22,BerhNa00
Kapri Bibbs,5-9,212,4.67,29.0,24,106,,,BibbKa00
Joel Bitonio,6-4,302,4.92,32.0,22,114,7.37,4.44,BitoJo00
Rob Blanchflower,6-4,256,4.82,,,,,,BlanRo01
Alfred Blue,6-2,223,4.63,32.0,13,121,7.15,4.50,BlueAl00
Russell Bodine,6-3,310,5.18,29.0,42,109,8.26,4.66,BodiRu00
Conor Boffeli,6-4,298,5.30,25.0,21,101,7.44,4.61,BoffCo00
Chris Borland,5-11,248,4.83,31.0,27,114,7.18,4.27,BorlCh00
Blake Bortles,6-5,232,4.93,32.5,,115,7.08,4.21,BortBl00
Tre Boston,6-0,204,4.58,35.0,18,116,7.04,4.31,BostTr00
Chris Boswell,6-2,185,4.93,,,,,,BoswCh00
Chris Boyd,6-4,206,4.73,,12,,,,BoydCh00
Tajh Boyd,6-1,222,4.84,30.5,,106,7.33,4.23,BoydTa00
Carl Bradford,6-1,250,4.76,37.5,23,122,7.25,4.30,BradCa01
Bashaud Breeland,5-11,197,4.62,34.5,11,123,7.04,4.33,BreeBa00
Teddy Bridgewater,6-2,214,,30.0,,113,7.17,4.20,BridTe00
Justin Britt,6-6,325,5.19,27.5,23,100,8.14,4.69,BritJu00
Jay Bromley,6-3,306,5.06,33.5,26,106,7.92,4.78,BromJa00
Terrence Brooks,5-11,198,4.42,38.0,10,119,7.35,,BrooTe00
Jonathan Brown,6-0,238,5.03,31.0,16,108,7.77,4.56,BrowJo01
John Brown,5-10,179,4.34,36.5,,119,6.91,4.12,BrowJo02
Corey Brown,5-11,178,4.51,33.0,,116,7.16,4.22,BrowPh00
Preston Brown,6-1,251,4.86,33.0,23,116,6.98,4.26,BrowPr00
Martavis Bryant,6-4,211,4.42,39.0,16,124,7.18,4.15,BryaMa00
Deone Bucannon,6-1,211,4.49,36.5,19,125,6.96,4.26,BucaDe00
Max Bullough,6-3,249,4.78,31.0,30,112,7.22,4.30,BullMa00
Isaiah Burse,5-10,188,4.58,31.0,16,115,6.74,3.94,BursIs01
Trey Burton,6-2,224,4.62,30.0,,112,7.14,4.32,BurtTr01
Michael Campanaro,5-9,192,4.46,39.0,20,122,6.77,4.01,CampMi02
Ka'Deem Carey,5-9,207,4.69,32.5,19,115,7.08,4.38,CareKa00
Derek Carr,6-2,214,4.69,34.5,,110,,4.20,CarrDe02
Ryan Carrethers,6-1,337,5.47,26.0,32,88,7.89,4.60,CarrRy00
Travis Carrie,6-0,206,4.49,,17,,,,CarrTr00
Steven Clark,6-5,231,5.18,,,,,,ClarSt00
Will Clarke,6-6,271,4.77,32.0,22,112,7.26,4.57,ClarWi00
Ha Ha Clinton-Dix,6-1,208,4.58,33.0,11,119,7.16,4.16,ClinHa00
Jadeveon Clowney,6-5,266,4.53,37.5,21,124,7.27,4.43,ClowJa00
Ross Cockrell,6-0,191,4.56,36.5,10,122,7.28,4.32,CockRo00
Brandon Coleman,6-6,225,4.56,32.5,21,,7.33,4.51,ColeBr00
Deandre Coleman,6-5,314,5.12,,24,,,,ColeDe01
Kain Colter,5-10,198,4.71,,,,,,ColtKa00
Aaron Colvin,5-11,177,4.51,,,,,,ColvAa00
Brandin Cooks,5-10,189,4.33,36.0,16,120,6.76,3.81,CookBr00
Damian Copeland,5-11,184,4.50,40.0,12,120,6.53,3.90,CopeDa00
J.C. Copeland,5-11,271,4.95,28.5,23,111,7.68,4.58,CopeJ.00
Tim Cornett,6-0,209,4.48,34.5,,125,7.01,4.26,CornTi00
Scott Crichton,6-3,273,4.84,31.5,24,108,7.19,4.29,CricSc00
Isaiah Crowell,5-11,224,4.57,38.0,23,117,,,CrowIs00
Chris Davis,5-10,202,4.54,,15,,,,DaviCh05
Mike Davis,6-0,197,4.52,,10,,,,DaviMi00
A.D. Denham,6-4,235,4.69,32.5,,,,,-9999
Darqueze Dennard,5-11,199,4.52,,15,,,,DennDa00
Pierre Desir,6-1,198,4.59,35.0,11,133,6.86,4.30,DesiPi00
Ahmad Dixon,6-0,212,4.64,32.0,14,111,7.55,4.50,DixoAh00
Brandon Dixon,5-11,203,4.41,32.5,17,117,7.15,4.27,DixoBr00
Aaron Donald,6-1,285,4.68,32.0,35,116,7.11,4.39,DonaAa00
Jonathan Dowling,6-3,190,4.52,33.5,8,118,7.04,4.24,DowlJo00
Dakota Dozier,6-4,313,5.42,24.0,23,101,8.14,4.89,DoziDa00
Joe Don Duncan,6-3,268,4.79,,35,,,,-9999
Kony Ealy,6-4,273,4.92,31.0,22,114,6.83,4.45,EalyKo00
Dominique Easley,6-2,288,4.93,,26,,,,EaslDo00
Eric Ebron,6-4,250,4.60,32.0,24,120,,,EbroEr00
Kasim Edebali,6-2,253,4.79,34.5,19,115,7.20,4.35,EdebKa00
Kadeem Edwards,6-4,313,5.25,27.0,26,99,7.95,4.82,EdwaKa00
Bruce Ellington,5-9,197,4.45,39.5,15,120,6.69,3.95,ElliBr00
Justin Ellis,6-1,334,5.27,28.0,25,92,7.81,4.75,ElliJu01
I.K. Enemkpali,6-1,261,4.86,34.0,28,112,7.67,4.65,EnemIK00
Quincy Enunwa,6-2,225,4.41,,19,,,,EnunQu00
Mike Evans,6-5,231,4.53,37.0,12,,7.08,4.26,EvanMi00
Shaquelle Evans,6-1,213,4.51,34.5,13,122,7.07,4.21,EvanSh00
Antone Exum,6-0,213,4.59,35.0,17,117,7.05,4.13,ExumAn00
David Fales,6-2,212,4.99,28.0,,103,7.55,4.50,FaleDa00
Matt Feiler,6-6,330,5.37,26.5,36,103,8.13,4.86,FeilMa00
Anthony Fera,6-1,211,4.85,,,,,,-9999
Ego Ferguson,6-3,315,4.98,,24,,,,FergEg00
C.J. Fiedorowicz,6-5,265,4.76,31.5,25,116,7.10,4.26,FiedC.00
Tim Flanders,5-9,207,4.75,32.0,20,113,7.07,,-9999
Cameron Fleming,6-5,323,5.28,23.5,26,97,8.24,5.00,FlemCa00
David Fluellen,5-11,224,4.72,36.5,,120,6.90,,FlueDa00
Dee Ford,6-2,252,,,,,,,FordDe00
Khairi Fortt,6-2,248,4.70,36.0,30,120,,,FortKh00
Bennie Fowler,6-1,217,4.52,36.0,,126,7.06,4.18,FowlBe00
Austin Franklin,5-11,189,4.56,36.0,7,124,7.07,4.33,FranAu00
Devonta Freeman,5-8,206,4.58,31.5,,118,7.11,4.26,FreeDe00
Kyle Fuller,6-0,190,4.49,38.5,12,128,6.90,4.19,FullKy00
Zach Fulton,6-5,316,5.16,24.5,25,98,7.87,5.16,FultZa00
Tyler Gaffney,5-11,220,4.49,36.5,,116,6.78,4.18,GaffTy00
E.J. Gaines,5-10,190,4.44,,15,,,,GainE.00
Phillip Gaines,6-0,193,4.38,36.5,11,122,6.62,4.04,GainPh00
Jeremy Gallon,5-7,185,4.49,,15,,,,GallJe00
Jimmy Garoppolo,6-2,226,4.97,30.5,,110,7.04,4.26,GaroJi00
James Gayle,6-4,259,4.70,37.0,26,122,7.19,4.27,GaylJa00
Jeremiah George,5-11,234,4.91,33.0,28,116,,,GeorJe01
Justin Gilbert,6-0,202,4.37,35.5,20,126,6.92,,GilbJu00
Crockett Gillmore,6-6,260,4.89,33.5,,120,7.42,4.44,GillCr00
Demetri Goodson,5-11,194,4.52,37.0,11,123,6.80,4.34,GoodDe00
Ryan Grant,6-0,199,4.64,35.5,8,119,6.68,4.11,GranRy01
Marion Grice,6-0,208,4.67,,,,,,GricMa00
Xavier Grimble,6-4,257,4.76,26.5,,113,,,GrimXa00
Ryan Groy,6-5,316,5.19,26.5,26,108,7.49,4.47,GroyRy00
Ra'Shede Hageman,6-6,310,4.92,35.5,32,114,7.87,4.50,HageRa00
Andre Hal,5-10,188,4.50,35.5,15,119,7.14,4.27,HalxAn00
Jon Halapio,6-3,323,5.34,21.5,,100,8.26,4.83,HalaJo00
Victor Hampton,5-9,197,4.69,33.5,20,118,7.01,4.20,HampVi00
Jonotthan Harrison,6-3,304,5.15,27.0,27,113,7.97,4.86,HarrJo03
Taylor Hart,6-6,281,4.92,,21,,,,HartTa00
Matt Hazel,6-1,198,4.50,36.5,15,118,7.08,4.20,HazeMa01
Marcus Heit,6-3,258,4.91,29.0,,115,,,-9999
Seantrel Henderson,6-7,331,5.04,24.0,,95,8.15,4.77,HendSe00
Robert Herron,5-9,193,4.48,35.5,18,125,6.84,4.27,HerrRo00
Ryan Hewitt,6-4,246,4.87,33.0,,109,7.04,4.35,HewiRy00
Jeremy Hill,6-1,233,4.56,29.0,20,113,,,HillJe01
Anthony Hitchens,6-0,240,4.74,31.5,23,116,7.15,4.45,HitcAn00
Zach Hocker,6-0,189,4.90,,,,,,HockZa00
Cody Hoffman,6-4,223,4.65,27.5,13,108,6.89,4.20,HoffCo00
Tom Hornsey,6-3,221,5.05,,,,,,HornTo01
Adrian Hubbard,6-6,257,4.69,38.5,,117,,,HubbAd00
Josh Huff,5-11,206,4.51,35.5,14,116,,,HuffJo00
Marqueston Huff,5-11,196,4.49,35.5,15,118,7.26,4.19,HuffMa00
Allen Hurns,6-1,198,4.55,31.0,14,120,7.23,4.50,HurnAl01
James Hurst,6-5,296,5.59,,,,,,HursJa00
Carlos Hyde,6-0,230,4.62,34.5,19,114,,,HydeCa00
Kerry Hyder,6-2,290,5.10,29.5,20,108,7.23,4.33,HydeKe01
Louis Nix III,6-2,331,5.32,25.5,,97,8.29,4.94,NixILo00
Gabe Ikard,6-4,304,5.13,26.0,22,103,7.30,4.37,IkarGa00
Andrew Jackson,6-1,254,4.90,,,,,,JackAn02
Bennett Jackson,6-0,195,4.51,38.0,13,128,6.75,4.00,JackBe00
Gabe Jackson,6-3,336,5.34,29.0,30,108,8.25,4.78,JackGa00
Nic Jacobs,6-5,269,4.89,,15,,,,JacoNi00
Ja'Wuan James,6-6,311,5.26,29.0,22,103,7.42,4.56,JameJa01
Kendall James,5-10,180,4.44,39.0,9,,6.81,4.19,JameKe00
Jeff Janis,6-3,219,4.42,37.5,20,123,6.64,3.98,JaniJe00
Stanley Jean-Baptiste,6-3,218,4.61,41.5,13,128,,4.33,JeanSt00
Jackson Jeffcoat,6-3,247,4.63,36.0,18,123,6.97,4.18,JeffJa00
Marcel Jensen,6-6,259,4.85,35.0,24,115,7.38,4.60,JensMa01
Timmy Jernigan,6-2,299,5.06,29.5,27,102,,4.83,JernTi00
