Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Baker Mayfield,QB,0,0,Oklahoma,MayfBa00
1,2,Saquon Barkley,RB,0,2,Penn St.,BarkSa00
1,3,Sam Darnold,QB,0,0,USC,DarnSa00
1,4,Denzel Ward,CB,0,2,Ohio St.,WardDe02
1,5,Bradley Chubb,DE,0,2,North Carolina St.,ChubBr00
1,6,Quenton Nelson,G,3,5,Notre Dame,NelsQu00
1,7,Josh Allen,QB,0,3,Wyoming,AlleJo02
1,8,Roquan Smith,ILB,1,1,Georgia,SmitRo07
1,9,Mike McGlinchey,T,0,0,Notre Dame,McGlMi00
1,10,Josh Rosen,QB,0,0,UCLA,RoseJo01
1,11,Minkah Fitzpatrick,S,3,3,Alabama,FitzMi00
1,12,Vita Vea,DT,0,1,Washington,VeaxVi00
1,13,Daron Payne,DT,0,1,Alabama,PaynDa00
1,14,Marcus Davenport,DE,0,0,Texas-San Antonio,DaveMa00
1,15,Kolton Miller,T,0,0,UCLA,MillKo00
1,16,Tremaine Edmunds,ILB,0,2,Virginia Tech,EdmuTr01
1,17,Derwin James,S,1,3,Florida St.,JameDe00
1,18,Jaire Alexander,CB,0,2,Louisville,AlexJa00
1,19,Leighton Vander Esch,OLB,0,1,Boise St.,VandLe00
1,20,Frank Ragnow,C,0,2,Arkansas,RagnFr00
1,21,Billy Price,C,0,0,Ohio St.,PricBi01
1,22,Rashaan Evans,ILB,0,0,Alabama,EvanRa01
1,23,Isaiah Wynn,T,0,0,Georgia,WynnIs00
1,24,D.J. Moore,WR,0,0,Maryland,MoorD.00
1,25,Hayden Hurst,TE,0,0,South Carolina,HursHa00
1,26,Calvin Ridley,WR,0,0,Alabama,RidlCa00
1,27,Rashaad Penny,RB,0,0,San Diego St.,PennRa00
1,28,Terrell Edmunds,S,0,0,Virginia Tech,EdmuTe00
1,29,Taven Bryan,DT,0,0,Florida,BryaTa00
1,30,Mike Hughes,CB,0,0,Central Florida,HughMi00
1,31,Sony Michel,RB,0,0,Georgia,MichSo00
1,32,Lamar Jackson,QB,1,2,Louisville,JackLa00
2,33,Austin Corbett,C,0,0,Nevada,CorbAu00
2,34,Will Hernandez,G,0,0,Texas-El Paso,HernWi00
2,35,Nick Chubb,RB,0,4,Georgia,ChubNi00
2,36,Shaquille Leonard,LB,3,3,South Carolina St.,LeonDa00
2,37,Braden Smith,G,0,0,Auburn,SmitBr06
2,38,Ronald Jones II,RB,0,0,USC,JoneRo01
2,39,James Daniels,C,0,0,Iowa,DaniJa01
2,40,Courtland Sutton,WR,0,1,SMU,SuttCo00
2,41,Harold Landry,OLB,0,1,Boston Col.,LandHa00
2,42,Mike Gesicki,TE,0,0,Penn St.,GesiMi00
2,43,Kerryon Johnson,RB,0,0,Auburn,JohnKe06
2,44,Dante Pettis,WR,0,0,Washington,PettDa00
2,45,Josh Jackson,CB,0,0,Iowa,JackJo01
2,46,Breeland Speaks,DE,0,0,Mississippi,SpeaBr00
