Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Mehdi Abdesmad,6-6,284,5.10,29.5,25,108,7.55,4.62,AbdeMe00
Vernon Adams,5-11,200,4.83,29.5,,114,6.82,4.20,-9999
Jerell Adams,6-5,247,4.64,32.5,,117,7.05,4.31,AdamJe01
Bralon Addison,5-9,197,4.66,34.5,13,116,6.95,4.14,AddiBr01
Roberto Aguayo,6-0,207,4.96,,,,,,AguaRo00
Dominique Alexander,6-0,232,4.64,28.5,17,104,,,AlexDo01
Mackensie Alexander,5-10,190,4.43,,11,,,,AlexMa01
Vadal Alexander,6-5,326,5.57,24.0,25,95,8.04,4.90,AlexVa00
Brandon Allen,6-1,217,4.84,28.0,,110,7.06,4.33,AlleBr00
Jack Allen,6-1,294,5.29,26.5,23,101,7.90,4.73,AlleJa03
Geronimo Allison,6-3,196,4.67,33.0,,127,7.40,4.28,AlliGe01
Stephen Anderson,6-2,230,4.59,38.0,16,119,,,AndeSt01
Eli Apple,6-1,199,4.40,,13,,,,ApplEl00
Demarcus Ayers,5-9,182,4.72,33.0,,123,,,AyerDe00
Sterling Bailey,6-4,285,5.23,30.0,20,111,7.46,4.73,-9999
Peyton Barber,5-10,228,4.64,32.5,20,111,7.00,4.21,BarbPe01
Jimmy Bean,6-5,264,4.87,,20,,,,BeanJi01
Willie Beavers,6-5,321,5.28,25.5,20,103,7.96,4.71,BeavWi00
Vonn Bell,5-11,199,4.52,,16,,,,BellVo00
Caleb Benenoch,6-5,311,4.98,28.0,,104,8.15,5.11,BeneCa00
Andrew Billings,6-1,311,5.05,27.5,31,113,8.05,4.82,BillAn00
Ronald Blair,6-2,284,5.15,30.0,32,113,7.95,4.53,BlaiRo00
Austin Blythe,6-2,298,5.36,27.5,29,99,7.52,4.53,BlytAu00
Briean Boddy-Calhoun,5-9,193,4.47,35.0,10,123,7.16,4.22,BoddBr01
Evan Boehm,6-2,302,5.33,28.5,24,96,7.52,4.69,BoehEv00
Devante Bond,6-1,235,4.70,37.5,21,121,7.07,4.36,BondDe00
Devontae Booker,5-11,219,4.56,,22,,,,BookDe00
Joey Bosa,6-5,269,4.86,32.0,24,120,6.89,4.21,BosaJo00
Tyler Boyd,6-1,197,4.58,34.0,11,119,6.90,4.35,BoydTy00
Trevone Boykin,6-0,212,4.77,32.0,,110,,4.40,BoykTr00
James Bradberry,6-1,211,4.50,36.0,16,124,6.91,4.21,BradJa00
Ben Braunecker,6-3,250,4.73,35.5,20,121,6.90,4.20,BrauBe00
Jake Brendel,6-3,303,5.01,28.0,25,108,7.31,4.27,BrenJa01
Jacoby Brissett,6-4,231,4.94,31.0,,113,7.17,4.53,BrisJa00
Kentrell Brothers,6-0,245,4.89,28.5,19,110,6.99,4.11,BrotKe00
Anthony Brown,5-11,192,4.33,35.0,19,115,7.03,4.19,BrowAn02
Beniquez Brown,6-1,229,4.77,31.0,18,110,7.07,4.28,BrowBe00
Chris Brown,6-2,194,4.48,,,,,,BrowCh07
Lamarcus Brutus,6-0,206,4.76,33.0,14,114,7.08,4.33,BrutLa00
Deforest Buckner,6-7,291,5.05,32.0,,116,7.51,4.47,BuckDe00
Jonathan Bullard,6-3,285,4.93,32.0,23,116,7.31,4.56,BullJo00
Aaron Burbridge,6-0,206,4.56,30.5,20,115,7.22,4.31,BurbAa00
Artie Burns,6-0,193,4.46,31.5,,,,,BurnAr00
Juston Burris,6-0,212,4.53,36.5,19,122,7.10,4.40,BurrJu00
Deon Bush,6-0,199,4.64,36.0,17,123,,,BushDe00
Vernon Butler,6-4,323,5.33,29.5,26,104,7.82,4.76,ButlVe00
Devon Cajuste,6-4,234,4.62,36.0,12,123,6.49,4.20,CajuDe01
Shilique Calhoun,6-4,251,4.82,35.0,23,115,6.97,4.25,CalhSh00
Taveze Calhoun,6-0,192,4.58,33.5,14,,,,CalhTa01
De'Vondre Campbell,6-4,232,4.58,34.0,16,116,,,CampDe00
Maurice Canady,6-1,193,4.49,38.0,16,124,7.03,4.09,CanaMa00
Leonte Carroo,6-0,211,4.50,35.5,14,120,,,CarrLe00
Tra Carson,5-11,227,4.63,,19,,,,CarsTr01
Tevin Carter,6-1,218,4.48,,19,,,,CartTe00
Jeremy Cash,6-0,212,4.56,,,,,,CashJe00
Joseph Cheek,6-6,295,5.27,,20,,,,-9999
Kenny Clark,6-3,314,5.06,28.5,29,102,,4.62,ClarKe01
Le'Raven Clark,6-5,316,5.16,,18,,,,ClarLe01
Corey Coleman,5-11,194,4.42,40.5,17,129,,,ColeCo00
Shon Coleman,6-5,307,5.18,,22,,,,ColeSh00
Alex Collins,5-10,217,4.59,28.5,18,113,,,CollAl00
Maliek Collins,6-2,311,5.03,29.5,25,109,7.53,4.52,CollMa00
Jack Conklin,6-6,308,5.00,30.0,25,103,7.63,4.57,ConkJa00
Connor Cook,6-4,217,4.79,33.0,,113,7.21,4.28,CookCo00
Fahn Cooper,6-4,303,5.17,25.0,19,102,7.85,4.89,CoopFa00
Pharoh Cooper,5-11,203,4.52,31.0,15,115,,,CoopPh00
Marshaun Coprich,5-8,207,4.47,34.0,17,112,7.26,4.58,-9999
Cody Core,6-3,205,4.47,31.5,14,119,,,CoreCo00
Kamalei Correa,6-3,243,4.69,33.0,21,108,,,CorrKa00
James Cowser,6-3,248,4.82,31.5,21,111,6.80,4.31,CowsJa00
Brad Craddock,6-0,186,4.88,,,,,,CradBr00
Su'A Cravens,6-1,226,4.58,27.0,16,114,,,CravSu00
Ken Crawley,6-0,187,4.43,36.5,,119,,,CrawKe02
Joe Dahl,6-4,304,5.18,31.0,28,109,7.64,4.77,DahlJo00
Steven Daniels,5-11,243,4.86,32.0,16,112,7.33,4.54,DaniSt00
Sean Davis,6-1,201,4.46,37.5,21,126,6.64,3.97,DaviSe00
Trevor Davis,6-1,188,4.42,38.5,11,124,6.60,4.22,DaviTr03
Sheldon Day,6-1,293,5.07,30.0,21,102,7.44,4.50,DayxSh00
Taylor Decker,6-7,310,5.23,29.0,20,101,7.70,4.76,DeckTa00
KJ Dillon,6-0,210,4.53,,11,121,,,DillK.00
Kenneth Dixon,5-10,215,4.56,37.5,18,121,6.97,4.28,DixoKe00
Riley Dixon,6-4,221,5.04,,,,,,DixoRi00
Josh Doctson,6-2,202,4.50,41.0,14,131,6.84,4.08,DoctJo00
Kevin Dodd,6-5,277,4.86,,,,,,DoddKe00
Brandon Doughty,6-3,213,5.22,27.0,,103,7.49,4.52,DougBr00
Kenyan Drake,6-1,210,4.45,34.5,10,123,7.04,4.21,DrakKe00
Spencer Drango,6-6,315,5.27,27.0,30,100,7.88,4.66,DranSp00
Jeff Driskel,6-4,234,4.56,32.0,,122,7.19,4.25,DrisJe00
Thomas Duarte,6-2,231,4.72,33.5,12,118,6.97,4.24,DuarTh00
Lachlan Edwards,6-4,209,4.98,,,,,,-9999
Parker Ehinger,6-6,310,5.26,27.5,,97,,,EhinPa00
Deandre Elliott,6-1,188,4.55,41.0,,125,6.93,3.94,ElliDe01
Ezekiel Elliott,6-0,225,4.47,32.5,,118,,,ElliEz00
Tyler Ervin,5-10,192,4.41,39.0,17,130,,,ErviTy00
Kyler Fackrell,6-5,245,4.72,34.5,15,121,,,FackKy00
Ka'Imi Fairbairn,5-11,183,4.96,,,,,,FairKa01
Jason Fanaika,6-2,271,4.92,35.5,23,113,7.06,4.39,FanaJa01
Travis Feeney,6-4,230,4.50,40.0,,130,7.20,4.42,FeenTr00
Josh Ferguson,5-9,198,4.48,34.5,21,120,,,FergJo02
Leonard Floyd,6-6,244,4.60,39.5,,127,,,FloyLe00
Josh Forrest,6-3,249,4.91,30.5,11,118,,,ForrJo00
D.J. Foster,5-10,193,4.57,35.5,14,117,6.75,4.07,FostD.01
Kavon Frazier,6-0,217,4.53,,18,,,,FrazKa00
Kris Frost,6-2,240,4.97,29.0,,113,,,FrosKr00
Kendall Fuller,5-11,187,4.48,,15,,,,FullKe00
Will Fuller,6-0,186,4.32,33.5,10,126,6.93,4.27,FullWi01
Joshua Garnett,6-4,312,5.32,29.0,30,99,7.62,4.64,GarnJo00
Keyarris Garrett,6-3,220,4.53,36.5,14,128,7.30,4.33,GarrKe01
Graham Glasgow,6-6,307,5.13,25.0,23,106,7.63,4.63,GlasGr00
Jared Goff,6-4,215,4.82,27.0,,110,7.17,4.47,GoffJa00
B.J. Goodson,6-1,242,4.69,34.5,30,118,7.05,4.51,GoodB.00
Adam Gotsis,6-4,287,4.88,,,,,,GotsAd00
T.J. Green,6-2,209,4.34,35.5,13,129,,,GreeT.00
Darrell Greene,6-3,321,5.20,21.5,28,98,8.07,4.98,GreeDa02
David Grinnage,6-5,248,4.90,29.5,,106,,,GrinDa00
Glenn Gronkowski,6-2,239,4.71,33.0,17,120,7.10,4.45,GronGl01
Christian Hackenberg,6-4,223,4.78,31.0,,114,7.04,4.33,HackCh01
Tom Hackett,5-10,198,4.86,,,,,,HackTo00
Joe Haeg,6-6,304,5.16,27.5,,111,7.47,4.47,HaegJo00
Deiondre Hall,6-2,199,4.68,37.0,,127,7.07,4.06,-9999
Javon Hargrave,6-1,309,4.93,34.5,29,109,7.90,4.70,HargJa00
De'Vante Harris,5-11,176,4.56,38.5,,124,6.82,4.06,HarrDe04
Jerald Hawkins,6-6,305,5.23,23.5,23,100,8.19,4.89,HawkJe00
Joel Heath,6-5,293,5.02,33.0,26,113,7.44,4.52,HeatJo00
Temarrick Hemingway,6-5,244,4.71,30.5,18,115,6.88,4.31,HemiTe00
Derrick Henry,6-3,247,4.54,37.0,22,130,7.20,4.38,HenrDe00
Hunter Henry,6-5,250,4.79,,13,,,,HenrHu00
Willie Henry,6-3,303,5.00,30.5,28,110,7.57,4.53,HenrWi00
Quayvon Hicks,6-1,259,4.82,,,,,,HickQu01
Tyler Higbee,6-6,249,4.77,,,,,,HigbTy00
Rashard Higgins,6-1,196,4.64,32.0,13,116,,,HiggRa00
Kevin Hogan,6-3,218,4.78,32.5,,113,6.90,4.31,HogaKe00
Johnny Holton,6-1,190,4.54,31.5,8,123,,,HoltJo00
Austin Hooper,6-4,254,4.72,33.0,19,117,7.00,4.32,HoopAu00
Deandre Houston-Carson,6-1,201,4.54,32.5,13,115,7.15,4.28,HousDe00
Jordan Howard,6-0,230,4.57,34.0,16,122,,,HowaJo00
Xavien Howard,6-0,201,4.58,33.0,11,122,7.18,4.15,HowaXa00
Germain Ifedi,6-6,324,5.27,32.5,24,109,,4.75,IfedGe00
Cleveland Wallace III,5-11,188,4.68,35.5,,123,,,-9999
Vernon Hargreaves III,5-10,204,4.50,39.0,15,130,,3.98,HargVe00
William Jackson III,6-0,189,4.37,,10,116,,,JackWi02
Scooby Wright III,6-0,239,4.90,31.0,22,113,,4.47,WrigSc00
Matt Ioannidis,6-3,299,5.03,28.0,32,108,7.78,4.71,IoanMa01
Myles Jack,6-1,245,4.56,,19,,,,JackMy00
