Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Cal Adomitis,6-2,235,4.97,29.5,18,107,7.53,4.62,AdomCa00
Austin Allen,6-8,253,4.83,34.0,,121,7.00,4.26,AlleAu00
Chase Allen,6-6,251,,33.5,,117,7.03,4.43,AlleCh03
Christopher Allen,6-4,241,,,,,,,AlleCh04
Tyler Allgeier,5-11,224,4.60,33.0,,120,,,AllgTy00
Troy Andersen,6-4,243,4.42,36.0,,128,,,AndeTr00
Tycen Anderson,6-2,209,4.36,35.5,,123,6.64,4.28,AndeTy00
Blaise Andries,6-6,308,5.10,30.5,,106,7.84,4.68,-9999
Matt Araiza,6-1,200,4.68,32.0,,121,,,AraiMa00
Jalyn Armour-Davis,6-1,197,4.39,34.5,14,,,,ArmoJa00
Brian Asamoah,6-0,226,4.56,36.5,,124,,,AsamBr00
Calvin Austin,5-8,170,4.32,39.0,,135,6.65,4.07,AustCa00
Tyler Badie,5-8,197,4.45,33.5,,121,,,BadiTy00
Kalon Barnes,6-0,183,4.23,,,,,,BarnKa00
Amaré Barno,6-5,246,4.36,37.0,,131,,4.45,BarnAm00
Darrian Beavers,6-4,237,,36.5,,125,6.91,,BeavDa00
Markquese Bell,6-2,212,4.41,36.5,,123,,4.46,-9999
David Bell,6-1,212,4.65,33.0,,118,7.14,4.57,BellDa02
Greg Bell,5-11,201,,31.0,17,120,,,BellGr01
Daniel Bellinger,6-5,253,4.63,34.5,22,125,7.05,4.47,BellDa00
Dane Belton,6-1,205,4.43,36.5,,123,7.01,4.24,BeltDa00
Terrel Bernard,6-1,224,,35.5,22,123,7.03,4.25,BernTe00
Bubba Bolden,6-2,209,4.47,,,116,,,BoldBu00
Slade Bolden,5-11,193,4.66,32.0,,116,,,BoldSl00
Nik Bonitto,6-3,248,4.54,35.5,,120,7.07,4.23,BoniNi00
Thomas Booker,6-3,301,4.94,,,110,7.33,4.41,BookTh00
Andrew Booth,6-0,194,,,,,,,BootAn00
Max Borghi,5-9,210,,,20,,,,BorgMa00
Jaquan Brisker,6-1,199,4.49,34.5,22,124,,,BrisJa01
Gabe Brkic,6-2,197,,,,,,,BrkiGa00
Kennedy Brooks,5-11,209,4.59,31.0,,120,,,BrooKe01
Ben Brown,6-5,312,,,,,,,BrowBe01
Leddie Brown,6-0,213,4.64,30.0,,118,,,BrowLe03
Montaric Brown,6-0,196,4.55,,,,,,BrowMo00
Logan Bruss,6-5,309,5.32,31.0,,112,7.57,4.55,BrusLo00
Coby Bryant,6-1,193,4.54,,17,,,,BryaCo01
Spencer Burford,6-4,304,5.19,27.5,,105,,4.73,BurfSp00
Treylon Burks,6-2,225,4.55,33.0,,122,7.28,,BurkTr00
Darien Butler,5-10,221,,,,,7.47,,ButlDa00
Matthew Butler,6-4,297,5.00,32.0,17,112,7.89,4.81,ButlMa02
Percy Butler,6-0,194,4.36,31.5,,123,,,ButlPe00
Grant Calcaterra,6-4,241,4.62,,20,,,,CalcGr00
Jake Camarda,6-1,193,4.56,,,,,,CamaJa00
Chance Campbell,6-2,232,4.57,39.5,,127,,,CampCh02
Ja'Tyre Carter,6-3,311,5.13,30.0,,108,7.84,4.90,CartJa04
Zachary Carter,6-4,282,4.99,27.5,19,110,,,CartZa00
Tariq Castro-Fields,6-1,197,4.38,,,,,,CastTa00
Tykevious Chandler,5-11,204,4.38,31.0,,121,,,ChanTy01
Leo Chenal,6-3,250,4.53,40.5,,128,,,ChenLe00
Lewis Cine,6-2,199,4.37,36.5,,133,,,CineLe00
Damone Clark,6-3,239,4.57,36.5,,127,7.12,,ClarDa02
Micheal Clemons,6-5,263,,,24,116,,,ClemMi03
Jack Coan,6-3,218,4.90,33.0,,115,6.95,4.39,CoanJa00
Qwynnterrio Cole,6-0,206,,,16,,,,-9999
Snoop Conner,5-10,222,4.59,29.5,25,118,,,ConnSn00
Bryan Cook,6-1,206,,,,,,,CookBr02
James Cook,5-11,199,4.42,33.0,,124,,,CookJa01
Jashaun Corbin,5-11,202,,,,,,,CorbJa01
Yusuf Corker,6-0,203,,,23,,,,CorkYu00
Matt Corral,6-2,212,,,,,,,CorrMa00
