Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Jameis Winston,QB,0,1,Florida St.,WinsJa00
1,2,Marcus Mariota,QB,0,0,Oregon,MariMa01
1,3,Dante Fowler,OLB,0,0,Florida,FowlDa00
1,4,Amari Cooper,WR,0,4,Alabama,CoopAm00
1,5,Brandon Scherff,T,1,5,Iowa,ScheBr00
1,6,Leonard Williams,DE,0,1,USC,WillLe02
1,7,Kevin White,WR,0,0,West Virginia,WhitKe00
1,8,Vic Beasley,OLB,1,1,Clemson,BeasVi00
1,9,Ereck Flowers,T,0,0,Miami (FL),FlowEr00
1,10,Todd Gurley,RB,2,3,Georgia,GurlTo01
1,11,Trae Waynes,CB,0,0,Michigan St.,WaynTr00
1,12,Danny Shelton,NT,0,0,Washington,ShelDa01
1,13,Andrus Peat,T,0,3,Stanford,PeatAn00
1,14,DeVante Parker,WR,0,0,Louisville,ParkDe01
1,15,Melvin Gordon,RB,0,2,Wisconsin,GordMe00
1,16,Kevin Johnson,CB,0,0,Wake Forest,JohnKe04
1,17,Arik Armstead,DT,0,0,Oregon,ArmsAr01
1,18,Marcus Peters,CB,2,3,Washington,PeteMa00
1,19,Cameron Erving,C,0,0,Florida St.,ErviCa00
1,20,Nelson Agholor,WR,0,0,USC,AghoNe00
1,21,Cedric Ogbuehi,T,0,0,Texas A&M,OgbuCe00
1,22,Bud Dupree,OLB,0,0,Kentucky,DuprAl00
1,23,Shane Ray,DE,0,0,Missouri,RayxSh00
1,24,D.J. Humphries,T,0,1,Florida,HumpD.00
1,25,Shaq Thompson,OLB,0,0,Washington,ThomSh01
1,26,Breshad Perriman,WR,0,0,Central Florida,PerrBr02
1,27,Byron Jones,CB,0,1,Connecticut,JoneBy00
1,28,Laken Tomlinson,G,0,1,Duke,TomlLa01
1,29,Phillip Dorsett,WR,0,0,Miami (FL),DorsPh00
1,30,Damarious Randall,S,0,0,Arizona St.,RandDa00
1,31,Stephone Anthony,ILB,0,0,Clemson,AnthSt00
1,32,Malcom Brown,DT,0,0,Texas,BrowMa01
2,33,Landon Collins,S,1,3,Alabama,CollLa00
