Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Daniel Crawford,6-1,245,4.70,32.5,14,113,7.19,4.45,-9999
Shaun Crawford,5-9,182,4.55,35.0,12,116,6.70,4.13,-9999
Harry Crider,6-2,307,5.25,27.0,31,102,7.63,4.68,-9999
Jake Curhan,6-5,316,5.45,24.0,15,102,8.07,4.84,-9999
David Curry,6-1,227,,,,,,,CurrDa02
Drew Dalman,6-3,299,5.11,33.0,33,109,7.33,4.52,DalmDr00
DJ Daniel,5-11,195,4.62,31.0,11,119,7.02,4.12,DaniDJ00
Frank Darby,6-0,201,4.56,34.5,19,117,7.05,4.25,DarbFr00
Jaelon Darden,5-7,174,4.47,35.5,,122,6.66,3.98,DardJa00
Corey Dauphine,5-11,198,4.71,30.0,14,117,7.40,4.53,DaupCo00
Zach Davidson,6-6,245,4.58,37.5,17,117,6.95,4.19,-9999
Brady Davis,,,4.65,31.0,,114,7.06,4.20,-9999
Jamin Davis,6-3,234,4.47,42.0,,132,,,DaviJa11
Shawn Davis,5-10,202,,39.5,17,128,,,DaviSh02
Wyatt Davis,6-3,315,,,25,,,,DaviWy00
Divine Deablo,6-3,226,4.42,34.0,19,126,7.12,4.40,DeabDi00
Bryson Denley,5-7,189,4.56,27.5,13,110,7.25,4.57,-9999
Jon Dietzen,6-4,312,5.32,27.0,19,106,7.64,4.85,-9999
Victor Dimukeje,6-1,262,4.87,34.5,28,115,7.25,4.35,DimuVi00
Brett DioGuardi,6-3,234,5.48,24.5,,98,7.88,4.95,-9999
Gerrid Doaks,5-11,228,4.58,39.5,19,120,7.20,4.27,-9999
Max Duffy,6-0,196,,,,,,,-9999
DeVontres Dukes,6-3,216,4.81,33.0,16,122,7.07,4.41,-9999
Keith Duncan,,176,,,,,,,-9999
Isaiah Dunn,5-11,189,4.39,35.5,13,127,6.93,4.21,-9999
Wes Dvorak,5-11,198,4.52,41.5,,132,6.94,4.33,-9999
Brennan Eagles,6-3,225,4.55,36.5,,125,6.93,4.42,EaglBr00
Adrian Ealy,6-6,321,5.42,24.5,18,104,8.82,4.87,EalyAd00
Brandin Echols,5-10,179,4.34,42.5,13,136,6.84,4.12,-9999
Sam Ehlinger,6-1,220,4.84,36.5,,114,7.15,4.44,EhliSa00
Liam Eichenberg,6-6,306,,26.5,33,105,7.53,4.58,EichLi00
Milo Eifler,6-2,228,4.58,37.5,14,126,7.15,4.35,-9999
D'Wayne Eskridge,5-8,190,4.38,35.0,,124,6.93,4.22,EskrDW00
Dorian Etheridge,6-1,233,4.87,35.0,,121,7.25,4.47,EtheDo00
Travis Etienne,5-10,215,4.45,33.5,18,128,,,EtieTr00
Chris Evans,5-11,211,4.50,40.5,20,127,6.83,4.12,EvanCh02
Dillon Faamatau,6-3,280,5.35,24.5,22,100,8.58,5.15,-9999
Austin Faoliu,6-3,287,,,,,,,FaolAu00
Matt Farniok,6-5,311,5.20,33.0,28,105,7.14,4.80,-9999
Luke Farrell,6-5,251,4.79,36.5,22,118,7.14,4.36,FarrLu00
Simi Fehoko,6-3,222,4.44,34.5,16,120,6.78,4.26,FehoSi00
Demetric Felton,5-8,189,4.55,,,,,,FeltDe00
Parker Ferguson,6-3,306,5.19,31.0,24,105,7.75,4.90,-9999
Justin Fields,6-2,227,4.45,,,,,,FielJu00
Tony Fields,6-0,222,4.64,34.0,17,114,7.15,4.48,FielTo00
Paddy Fisher,6-3,240,4.91,31.5,20,110,7.00,4.47,FishPa00
Dez Fitzpatrick,6-1,208,4.43,35.0,,,7.09,4.26,FitzDe00
Thomas Fletcher,,,,,,,,,-9999
Paris Ford,6-0,197,4.85,28.5,,110,7.44,4.45,FordPa01
Darrick Forrest,5-11,206,4.42,39.0,21,132,6.91,4.23,ForrDa00
Miller Forristall,,,,,,,,,ForrMi00
Stone Forsythe,6-8,307,5.14,27.5,25,103,7.47,4.65,ForsSt00
Feleipe Franks,6-6,234,4.61,32.5,,117,7.16,4.22,FranFe00
Pat Freiermuth,6-5,251,,,26,,,,FreiPa00
Will Fries,6-6,309,5.37,31.0,24,115,7.77,4.53,FrieWi00
Jake Funk,5-10,204,4.49,38.0,22,122,6.71,4.12,FunkJa00
Kenneth Gainwell,,201,4.42,,21,,,,GainKe00
Bailey Gaither,6-0,188,4.45,31.0,9,121,7.07,4.39,-9999
Blake Gallagher,5-11,228,4.83,31.5,27,107,7.23,4.40,-9999
Mark Gilbert,6-0,186,4.47,36.0,13,130,7.05,4.37,GilbMa02
Tyree Gillespie,,,4.38,,15,,7.06,,GillTy00
Chauncey Golston,6-4,269,4.79,36.0,,119,7.52,4.65,GolsCh00
Tay Gowan,6-0,186,4.44,35.5,13,118,6.88,4.25,GowaTa00
Ta'Quon Graham,6-3,292,4.89,32.5,32,113,7.31,4.68,GrahTa00
Richie Grant,5-11,197,4.49,34.5,12,129,6.78,4.27,GranRi00
Noah Gray,6-3,240,4.55,35.0,15,115,6.83,4.37,GrayNo00
Kendrick Green,6-1,305,4.89,35.5,25,119,7.79,4.67,GreeKe02
Trevon Grimes,6-4,220,4.49,35.0,15,118,6.98,4.28,GrimTr00
Garrett Groshek,5-11,217,4.64,33.5,17,115,7.08,4.32,-9999
Robert Hainsey,6-4,306,5.20,27.5,32,104,7.58,4.63,HainRo00
Darren Hall,5-11,188,4.47,38.5,16,132,7.07,4.28,HallDa03
Damar Hamlin,6-0,200,4.60,35.0,18,118,6.93,4.40,HamlDa00
Mike Hampton,5-11,186,,,22,,,,HampMi00
Noah Hannon,6-0,238,5.15,29.5,15,108,7.37,4.68,-9999
Adrian Hardy,6-1,205,4.61,37.5,12,124,6.96,4.50,HardAd00
Bryce Hargrove,6-3,310,5.46,27.0,26,97,8.06,5.03,HargBr00
Darius Harper,6-6,300,5.05,30.5,16,105,7.70,4.54,-9999
Scooter Harrington,6-4,250,5.19,29.0,,105,7.20,4.53,-9999
Jacob Harris,6-5,219,4.39,40.5,15,133,6.54,4.31,-9999
Jaylen Harris,5-8,170,4.77,30.5,8,109,7.37,4.50,-9999
Pressley Harvin,5-11,263,,,14,,,,-9999
Blake Haubeil,6-3,233,,,,,,,-9999
Jake Hausmann,6-4,242,4.98,29.5,16,112,7.65,4.44,-9999
Javian Hawkins,5-8,183,4.46,36.0,,116,6.98,4.23,HawkJa01
Daelin Hayes,6-3,253,4.71,32.5,26,119,7.17,4.29,HayeDa00
Damon Hazelton,,,4.60,37.5,,,,,HazeDa00
Jack Heflin,,304,5.30,29.0,,104,7.61,,HeflJa00
Brett Heggie,6-4,310,5.50,26.0,21,105,7.66,4.69,HeggBr00
Justin Henderson,5-7,220,4.65,32.0,26,118,7.22,4.59,-9999
Khalil Herbert,5-8,210,4.46,33.0,22,115,6.96,4.31,HerbKh00
Grant Hermanns,6-7,300,,27.0,29,107,7.76,4.81,-9999
Malik Herring,6-3,283,,,,,,,HerrMa02
Kylin Hill,5-10,214,4.51,36.0,22,122,7.13,4.35,HillKy00
Trey Hill,6-3,319,5.50,,,,,,HillTr03
Justin Hilliard,6-0,229,4.81,34.5,27,114,7.20,4.34,HillJu01
Nate Hobbs,5-11,196,4.48,40.5,17,135,6.85,4.17,-9999
Darius Hodge,6-0,248,4.73,38.5,26,127,7.16,4.67,HodgDa01
Jevon Holland,6-0,207,4.48,35.5,19,126,,4.14,HollJe02
Jaycee Horn,6-0,205,4.39,41.5,19,133,,,HornJa00
Phil Hoskins,6-4,313,5.23,30.5,20,103,7.87,4.85,-9999
Chuba Hubbard,6-0,210,4.48,36.0,20,120,7.24,4.26,HubbCh01
Wyatt Hubert,6-2,258,4.93,32.5,,110,7.03,4.28,HubeWy00
James Hudson,6-4,313,5.27,28.5,22,98,8.05,4.79,HudsJa00
Talanoa Hufanga,,,4.65,,,,,,HufaTa00
Justin Hughes,6-0,227,5.02,28.5,24,104,7.37,4.84,-9999
Creed Humphrey,6-4,302,5.11,33.0,29,112,7.50,4.49,HumpCr00
Sadarius Hutcherson,,321,4.95,,36,,,,HutcSa00
Josh Imatorbhebhe,6-0,218,4.53,46.5,24,134,7.10,4.38,ImatJo00
Alaric Jackson,6-6,321,5.20,25.0,,103,7.70,,JackAl01
Deon Jackson,5-11,218,4.41,36.0,18,123,7.15,4.37,JackDe02
Drake Jackson,6-1,293,,31.0,,,,,JackDr00
Tarron Jackson,6-2,254,4.68,29.0,25,118,7.45,4.51,JackTa02
Warren Jackson,6-6,219,4.68,33.5,,123,7.81,4.53,JackWa00
Jerry Jacobs,5-10,208,4.53,34.5,20,120,6.95,4.33,JacoJe00
Brenden Jaimes,6-5,298,,30.5,25,112,7.50,4.51,JaimBr00
Shemar Jean-Charles,5-10,184,4.47,35.0,19,124,7.19,4.27,-9999
Jermar Jefferson,5-10,206,4.57,31.0,13,115,7.38,4.38,JeffJe00
Teven Jenkins,6-5,317,5.01,32.5,36,106,7.72,4.66,JenkTe00
Adam Jewell,6-2,289,5.37,27.5,,107,,,-9999
Sterling Johnson,6-3,288,5.22,28.0,25,103,7.56,4.81,-9999
Jerome Johnson,6-2,296,5.12,27.5,21,113,7.70,4.66,-9999
Jamar Johnson,6-2,205,4.58,35.0,17,122,7.22,4.41,JohnJa15
