Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Trevor Lawrence,QB,0,1,Clemson,LawrTr00
1,2,Zach Wilson,QB,0,0,BYU,WilsZa00
1,3,Trey Lance,QB,0,0,North Dakota St.,LancTr00
1,4,Kyle Pitts,TE,0,1,Florida,PittKy00
1,5,Ja'Marr Chase,WR,0,2,LSU,ChasJa00
1,6,Jaylen Waddle,WR,0,0,Alabama,WaddJa00
1,7,Penei Sewell,OL,0,1,Oregon,SewePe00
1,8,Jaycee Horn,DB,0,0,South Carolina,HornJa00
1,9,Patrick Surtain II,DB,1,1,Alabama,SurtPa01
1,10,DeVonta Smith,WR,0,0,Alabama,SmitDe07
1,11,Justin Fields,QB,0,0,Ohio St.,FielJu00
1,12,Micah Parsons,LB,2,2,Penn St.,ParsMi00
1,13,Rashawn Slater,OL,0,1,Northwestern,SlatRa00
1,14,Alijah Vera-Tucker,OL,0,0,USC,VeraAl00
1,15,Mac Jones,QB,0,1,Alabama,JoneMa05
1,16,Zaven Collins,LB,0,0,Tulsa,CollZa00
1,17,Alex Leatherwood,OL,0,0,Alabama,LeatAl00
1,18,Jaelan Phillips,DL,0,0,Miami (FL),PhilJa02
1,19,Jamin Davis,LB,0,0,Kentucky,DaviJa11
1,20,Kadarius Toney,WR,0,0,Florida,ToneKa00
1,21,Kwity Paye,DL,0,0,Michigan,PayeKw00
1,22,Caleb Farley,DB,0,0,Virginia Tech,FarlCa00
1,23,Christian Darrisaw,OL,0,0,Virginia Tech,DarrCh00
1,24,Najee Harris,RB,0,1,Alabama,HarrNa00
1,25,Travis Etienne,RB,0,0,Clemson,EtieTr00
1,26,Greg Newsome II,DB,0,0,Northwestern,NewsGr00
1,27,Rashod Bateman,WR,0,0,Minnesota,BateRa00
1,28,Payton Turner,DE,0,0,Houston,TurnPa02
1,29,Eric Stokes,DB,0,0,Georgia,StokEr00
1,30,Gregory Rousseau,DL,0,0,Miami (FL),RousGr00
1,31,Odafe Oweh,DE,0,0,Penn St.,OwehJa00
1,32,Joe Tryon-Shoyinka,OLB,0,0,Washington,TryoJo00
2,33,Tyson Campbell,DB,0,0,Georgia,CampTy01
2,34,Elijah Moore,WR,0,0,Mississippi,MoorEl00
2,35,Javonte Williams,RB,0,0,North Carolina,WillJa10
2,36,Jevon Holland,S,0,0,Oregon,HollJe02
2,37,Landon Dickerson,OL,0,1,Alabama,DickLa00
2,38,Christian Barmore,DL,0,0,Alabama,BarmCh00
2,39,Teven Jenkins,OL,0,0,Oklahoma St.,JenkTe00
2,40,Richie Grant,DB,0,0,Central Florida,GranRi00
2,41,Levi Onwuzurike,DL,0,0,Washington,OnwuLe00
2,42,Liam Eichenberg,OL,0,0,Notre Dame,EichLi00
2,43,Tre'von Moehrig,S,0,0,TCU,MoehTr00
2,44,Kelvin Joseph,DB,0,0,Kentucky,JoseKe02
2,45,Walker Little,T,0,0,Stanford,LittWa00
2,46,Jackson Carman,T,0,0,Clemson,CarmJa00
2,47,Asante Samuel Jr.,DB,0,0,Florida St.,SamuAs00
2,48,Aaron Banks,OL,0,0,Notre Dame,BankAa00
2,49,Rondale Moore,WR,0,0,Purdue,MoorRo02
2,50,Azeez Ojulari,OLB,0,0,Georgia,OjulAz00
2,51,Samuel Cosmi,OL,0,0,Texas,CosmSa00
2,52,Jeremiah Owusu-Koramoah,LB,0,0,Notre Dame,OwusJe00
2,53,Dillon Radunz,T,0,0,North Dakota St.,RaduDi00
2,54,Dayo Odeyingbo,DL,0,0,Vanderbilt,OdeyDa00
2,55,Pat Freiermuth,TE,0,0,Penn St.,FreiPa00
2,56,D'Wayne Eskridge,WR,0,0,Western Michigan,EskrDW00
2,57,Tutu Atwell,WR,0,0,Louisville,AtweTu00
2,58,Nick Bolton,LB,0,0,Missouri,BoltNi00
2,59,Terrace Marshall Jr.,WR,0,0,LSU,MarsTe00
2,60,Pete Werner,LB,0,0,Ohio St.,WernPe00
2,61,Boogie Basham,DL,0,0,Wake Forest,BashCa00
2,62,Josh Myers,C,0,0,Ohio St.,MyerJo00
2,63,Creed Humphrey,OL,0,1,Oklahoma,HumpCr00
2,64,Kyle Trask,QB,0,0,Florida,TrasKy00
3,65,Andre Cisco,DB,0,0,Syracuse,CiscAn00
3,66,Kellen Mond,QB,0,0,Texas A&M,MondKe00
3,67,Davis Mills,QB,0,0,Stanford,MillDa02
3,68,Jalen Mayfield,OL,0,0,Michigan,MayfJa00
3,69,Joseph Ossai,LB,0,0,Texas,OssaJo00
3,70,Brady Christensen,OL,0,0,BYU,ChriBr00
3,71,Aaron Robinson,DB,0,0,Central Florida,RobiAa00
3,72,Alim McNeill,DT,0,0,North Carolina St.,McNeAl00
3,73,Milton Williams,DL,0,0,Louisiana Tech,WillMi08
3,74,Benjamin St-Juste,DB,0,0,Minnesota,StJuBe00
3,75,Osa Odighizuwa,DL,0,0,UCLA,OdigOs00
3,76,Paulson Adebo,CB,0,0,Stanford,AdebPa00
3,77,Josh Palmer,WR,0,0,Tennessee,PalmJo00
3,78,Chazz Surratt,LB,0,0,North Carolina,SurrCh00
3,79,Malcolm Koonce,DE,0,0,Buffalo,KoonMa00
3,80,Divine Deablo,DB,0,0,Virginia Tech,DeabDi00
3,81,Hunter Long,TE,0,0,Boston Col.,LongHu00
3,82,Dyami Brown,WR,0,0,North Carolina,BrowDy00
3,83,Tommy Tremble,TE,0,0,Notre Dame,TremTo00
3,84,Chauncey Golston,DL,0,0,Iowa,GolsCh00
3,85,Amari Rodgers,WR,0,0,Clemson,RodgAm00
3,86,Wyatt Davis,OL,0,0,Ohio St.,DaviWy00
3,87,Kendrick Green,OL,0,0,Illinois,GreeKe02
3,88,Trey Sermon,RB,0,0,Ohio St.,SermTr00
3,89,Nico Collins,WR,0,0,Michigan,CollNi00
3,90,Patrick Jones II,DL,0,0,Pittsburgh,JonePa00
3,91,Anthony Schwartz,WR,0,0,Auburn,SchwAn00
3,92,Monty Rice,LB,0,0,Georgia,RiceMo00
3,93,Spencer Brown,OL,0,0,Northern Iowa,BrowSp00
3,94,Ben Cleveland,OL,0,0,Georgia,ClevBe00
3,95,Robert Hainsey,OL,0,0,Notre Dame,HainRo00
3,96,Ronnie Perkins,DE,0,0,Oklahoma,PerkRo00
3,97,Tre' McKitty,TE,0,0,Georgia,McKiTr00
3,98,Quinn Meinerz,C,0,0,Wisconsin–Whitewater,MeinQu02
3,99,Nahshon Wright,DB,0,0,Oregon St.,WrigNa00
3,100,Elijah Molden,DB,0,0,Washington,MoldEl00
3,101,Ifeatu Melifonwu,DB,0,0,Syracuse,MeliIf00
3,102,Ambry Thomas,DB,0,0,Michigan,ThomAm00
3,103,Ernest Jones,LB,0,0,South Carolina,JoneEr01
3,104,Brandon Stephens,CB,0,0,SMU,StepBr01
3,105,Baron Browning,LB,0,0,Ohio St.,BrowBa01
4,106,Jay Tufele,DL,0,0,USC,TufeJa00
4,107,Michael Carter,RB,0,0,North Carolina,CartMi03
4,108,Darren Hall,CB,0,0,San Diego St.,HallDa03
4,109,Dez Fitzpatrick,WR,0,0,Louisville,FitzDe00
4,110,James Hudson,OL,0,0,Cincinnati,HudsJa00
4,111,Cameron Sample,DE,0,0,Tulane,SampCa00
4,112,Amon-Ra St. Brown,WR,0,1,USC,StxxAm00
4,113,Derrick Barnes,DE,0,0,Purdue,BarnDe02
4,114,Drew Dalman,C,0,0,Stanford,DalmDr00
4,115,Jabril Cox,LB,0,0,LSU,CoxxJa00
4,116,Elerson Smith,DL,0,0,Northern Iowa,SmitEl00
4,117,Bobby Brown,DL,0,0,Texas A&M,BrowBo04
4,118,Chris Rumph,DE,0,0,Duke,RumpCh00
4,119,Kene Nwangwu,RB,0,0,Iowa St.,NwanKe00
4,120,Rhamondre Stevenson,RB,0,0,Oklahoma,StevRh00
4,121,Jordan Smith,OLB,0,0,Ala-Birmingham,SmitJo03
4,122,Tyler Shelvin,DT,0,0,LSU,ShelTy00
4,123,Zech McPhearson,DB,0,0,Texas Tech,McPhZe00
4,124,John Bates,TE,0,0,Boise St.,BateJo00
