Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Ben Burr-Kirven,Jun-00,230,4.56,34.5,21,121,6.85,4.09,BurrBe00,5,142,SEA,LB,21,2020,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,0,0,10,,,BurrBe00
Hakeem Butler,5-Jun,227,4.48,36,18,128,7.020588235,4.271666667,ButlHa00,4,103,ARI,WR,23,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,ButlHa00
Yodny Cajuste,5-Jun,312,5.172,29.51612903,32,108.5,7.837142857,4.775357143,CajuYo00,3,101,NWE,T,23,2022,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,1,,,CajuYo00
Parris Campbell,Jun-00,205,4.31,40,11,135,7.020588235,4.03,CampPa00,2,59,IND,WR,22,2022,0,0,1,9,9,32,0,0,0,0,0,11,108,0,97,983,5,1,,,CampPa00
Blake Cashman,1-Jun,237,4.5,37.5,18,124,6.95,4.12,CashBl00,5,157,NYJ,LB,23,2022,0,0,0,6,4,30,0,0,0,0,0,0,0,0,0,0,0,53,,3.5,CashBl00
Demarcus Christmas,3-Jun,294,5.08,25.5,22,101,8.13,5.07,ChriDe01,6,209,SEA,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,ChriDe01
L.J. Collier,2-Jun,283,4.91,30,25,118,7.71,4.78,CollLJ00,1,29,SEA,DE,23,2022,0,0,1,9,9,45,0,0,0,0,0,0,0,0,0,0,0,24,,3,CollLJ00
John Cominsky,5-Jun,286,4.69,33.5,22,116,7.03,4.38,ComiJo00,4,135,ATL,DE,23,2022,0,0,0,7,3,41,0,0,0,0,0,0,0,0,0,0,0,37,,5.5,ComiJo00
Ryan Connelly,2-Jun,242,4.66,34.5,21.73333333,118,7.09,4.31,ConnRy00,5,143,NYG,LB,23,2022,0,0,0,4,2,31,0,0,0,0,0,0,0,0,0,0,0,19,2,1,ConnRy00
Byron Cowart,3-Jun,298,5.16,30,26,111,7.79,4.711851852,CowaBy00,5,159,NWE,DT,23,2022,0,0,1,10,9,36,0,0,0,0,0,0,0,0,0,0,0,19,,1,CowaBy00
Xavier Crawford,11-May,187,4.48,37.5,11,126.1860465,6.946451613,4.165806452,CrawXa00,6,195,HOU,CB,23,2022,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,16,,,CrawXa00
Maxx Crosby,5-Jun,255,4.66,36,23.11904762,122,6.89,4.13,CrosMa00,4,106,OAK,DE,22,2022,0,2,4,34,34,66,0,0,0,0,0,0,0,0,0,0,0,150,,37.5,CrosMa00
Dennis Daley,5-Jun,317,5.23,26.5,20,103,7.95,4.92,DaleDe00,6,212,CAR,T,23,2022,0,0,2,13,8,51,0,0,0,0,0,0,0,0,0,0,0,1,,,DaleDe00
Deshaun Davis,11-May,234,4.600188679,31,25,111,7.046842105,4.38,DaviDe01,6,210,CIN,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,DaviDe01
Nate Davis,3-Jun,316,5.23,26,23,107,7.94,4.83,DaviNa01,3,82,TEN,G,22,2022,0,0,4,23,23,55,0,0,0,0,0,0,0,0,0,0,0,1,,,DaviNa01
Jamel Dean,1-Jun,206,4.3,41,16,130,7.02,4.19,DeanJa00,3,94,TAM,CB,22,2022,0,0,2,14,14,57,0,0,0,0,0,0,0,0,0,0,0,156,7,,DeanJa00
Michael Deiter,5-Jun,309,5.23,28,21,105,7.88,4.81,DeitMi00,3,78,MIA,G,23,2022,0,0,1,11,11,57,0,0,0,0,0,0,0,0,1,0,0,,,,DeitMi00
Andre Dillard,5-Jun,315,4.96,29,24,118,7.44,4.4,DillAn00,1,22,PHI,T,23,2022,0,0,0,7,7,43,0,0,0,0,0,0,0,0,0,0,0,,,,DillAn00
Chuma Edoga,3-Jun,308,5.19,29.51612903,21,108.5,7.837142857,4.775357143,EdogCh00,3,92,NYJ,T,22,2022,0,0,0,6,5,26,0,0,0,0,0,0,0,0,0,0,0,,,,EdogCh00
David Edwards,6-Jun,308,5.28,25.5,24.6,99,7.69,4.77,EdwaDa01,5,169,LAR,T,22,2022,0,0,2,23,23,53,0,0,0,0,0,0,0,0,0,0,0,1,,,EdwaDa01
