Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999,Pos_x,Pos_y
Collin Johnson,6-6,222.0,,,17.0,,,,JohnCo01,5,165,JAX,WR,22,2021.0,0,0,0,3.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,377.0,2.0,,,,JohnCo01,,
Jaylon Johnson,6-0,193.0,4.5,36.5,15.0,124.0,7.01,4.13,JohnJa13,2,50,CHI,CB,21,2022.0,0,0,3,12.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,,JohnJa13,,
Tyler Johnson,6-1,206.0,,,,,,,JohnTy00,5,161,TAM,WR,22,2022.0,0,0,0,5.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,529.0,2.0,1.0,,,JohnTy00,,
Clay Johnston,6-1,227.0,,,18.0,,,,JohnCl00,7,234,LAR,LB,24,2022.0,0,0,0,2.0,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,JohnCl00,,
Brandon Jones,5-11,198.0,,,,,,,JoneBr06,3,70,MIA,S,22,2022.0,0,0,1,9.0,9.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,8.0,JoneBr06,,
Antoine Brooks Jr.,5-11,220.0,4.64,34.5,18.0,,,,BrooAn00,6,198,PIT,S,21,2021.0,0,0,0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,BrooAn00,,
Willie Gay Jr.,6-1,243.0,4.46,39.5,21.0,136.0,7.08,4.3,GayJWi00,2,63,KAN,LB,22,2022.0,0,0,3,14.0,14.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,4.0,GayJWi00,,
Laviska Shenault Jr.,6-1,227.0,4.58,,17.0,,,,ShenLa00,2,42,JAX,WR,21,2022.0,0,0,1,12.0,9.0,43.0,0.0,0.0,0.0,0.0,0.0,38.0,197.0,1.0,148.0,1491.0,6.0,1.0,,,ShenLa00,,
Antoine Winfield Jr.,5-9,203.0,4.45,36.0,,124.0,,,WinfAn00,2,45,TAM,S,22,2022.0,0,1,3,18.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,4.0,9.0,WinfAn00,,
Khalid Kareem,6-4,268.0,,,,,,,KareKh00,5,147,CIN,DE,22,2022.0,0,0,0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,1.0,KareKh00,,
Dalton Keene,6-4,253.0,4.71,34.0,21.0,125.0,7.07,4.19,KeenDa00,3,101,NWE,TE,21,2020.0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,,,,KeenDa00,,
Joshua Kelley,5-11,212.0,4.49,31.0,23.0,121.0,6.95,4.28,KellJo01,4,112,LAC,RB,22,2022.0,0,0,0,7.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,213.0,743.0,4.0,42.0,287.0,0.0,1.0,,,KellJo01,,
Solomon Kindley,6-3,337.0,,,,,,,KindSo00,4,111,MIA,G,23,2021.0,0,0,1,6.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,KindSo00,,
Javon Kinlaw,6-5,324.0,,,,,,,KinlJa00,1,14,SFO,DT,22,2022.0,0,0,1,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.5,KinlJa00,,
Cole Kmet,6-6,262.0,4.7,37.0,,123.0,7.44,4.41,KmetCo00,2,43,CHI,TE,21,2022.0,0,0,3,14.0,14.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,138.0,1399.0,9.0,1.0,,,KmetCo00,,
CeeDee Lamb,6-2,198.0,4.5,34.5,11.0,124.0,,,LambCe00,1,17,DAL,WR,21,2022.0,0,2,3,32.0,32.0,49.0,0.0,0.0,0.0,0.0,0.0,29.0,205.0,1.0,260.0,3396.0,20.0,4.0,,,LambCe00,,
Shane Lemieux,6-4,310.0,5.11,25.5,,107.0,8.13,4.9,LemiSh00,5,150,NYG,G,23,2022.0,0,0,1,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,LemiSh00,,
Damien Lewis,6-2,327.0,5.24,30.0,27.0,108.0,,,LewiDa05,3,69,SEA,G,23,2022.0,0,0,3,20.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,LewiDa05,,
Terrell Lewis,6-5,262.0,,37.0,,124.0,,,LewiTe00,3,84,LAR,LB,22,2022.0,0,0,0,5.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,6.0,LewiTe00,,
Jordan Love,6-4,224.0,4.74,35.5,,118.0,7.21,4.52,LoveJo03,1,26,GNB,QB,21,2022.0,0,0,0,3.0,3.0,10.0,50.0,83.0,606.0,3.0,3.0,13.0,26.0,0.0,0.0,0.0,0.0,,,,LoveJo03,,
Jake Luton,6-6,224.0,,,,,,,LutoJa00,6,189,JAX,QB,24,2020.0,0,0,0,2.0,2.0,3.0,60.0,110.0,624.0,2.0,6.0,1.0,13.0,1.0,0.0,0.0,0.0,,,,LutoJa00,,
James Lynch,6-4,289.0,5.01,29.0,23.0,111.0,7.39,4.39,LyncJa00,4,130,MIN,DT,21,2022.0,0,0,0,5.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,2.0,LyncJa00,,
Justin Madubuike,6-3,293.0,4.83,,31.0,,7.37,,MaduJu00,3,71,BAL,DT,22,2022.0,0,0,2,15.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,8.5,MaduJu00,,
Braden Mann,5-11,198.0,4.83,31.0,,111.0,7.03,4.13,MannBr01,6,191,NYJ,P,22,2022.0,0,0,1,7.0,7.0,43.0,1.0,2.0,17.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,,,MannBr01,,
Kamal Martin,6-3,240.0,,,,,,,MartKa01,5,175,GNB,LB,22,2021.0,0,0,0,4.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,1.0,MartKa01,,
Cole McDonald,6-3,215.0,4.58,36.0,,121.0,7.13,4.52,McDoCo00,7,224,TEN,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,McDoCo00,,
Xavier McKinney,6-0,201.0,4.63,36.0,19.0,122.0,,,McKiXa00,2,36,NYG,S,21,2022.0,0,0,2,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,6.0,1.0,McKiXa00,,
Colton McKivitz,6-6,306.0,5.35,26.0,20.0,106.0,7.87,5.0,McKiCo00,5,153,SFO,T,24,2022.0,0,0,0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,McKiCo00,,
Josh Metellus,5-11,209.0,4.55,36.5,20.0,124.0,6.94,4.4,MeteJo00,6,205,MIN,S,22,2022.0,0,0,0,4.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,,MeteJo00,,
Denzel Mims,6-3,207.0,4.38,38.5,16.0,131.0,6.66,4.43,MimsDe00,2,59,NYJ,WR,22,2022.0,0,0,1,5.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,676.0,0.0,,,,MimsDe00,,
Darnell Mooney,5-10,176.0,4.38,37.0,9.0,124.0,,,MoonDa00,5,173,CHI,WR,22,2022.0,0,0,2,20.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,11.0,54.0,1.0,182.0,2179.0,10.0,6.0,,,MoonDa00,,
James Morgan,6-4,229.0,4.89,29.0,,112.0,7.51,4.64,MorgJa00,4,125,NYJ,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,MorgJa00,,
Zack Moss,5-9,223.0,4.65,33.0,19.0,,,4.37,MossZa00,3,86,BUF,RB,22,2022.0,0,0,0,10.0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,301.0,1282.0,9.0,48.0,331.0,2.0,1.0,,,MossZa00,,
Larrell Murchison,6-2,297.0,5.05,29.0,29.0,118.0,7.89,4.51,MurcLa00,5,174,TEN,DT,23,2022.0,0,0,0,4.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,2.0,MurcLa00,,
Kenneth Murray,6-2,241.0,4.52,38.0,21.0,129.0,,,MurrKe00,1,23,LAC,LB,21,2022.0,0,0,2,16.0,16.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1.0,2.0,MurrKe00,,
Tanner Muse,6-2,227.0,4.41,34.5,20.0,124.0,,,MuseTa00,3,100,LVR,S,24,2022.0,0,0,0,1.0,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,MuseTa00,,
Netane Muti,6-3,315.0,,,44.0,,,,MutiNe00,6,181,DEN,G,21,2022.0,0,0,0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,MutiNe00,,
Lucas Niang,6-6,315.0,,,,,,,NianLu00,3,96,KAN,T,22,2022.0,0,0,0,7.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,NianLu00,,
Michael Ojemudia,6-1,200.0,4.45,36.0,,122.0,6.87,4.21,OjemMi00,3,77,DEN,CB,22,2022.0,0,0,0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,,OjemMi00,,
Jeff Okudah,6-1,205.0,4.48,41.0,11.0,135.0,,,OkudJe00,1,3,DET,CB,21,2022.0,0,0,1,7.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2.0,,OkudJe00,,
Julian Okwara,6-4,252.0,,,27.0,,,,OkwaJu00,3,67,DET,DE,22,2022.0,0,0,0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,7.0,OkwaJu00,,
Albert Okwuegbunam,6-5,258.0,4.49,,,,,,OkwuAl00,4,118,DEN,TE,22,2022.0,0,0,0,5.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,546.0,4.0,,,,OkwuAl00,,
K.J. Osborn,5-11,203.0,4.48,37.5,18.0,123.0,7.0,4.35,OsboKJ00,5,176,MIN,WR,23,2022.0,0,0,1,10.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,110.0,1305.0,12.0,4.0,,,OsboKJ00,,
