Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Johnathan Abram,5-11,205,4.45,,,116,,,AbraJo01
Paul Adams,6-6,317,5.18,27.0,16,103,7.68,4.74,AdamPa01
Nasir Adderley,6-0,206,,,,,,,AddeNa00
Azeez Al-Shaair,6-1,234,,,16,,,,AlShAz00
Otaro Alaka,6-3,239,4.82,36.0,20,131,,,AlakOt01
Dakota Allen,6-1,232,4.77,31.5,23,116,6.88,4.04,AlleDa01
Josh Allen,6-5,262,4.63,,28,118,7.15,4.23,AlleJo03
Zach Allen,6-4,281,5.00,32.0,24,112,7.34,4.36,AlleZa01
Bryson Allen-Williams,6-1,236,4.88,,14,,7.40,,AlleBr03
Jeff Allison,5-11,228,4.82,31.0,12,115,7.20,4.45,AlliJe00
Ugo Amadi,5-9,199,4.51,32.5,18,115,7.21,4.19,AmadUg00
Rodney Anderson,6-0,224,,,25,,,,AndeRo02
J.J. Arcega-Whiteside,6-2,225,,,,,,,ArceJJ00
Ryquell Armstead,5-11,220,4.45,30.0,22,114,7.02,4.29,ArmsRy00
Blessuan Austin,6-1,198,,,15,,,,AustBl00
Jake Bailey,6-1,200,4.72,33.0,,117,,,BailJa00
Zack Bailey,6-5,299,,28.0,24,103,,,BailZa01
Derrick Baity,6-2,197,,38.5,10,127,7.06,4.31,BaitDe01
Deandre Baker,5-11,193,4.52,,14,118,,,BakeDe00
Corey Ballentine,5-11,196,4.47,39.5,15,135,6.82,4.14,BallCo00
Ben Banogu,6-3,250,4.62,40.0,23,134,7.02,4.27,BanoBe00
Alex Barnes,6-0,226,4.59,38.5,34,126,6.95,4.10,BarnAl01
Alex Bars,6-6,312,,,,,,,BarsAl01
Cody Barton,6-2,237,4.64,32.5,30,116,6.90,4.03,BartCo00
Jackson Barton,6-7,310,5.18,27.0,25,109,7.85,4.66,BartJa00
Ryan Bates,6-4,306,5.09,27.0,28,102,7.45,4.53,BateRy02
John Battle,6-0,201,4.67,29.5,,120,7.09,4.33,BattJo01
Terry Beckner,6-4,296,5.19,24.5,28,98,7.97,4.82,BeckTe00
Mike Bell,6-3,210,4.83,30.0,10,118,7.10,4.46,BellMi01
Beau Benzschawel,6-6,309,5.24,,20,,,,BenzBe01
Marquise Blair,6-1,195,4.48,35.0,,125,,,BlaiMa01
Kendall Blanton,6-6,262,4.95,31.0,22,113,7.37,4.42,BlanKe01
Nick Bosa,6-4,266,4.79,33.5,29,116,7.10,4.14,BosaNi00
Kris Boyd,5-11,201,4.45,36.5,19,127,6.94,4.08,BoydKr00
Miles Boykin,6-4,220,4.42,43.5,12,140,6.77,4.07,BoykMi00
Garrett Bradbury,6-3,306,4.92,31.0,34,104,7.41,4.53,BradGa00
Tyre Brady,6-3,211,,32.0,12,117,,4.25,BradTy00
Jordan Brailford,6-3,252,4.65,37.5,22,126,,,BraiJo00
Nick Brossette,5-11,209,4.72,35.5,15,118,7.38,4.44,BrosNi01
Jordan Brown,6-0,201,4.51,39.5,13,128,,,-9999
A.J. Brown,6-0,226,4.49,36.5,19,120,,,BrowAJ00
Blace Brown,6-0,194,4.75,,14,126,7.33,4.22,BrowBl01
Keenen Brown,6-2,250,4.75,33.0,17,117,7.27,4.51,BrowKe04
Marquise Brown,5-9,166,,,,,,,BrowMa04
Jake Browning,6-2,211,4.74,29.0,,112,7.19,4.44,BrowJa08
Austin Bryant,6-4,271,,,,,,,BryaAu00
Isaiah Buggs,6-3,306,5.15,24.5,20,96,8.01,4.83,BuggIs00
Sean Bunting,6-0,195,4.42,41.5,14,126,,,BuntSe00
Brian Burns,6-5,249,4.53,36.0,,129,7.01,,BurnBr00
Ben Burr-Kirven,6-0,230,4.56,34.5,21,121,6.85,4.09,BurrBe00
Devin Bush,5-11,234,4.43,40.5,21,124,6.93,4.23,BushDe01
Emmanuel Butler,6-3,217,,36.0,11,115,,4.22,ButlEm01
Hakeem Butler,6-5,227,4.48,36.0,18,128,,,ButlHa00
Yodny Cajuste,6-5,312,,,32,,,,CajuYo00
Deion Calhoun,6-2,310,5.07,28.5,26,105,7.46,4.62,CalhDe00
Parris Campbell,6-0,205,4.31,40.0,11,135,,4.03,CampPa00
Malik Carney,6-2,251,4.73,33.0,25,113,7.40,,CarnMa01
Blake Cashman,6-1,237,4.50,37.5,18,124,6.95,4.12,CashBl00
Hamp Cheevers,5-9,169,4.52,39.0,8,122,6.96,4.25,CheeHa00
Demarcus Christmas,6-3,294,5.08,25.5,22,101,8.13,5.07,ChriDe01
L.J. Collier,6-2,283,4.91,30.0,25,118,7.71,4.78,CollLJ00
John Cominsky,6-5,286,4.69,33.5,22,116,7.03,4.38,ComiJo00
Te'von Coney,6-1,234,,,,,,,ConeTe01
Ryan Connelly,6-2,242,4.66,34.5,,118,7.09,4.31,ConnRy00
C.J. Conrad,6-4,249,,,,,,,ConrCJ01
Byron Cowart,6-3,298,5.16,30.0,26,111,,,CowaBy00
Jonathan Crawford,6-1,205,,31.5,16,115,,,CrawJo00
Xavier Crawford,5-11,187,4.48,37.5,11,,,,CrawXa00
Maxx Crosby,6-5,255,4.66,36.0,,122,6.89,4.13,CrosMa00
Jamal Custis,6-4,214,4.50,34.5,,124,,,CustJa01
Dennis Daley,6-5,317,5.23,26.5,20,103,7.95,4.92,DaleDe00
Davante Davis,6-2,202,4.57,37.0,14,125,6.76,4.15,DaviDa02
Deshaun Davis,5-11,234,,31.0,25,111,,4.38,DaviDe01
Felton Davis,6-3,211,,,21,,,,DaviFe01
Jamal Davis,6-3,243,4.60,39.0,19,122,7.00,4.44,DaviJa08
Nate Davis,6-3,316,5.23,26.0,23,107,7.94,4.83,DaviNa01
Ryan Davis,5-10,189,,35.0,12,124,7.09,4.23,DaviRy01
Jamel Dean,6-1,206,4.30,41.0,16,130,7.02,4.19,DeanJa00
