Player,Drafted (tm/rnd/yr),Player-additional
Jared Abbrederis,Green Bay Packers / 5th / 176th pick / 2014,AbbrJa00
Davante Adams,Green Bay Packers / 2nd / 53rd pick / 2014,AdamDa01
Mo Alexander,St. Louis Rams / 4th / 110th pick / 2014,AlexMa00
Ricardo Allen,Atlanta Falcons / 5th / 147th pick / 2014,AlleRi00
Jace Amaro,New York Jets / 2nd / 49th pick / 2014,AmarJa00
Antonio Andrews,,AndrAn00
Dri Archer,Pittsburgh Steelers / 3rd / 97th pick / 2014,ArchDr00
Matt Armstrong,,-9999
George Atkinson,,AtkiGe01
Jeremiah Attaochu,San Diego Chargers / 2nd / 50th pick / 2014,AttaJe00
Dion Bailey,,BailDi00
Anthony Barr,Minnesota Vikings / 1st / 9th pick / 2014,BarrAn00
Lamin Barrow,Denver Broncos / 5th / 156th pick / 2014,BarrLa00
Deion Belue,,BeluDe00
Kelvin Benjamin,Carolina Panthers / 1st / 28th pick / 2014,BenjKe00
Bene' Benwikere,Carolina Panthers / 5th / 148th pick / 2014,BenwBe00
Nat Berhe,New York Giants / 5th / 152nd pick / 2014,BerhNa00
Kapri Bibbs,,BibbKa00
Joel Bitonio,Cleveland Browns / 2nd / 35th pick / 2014,BitoJo00
Rob Blanchflower,Pittsburgh Steelers / 7th / 230th pick / 2014,BlanRo01
Alfred Blue,Houston Texans / 6th / 181st pick / 2014,BlueAl00
Russell Bodine,Cincinnati Bengals / 4th / 111th pick / 2014,BodiRu00
Conor Boffeli,,BoffCo00
Chris Borland,San Francisco 49ers / 3rd / 77th pick / 2014,BorlCh00
Blake Bortles,Jacksonville Jaguars / 1st / 3rd pick / 2014,BortBl00
Tre Boston,Carolina Panthers / 4th / 128th pick / 2014,BostTr00
Chris Boswell,,BoswCh00
Chris Boyd,,BoydCh00
Tajh Boyd,New York Jets / 6th / 213th pick / 2014,BoydTa00
Carl Bradford,Green Bay Packers / 4th / 121st pick / 2014,BradCa01
Bashaud Breeland,Washington Redskins / 4th / 102nd pick / 2014,BreeBa00
Teddy Bridgewater,Minnesota Vikings / 1st / 32nd pick / 2014,BridTe00
Justin Britt,Seattle Seahawks / 2nd / 64th pick / 2014,BritJu00
Jay Bromley,New York Giants / 3rd / 74th pick / 2014,BromJa00
Terrence Brooks,Baltimore Ravens / 3rd / 79th pick / 2014,BrooTe00
Jonathan Brown,,BrowJo01
John Brown,Arizona Cardinals / 3rd / 91st pick / 2014,BrowJo02
Corey Brown,,BrowPh00
Preston Brown,Buffalo Bills / 3rd / 73rd pick / 2014,BrowPr00
Martavis Bryant,Pittsburgh Steelers / 4th / 118th pick / 2014,BryaMa00
Deone Bucannon,Arizona Cardinals / 1st / 27th pick / 2014,BucaDe00
Max Bullough,,BullMa00
Isaiah Burse,,BursIs01
Trey Burton,,BurtTr01
Michael Campanaro,Baltimore Ravens / 7th / 218th pick / 2014,CampMi02
Ka'Deem Carey,Chicago Bears / 4th / 117th pick / 2014,CareKa00
Derek Carr,Oakland Raiders / 2nd / 36th pick / 2014,CarrDe02
Ryan Carrethers,San Diego Chargers / 5th / 165th pick / 2014,CarrRy00
Travis Carrie,Oakland Raiders / 7th / 219th pick / 2014,CarrTr00
Steven Clark,,ClarSt00
Will Clarke,Cincinnati Bengals / 3rd / 88th pick / 2014,ClarWi00
Ha Ha Clinton-Dix,Green Bay Packers / 1st / 21st pick / 2014,ClinHa00
Jadeveon Clowney,Houston Texans / 1st / 1st pick / 2014,ClowJa00
Ross Cockrell,Buffalo Bills / 4th / 109th pick / 2014,CockRo00
Brandon Coleman,,ColeBr00
Deandre Coleman,,ColeDe01
Kain Colter,,ColtKa00
Aaron Colvin,Jacksonville Jaguars / 4th / 114th pick / 2014,ColvAa00
Brandin Cooks,New Orleans Saints / 1st / 20th pick / 2014,CookBr00
Damian Copeland,,CopeDa00
J.C. Copeland,,CopeJ.00
Tim Cornett,,CornTi00
Scott Crichton,Minnesota Vikings / 3rd / 72nd pick / 2014,CricSc00
Isaiah Crowell,,CrowIs00
Chris Davis,,DaviCh05
Mike Davis,,DaviMi00
A.D. Denham,,-9999
Darqueze Dennard,Cincinnati Bengals / 1st / 24th pick / 2014,DennDa00
Pierre Desir,Cleveland Browns / 4th / 127th pick / 2014,DesiPi00
Ahmad Dixon,Dallas Cowboys / 7th / 248th pick / 2014,DixoAh00
Brandon Dixon,New York Jets / 6th / 195th pick / 2014,DixoBr00
Aaron Donald,St. Louis Rams / 1st / 13th pick / 2014,DonaAa00
Jonathan Dowling,Oakland Raiders / 7th / 247th pick / 2014,DowlJo00
Dakota Dozier,New York Jets / 4th / 137th pick / 2014,DoziDa00
Joe Don Duncan,,-9999
Kony Ealy,Carolina Panthers / 2nd / 60th pick / 2014,EalyKo00
Dominique Easley,New England Patriots / 1st / 29th pick / 2014,EaslDo00
Eric Ebron,Detroit Lions / 1st / 10th pick / 2014,EbroEr00
Kasim Edebali,,EdebKa00
